cnt,pos,speed,DTorque,STorque,Force,,,,
3974,12.7773,34.5366,190,0,85,33.203125,0,2146,430
3975,12.7088,34.0345,189,0,85,33.203125,0,2147,430
3976,12.6751,33.0395,189,0,85,33.203125,0,2148,430
3977,12.6421,32.7322,188,0,84,32.8125,0,2149,430
3978,12.577,32.3457,188,0,84,32.8125,0,2150,431
3979,12.5451,31.9623,188,0,84,32.8125,0,2151,431
3980,12.5134,31.658,188,0,84,32.8125,0,2152,431
3981,12.4818,31.3507,188,0,84,32.8125,0,2153,431
3982,12.4195,30.9886,188,0,84,32.8125,0,2154,431
3983,12.3887,30.7969,188,0,84,32.8125,0,2155,432
3984,12.358,30.3222,188,0,84,32.8125,0,2156,432
3985,12.2979,29.8597,187,0,84,32.8125,0,2157,432
3986,12.2685,29.4033,187,0,84,32.8125,0,2158,432
3987,12.2393,29.1477,187,0,84,32.8125,0,2159,432
3988,12.2105,28.3565,186,0,83,32.421875,0,2160,433
3989,12.1822,28.0522,186,0,83,32.421875,0,2161,433
3990,12.1265,27.3128,185,0,83,32.421875,0,2162,433
3991,12.0722,26.9355,185,0,83,32.421875,0,2163,433
3992,12.0192,26.0774,185,0,83,32.421875,0,2164,433
3993,11.9675,25.6575,185,0,83,32.421875,0,2165,434
3994,11.9422,24.8481,185,0,83,32.421875,0,2166,434
3995,11.8929,24.4525,185,0,83,32.421875,0,2167,434
3996,11.8454,23.5366,185,0,83,32.421875,0,2168,434
3997,11.8225,22.6055,186,0,83,32.421875,0,2169,434
3998,11.7561,21.6805,186,0,83,32.421875,0,2170,435
3999,11.7348,21.011,187,0,84,32.8125,0,2171,435
4000,11.7137,20.7493,187,0,84,32.8125,0,2172,435
4001,11.6723,20.5637,187,0,84,32.8125,0,2173,435
4002,11.6316,20.1195,187,0,84,32.8125,0,2174,435
4003,11.5915,19.9551,187,0,84,32.8125,0,2175,436
4004,11.5518,19.8243,187,0,84,32.8125,0,2176,436
4005,11.5322,19.3314,186,0,83,32.421875,0,2177,436
4006,11.4939,18.8901,186,0,83,32.421875,0,2178,436
4007,11.4564,18.6011,185,0,83,32.421875,0,2179,436
4008,11.4204,17.8008,185,0,83,32.421875,0,2180,437
4009,11.4027,17.2044,185,0,83,32.421875,0,2181,437
4010,11.3686,16.7784,185,0,83,32.421875,0,2182,437
4011,11.3518,16.3098,185,0,83,32.421875,0,2183,437
4012,11.3196,16.0085,185,0,83,32.421875,0,2184,437
4013,11.2881,15.2387,185,0,83,32.421875,0,2185,438
4014,11.2577,14.7123,185,0,83,32.421875,0,2186,438
4015,11.243,14.7731,185,0,83,32.421875,0,2187,438
4016,11.2139,14.2072,185,0,83,32.421875,0,2188,438
4017,11.1858,13.6929,185,0,83,32.421875,0,2189,438
4018,11.1721,13.5499,185,0,83,32.421875,0,2190,439
4019,11.1323,13.0904,185,0,83,32.421875,0,2191,439
4020,11.1198,12.4819,185,0,83,32.421875,0,2192,439
4021,11.0954,11.8855,186,0,83,32.421875,0,2193,439
4022,11.0725,11.1947,186,0,83,32.421875,0,2194,439
4023,11.0617,10.4157,186,0,83,32.421875,0,2195,440
4024,11.0413,9.9289,187,0,84,32.8125,0,2196,440
4025,11.0318,9.0099,188,0,84,32.8125,0,2197,440
4026,11.0141,8.304,189,0,85,33.203125,0,2198,440
4027,10.9981,7.7319,190,0,85,33.203125,0,2199,440
4028,10.9907,7.3881,190,0,85,33.203125,0,2200,441
4029,10.9837,6.6091,191,0,85,33.203125,0,2201,441
4030,10.9771,6.1192,192,0,86,33.59375,0,2202,441
4031,10.965,5.8971,192,0,86,33.59375,0,2203,441
4032,10.9596,5.1425,193,0,86,33.59375,0,2204,441
4033,10.9498,4.2752,194,0,87,33.984375,0,2205,442
4034,10.9414,4.0805,195,0,87,33.984375,0,2206,442
4035,10.9377,3.3685,196,0,88,34.375,0,2207,442
4036,10.9312,3.1098,197,0,88,34.375,0,2208,442
4037,10.9285,2.4343,198,0,89,34.765625,0,2209,442
4038,10.9239,2.1878,198,0,89,34.765625,0,2210,443
4039,10.922,1.6492,200,0,90,35.15625,0,2211,443
4040,10.9189,1.4423,200,0,90,35.15625,0,2212,443
4041,10.9177,0.9646,200,0,90,35.15625,0,2213,443
4042,10.9167,0.7455,201,0,90,35.15625,0,2214,443
4043,10.9155,0.5173,202,0,90,35.15625,0,2215,444
4044,10.9151,0.1065,202,0,90,35.15625,0,2216,444
4045,10.9151,-0.0487,203,0,91,35.546875,0,2217,444
4046,10.9151,0.0304,204,0,91,35.546875,0,2218,444
4047,10.9151,-0.0122,204,0,91,35.546875,0,2219,444
4048,10.9151,0.0152,204,0,91,35.546875,0,2220,445
4049,10.9151,0.0061,204,0,91,35.546875,0,2221,445
4050,10.9151,0,204,0,91,35.546875,0,2222,445
4051,10.9151,0.003,204,0,91,35.546875,0,2223,445
4052,10.9151,0.0091,203,0,91,35.546875,0,2224,445
4053,10.9151,-0.0152,203,0,91,35.546875,0,2225,446
4054,10.9151,0.003,203,0,91,35.546875,0,2226,446
4055,10.9151,-0.003,203,0,91,35.546875,0,2227,446
4056,10.9151,-0.0061,203,0,91,35.546875,0,2228,446
4057,10.9151,0.0061,203,0,91,35.546875,0,2229,446
4058,10.9152,-0.0091,202,0,90,35.15625,0,2230,447
4059,10.9152,-0.0091,202,0,90,35.15625,0,2231,447
4060,10.9152,-0.003,202,0,90,35.15625,0,2232,447
4061,10.9152,-0.0152,202,0,90,35.15625,0,2233,447
4062,10.9152,0,202,0,90,35.15625,0,2234,447
4063,10.9152,-0.0213,202,0,90,35.15625,0,2235,448
4064,10.9153,-0.0152,201,0,90,35.15625,0,2236,448
4065,10.9153,-0.0304,201,0,90,35.15625,0,2237,448
4066,10.9153,-0.0274,201,0,90,35.15625,0,2238,448
4067,10.9154,-0.0243,201,0,90,35.15625,0,2239,448
4068,10.9154,-0.0243,201,0,90,35.15625,0,2240,449
4069,10.9155,-0.0396,200,0,90,35.15625,0,2241,449
4070,10.9155,-0.0426,200,0,90,35.15625,0,2242,449
4071,10.9156,-0.0426,200,0,90,35.15625,0,2243,449
4072,10.9157,-0.0365,200,0,90,35.15625,0,2244,449
4073,10.9157,-0.0396,199,0,89,34.765625,0,2245,450
4074,10.9158,-0.0365,199,0,89,34.765625,0,2246,450
4075,10.9159,-0.0396,199,0,89,34.765625,0,2247,450
4076,10.9159,-0.0274,199,0,89,34.765625,0,2248,450
4077,10.916,-0.0335,199,0,89,34.765625,0,2249,450
4078,10.916,-0.0487,198,0,89,34.765625,0,2250,451
4079,10.9161,-0.0396,198,0,89,34.765625,0,2251,451
4080,10.9162,-0.0365,198,0,89,34.765625,0,2252,451
4081,10.9162,-0.0213,198,0,89,34.765625,0,2253,451
4082,10.9163,-0.0274,198,0,89,34.765625,0,2254,451
4083,10.9163,-0.0396,197,0,88,34.375,0,2255,452
4084,10.9164,-0.0335,197,0,88,34.375,0,2256,452
4085,10.9164,-0.0365,197,0,88,34.375,0,2257,452
4086,10.9165,-0.0335,197,0,88,34.375,0,2258,452
4087,10.9166,-0.0396,197,0,88,34.375,0,2259,452
4088,10.9166,-0.0365,196,0,88,34.375,0,2260,453
4089,10.9167,-0.0365,196,0,88,34.375,0,2261,453
4090,10.9168,-0.0396,196,0,88,34.375,0,2262,453
4091,10.9168,-0.0365,196,0,88,34.375,0,2263,453
4092,10.9169,-0.0396,196,0,88,34.375,0,2264,453
4093,10.917,-0.0487,195,0,87,33.984375,0,2265,454
4094,10.9171,-0.0578,195,0,87,33.984375,0,2266,454
4095,10.9172,-0.0669,195,0,87,33.984375,0,2267,454
4096,10.9173,-0.0669,195,0,87,33.984375,0,2268,454
4097,10.9174,-0.0822,195,0,87,33.984375,0,2269,454
4098,10.9175,-0.1065,195,0,87,33.984375,0,2270,455
4099,10.9177,-0.1187,194,0,87,33.984375,0,2271,455
4100,10.918,-0.1248,194,0,87,33.984375,0,2272,455
4101,10.9181,-0.1521,194,0,87,33.984375,0,2273,455
4102,10.9183,-0.1734,194,0,87,33.984375,0,2274,455
4103,10.9186,-0.213,194,0,87,33.984375,0,2275,456
4104,10.9191,-0.2221,194,0,87,33.984375,0,2276,456
4105,10.9193,-0.2434,194,0,87,33.984375,0,2277,456
4106,10.9198,-0.286,193,0,86,33.59375,0,2278,456
4107,10.9204,-0.3347,193,0,86,33.59375,0,2279,456
4108,10.9211,-0.3499,193,0,86,33.59375,0,2280,457
4109,10.9215,-0.3956,193,0,86,33.59375,0,2281,457
4110,10.9223,-0.4443,193,0,86,33.59375,0,2282,457
4111,10.9232,-0.4686,193,0,86,33.59375,0,2283,457
4112,10.9242,-0.5386,193,0,86,33.59375,0,2284,457
4113,10.9253,-0.5568,193,0,86,33.59375,0,2285,458
4114,10.9259,-0.6025,193,0,86,33.59375,0,2286,458
4115,10.9271,-0.6207,193,0,86,33.59375,0,2287,458
4116,10.9284,-0.6664,193,0,86,33.59375,0,2288,458
4117,10.9291,-0.7425,192,0,86,33.59375,0,2289,458
4118,10.9306,-0.7911,192,0,86,33.59375,0,2290,459
4119,10.9315,-0.9068,192,0,86,33.59375,0,2291,459
4120,10.9334,-0.9889,193,0,86,33.59375,0,2292,459
4121,10.9344,-1.138,193,0,86,33.59375,0,2293,459
4122,10.9368,-1.3054,193,0,86,33.59375,0,2294,459
4123,10.9395,-1.418,193,0,86,33.59375,0,2295,460
4124,10.9411,-1.6918,193,0,86,33.59375,0,2296,460
4125,10.9446,-1.9048,193,0,86,33.59375,0,2297,460
4126,10.9465,-1.99,194,0,87,33.984375,0,2298,460
4127,10.9506,-2.1817,194,0,87,33.984375,0,2299,460
4128,10.953,-2.486,194,0,87,33.984375,0,2300,461
4129,10.9581,-2.8603,195,0,87,33.984375,0,2301,461
4130,10.964,-3.2285,195,0,87,33.984375,0,2302,461
4131,10.9706,-3.4628,196,0,88,34.375,0,2303,461
4132,10.9741,-3.6819,196,0,88,34.375,0,2304,461
4133,10.9817,-3.9101,197,0,88,34.375,0,2305,462
4134,10.9858,-4.3361,198,0,89,34.765625,0,2306,462
4135,10.9948,-4.6891,199,0,89,34.765625,0,2307,462
4136,11.0044,-5.3311,200,0,90,35.15625,0,2308,462
4137,11.0153,-5.5106,200,0,90,35.15625,0,2309,462
4138,11.0211,-5.8454,201,0,90,35.15625,0,2310,463
4139,11.0269,-6.1618,202,0,90,35.15625,0,2311,463
4140,11.0396,-6.4904,202,0,90,35.15625,0,2312,463
4141,11.0532,-6.8556,204,0,91,35.546875,0,2313,463
4142,11.0758,-7.9936,206,0,92,35.9375,0,2314,463
4143,11.0921,-8.2736,207,0,93,36.328125,0,2315,464
4144,11.1005,-8.946,208,0,93,36.328125,0,2316,464
4145,11.1181,-8.9795,209,0,94,36.71875,0,2317,464
4146,11.1458,-9.4907,210,0,94,36.71875,0,2318,464
4147,11.1651,-9.8072,212,0,95,37.109375,0,2319,464
4148,11.175,-10.0476,212,0,95,37.109375,0,2320,465
4149,11.1953,-10.2423,213,0,95,37.109375,0,2321,465
4150,11.2056,-10.7839,215,0,96,37.5,0,2322,465
4151,11.2271,-11.0791,216,0,97,37.890625,0,2323,465
4152,11.2495,-11.6299,216,0,97,37.890625,0,2324,465
4153,11.273,-11.9463,218,0,98,38.28125,0,2325,466
4154,11.2852,-12.5914,219,0,98,38.28125,0,2326,466
4155,11.2978,-12.9961,220,0,99,38.671875,0,2327,466
4156,11.3242,-13.4221,221,0,99,38.671875,0,2328,466
4157,11.3381,-14.3015,223,0,100,39.0625,0,2329,466
4158,11.3675,-15.2965,224,0,100,39.0625,0,2330,467
4159,11.3987,-15.9142,227,0,102,39.84375,0,2331,467
4160,11.4152,-24.7446,228,0,102,39.84375,0,2332,467
4161,12.1166,-24.4525,266,0,119,46.484375,0,2333,467
4162,12.1653,-24.2882,268,0,120,46.875,0,2334,467
4163,12.2139,-24.4586,269,0,121,47.265625,0,2335,468
4164,12.263,-24.6807,270,0,121,47.265625,0,2336,468
4165,12.3125,-24.9029,272,0,122,47.65625,0,2337,468
4166,12.3376,-25.2071,274,0,123,48.046875,0,2338,468
4167,12.388,-25.271,274,0,123,48.046875,0,2339,468
4168,12.4133,-25.1006,276,0,124,48.4375,0,2340,469
4169,12.4882,-24.7781,278,0,125,48.828125,0,2341,469
4170,12.5128,-24.3917,279,0,125,48.828125,0,2342,469
4171,12.5615,-24.3156,279,0,125,48.828125,0,2343,469
4172,12.61,-24.2821,280,0,126,49.21875,0,2344,469
4173,12.6587,-24.4038,281,0,126,49.21875,0,2345,470
4174,12.6832,-24.702,282,0,126,49.21875,0,2346,470
4175,12.7328,-25.0885,284,0,127,49.609375,0,2347,470
4176,12.7831,-25.3167,287,0,129,50.390625,0,2348,470
4177,12.8337,-25.2254,288,0,129,50.390625,0,2349,470
4178,12.859,-25.0428,290,0,130,50.78125,0,2350,471
4179,12.9088,-24.4525,291,0,130,50.78125,0,2351,471
4180,12.9574,-24.1482,292,0,131,51.171875,0,2352,471
4181,12.9813,-23.6127,292,0,131,51.171875,0,2353,471
4182,13.0284,-23.5001,293,0,131,51.171875,0,2354,471
4183,13.0517,-23.3175,293,0,131,51.171875,0,2355,472
4184,13.0983,-23.284,294,0,132,51.5625,0,2356,472
4185,13.1217,-23.4757,295,0,132,51.5625,0,2357,472
4186,13.1688,-23.5914,296,0,133,51.953125,0,2358,472
4187,13.2161,-23.7222,298,0,134,52.34375,0,2359,472
4188,13.2398,-23.6462,299,0,134,52.34375,0,2360,473
4189,13.2868,-23.1502,300,0,135,52.734375,0,2361,473
4190,13.3327,-22.572,301,0,135,52.734375,0,2362,473
4191,13.3777,-22.3438,302,0,135,52.734375,0,2363,473
4192,13.3997,-21.9634,302,0,135,52.734375,0,2364,473
4193,13.4435,-22.0213,303,0,136,53.125,0,2365,474
4194,13.4876,-22.1643,304,0,136,53.125,0,2366,474
4195,13.532,-22.2677,305,0,137,53.515625,0,2367,474
4196,13.5546,-22.782,306,0,137,53.515625,0,2368,474
4197,13.6003,-22.9402,308,0,138,53.90625,0,2369,474
4198,13.6467,-23.3784,310,0,139,54.296875,0,2370,475
4199,13.6932,-23.1928,312,0,140,54.6875,0,2371,475
4200,13.7163,-22.7515,313,0,140,54.6875,0,2372,475
4201,13.7615,-22.4138,315,0,141,55.078125,0,2373,475
4202,13.8262,-21.2453,316,0,142,55.46875,0,2374,475
4203,13.8679,-20.795,316,0,142,55.46875,0,2375,476
4204,13.8885,-20.4329,317,0,142,55.46875,0,2376,476
4205,13.9292,-20.2746,318,0,143,55.859375,0,2377,476
4206,13.9697,-20.2594,318,0,143,55.859375,0,2378,476
4207,13.99,-20.2959,319,0,143,55.859375,0,2379,476
4208,14.0104,-20.159,320,0,144,56.25,0,2380,477
4209,14.0509,-20.3051,321,0,144,56.25,0,2381,477
4210,14.071,-20.0616,322,0,144,56.25,0,2382,477
4211,14.1111,-19.3892,322,0,144,56.25,0,2383,477
4212,14.1305,-19.1336,323,0,145,56.640625,0,2384,477
4213,14.1683,-18.3607,323,0,145,56.640625,0,2385,478
4214,14.2044,-17.7369,323,0,145,56.640625,0,2386,478
4215,14.2218,-16.9518,323,0,145,56.640625,0,2387,478
4216,14.2553,-16.1698,323,0,145,56.640625,0,2388,478
4217,14.2875,-15.7286,323,0,145,56.640625,0,2389,478
4218,14.3188,-15.5795,323,0,145,56.640625,0,2390,479
4219,14.3344,-15.33,323,0,145,56.640625,0,2391,479
4220,14.3651,-15.3391,324,0,145,56.640625,0,2392,479
4221,14.3804,-15.1352,324,0,145,56.640625,0,2393,479
4222,14.4109,-15.0531,325,0,146,57.03125,0,2394,479
4223,14.441,-15.0592,326,0,146,57.03125,0,2395,480
4224,14.4561,-14.831,327,0,147,57.421875,0,2396,480
4225,14.4857,-14.837,328,0,147,57.421875,0,2397,480
4226,14.5143,-14.198,328,0,147,57.421875,0,2398,480
4227,14.5281,-13.3095,329,0,148,57.8125,0,2399,480
4228,14.5543,-12.281,329,0,148,57.8125,0,2400,481
4229,14.5782,-11.6755,329,0,148,57.8125,0,2401,481
4230,14.5893,-10.3701,328,0,147,57.421875,0,2402,481
4231,14.6094,-9.7494,328,0,147,57.421875,0,2403,481
4232,14.6341,-6.7582,326,0,146,57.03125,0,2404,481
4233,14.6471,-5.6567,323,0,145,56.640625,0,2405,482
4234,14.6579,-4.3696,322,0,144,56.25,0,2406,482
4235,14.6622,-3.8005,321,0,144,56.25,0,2407,482
4236,14.6693,-3.2528,320,0,144,56.25,0,2408,482
4237,14.6721,-2.3856,318,0,143,55.859375,0,2409,482
4238,14.6763,-1.4088,318,0,143,55.859375,0,2410,483
4239,14.6787,-0.5903,315,0,141,55.078125,0,2411,483
4240,14.6795,0.1035,314,0,141,55.078125,0,2412,483
4241,14.6791,0.2799,313,0,140,54.6875,0,2413,483
4242,14.6787,0.1704,313,0,140,54.6875,0,2414,483
4243,14.6787,-0.073,313,0,140,54.6875,0,2415,484
4244,14.6787,-0.0974,313,0,140,54.6875,0,2416,484
4245,14.6789,0.0456,313,0,140,54.6875,0,2417,484
4246,14.6788,0.0335,313,0,140,54.6875,0,2418,484
4247,14.6787,0,314,0,141,55.078125,0,2419,484
4248,14.6787,-0.0091,314,0,141,55.078125,0,2420,485
4249,14.6787,0.0304,314,0,141,55.078125,0,2421,485
4250,14.6787,0.0335,315,0,141,55.078125,0,2422,485
4251,14.6786,0.0578,315,0,141,55.078125,0,2423,485
4252,14.6784,0.073,316,0,142,55.46875,0,2424,485
4253,14.6784,0.0852,316,0,142,55.46875,0,2425,486
4254,14.6782,0.0974,316,0,142,55.46875,0,2426,486
4255,14.6781,0.1004,317,0,142,55.46875,0,2427,486
4256,14.6779,0.1308,317,0,142,55.46875,0,2428,486
4257,14.6776,0.1521,318,0,143,55.859375,0,2429,486
4258,14.6773,0.1826,318,0,143,55.859375,0,2430,487
4259,14.6769,0.2069,318,0,143,55.859375,0,2431,487
4260,14.6767,0.2221,319,0,143,55.859375,0,2432,487
4261,14.6762,0.2434,319,0,143,55.859375,0,2433,487
4262,14.6757,0.283,319,0,143,55.859375,0,2434,487
4263,14.6751,0.3317,320,0,144,56.25,0,2435,488
4264,14.6744,0.4047,320,0,144,56.25,0,2436,488
4265,14.674,0.4473,321,0,144,56.25,0,2437,488
4266,14.6731,0.5295,321,0,144,56.25,0,2438,488
4267,14.672,0.5721,321,0,144,56.25,0,2439,488
4268,14.6707,0.6542,322,0,144,56.25,0,2440,489
4269,14.6693,0.7516,322,0,144,56.25,0,2441,489
4270,14.6685,0.8307,322,0,144,56.25,0,2442,489
4271,14.6667,0.8976,322,0,144,56.25,0,2443,489
4272,14.6658,1.0924,322,0,144,56.25,0,2444,489
4273,14.6647,1.1745,323,0,145,56.640625,0,2445,490
4274,14.6622,1.3662,323,0,145,56.640625,0,2446,490
4275,14.6593,1.7223,323,0,145,56.640625,0,2447,490
4276,14.6557,1.8927,323,0,145,56.640625,0,2448,490
4277,14.6537,2.1817,322,0,144,56.25,0,2449,490
4278,14.6491,2.343,322,0,144,56.25,0,2450,491
4279,14.6466,2.7568,322,0,144,56.25,0,2451,491
4280,14.641,2.842,322,0,144,56.25,0,2452,491
4281,14.6379,3.192,322,0,144,56.25,0,2453,491
4282,14.6312,3.5206,322,0,144,56.25,0,2454,491
4283,14.6275,3.8614,321,0,144,56.25,0,2455,492
4284,14.6195,4.1383,321,0,144,56.25,0,2456,492
4285,14.6152,4.3939,320,0,144,56.25,0,2457,492
4286,14.6062,4.6799,320,0,144,56.25,0,2458,492
4287,14.6013,5.0603,320,0,144,56.25,0,2459,492
4288,14.5911,5.2277,319,0,143,55.859375,0,2460,493
4289,14.5803,5.5319,319,0,143,55.859375,0,2461,493
4290,14.5747,5.818,319,0,143,55.859375,0,2462,493
4291,14.5689,5.7145,318,0,143,55.859375,0,2463,493
4292,14.5574,6.0644,318,0,143,55.859375,0,2464,493
4293,14.5452,5.9914,318,0,143,55.859375,0,2465,494
4294,14.5332,5.9853,318,0,143,55.859375,0,2466,494
4295,14.5271,6.1131,318,0,143,55.859375,0,2467,494
4296,14.521,5.9427,318,0,143,55.859375,0,2468,494
4297,14.5091,6.0462,318,0,143,55.859375,0,2469,494
4298,14.4972,5.891,318,0,143,55.859375,0,2470,495
4299,14.4859,5.5685,318,0,143,55.859375,0,2471,495
4300,14.4748,5.4528,318,0,143,55.859375,0,2472,495
4301,14.4693,5.1759,319,0,143,55.859375,0,2473,495
4302,14.4591,5.0877,319,0,143,55.859375,0,2474,495
4303,14.454,4.9234,320,0,144,56.25,0,2475,496
4304,14.4442,4.6891,320,0,144,56.25,0,2476,496
4305,14.4349,4.6678,321,0,144,56.25,0,2477,496
4306,14.4257,4.5613,321,0,144,56.25,0,2478,496
4307,14.4211,4.4639,322,0,144,56.25,0,2479,496
4308,14.4122,4.4395,322,0,144,56.25,0,2480,497
4309,14.4031,4.5917,322,0,144,56.25,0,2481,497
4310,14.3985,4.5856,322,0,144,56.25,0,2482,497
4311,14.3939,4.6312,322,0,144,56.25,0,2483,497
4312,14.3892,4.6799,323,0,145,56.640625,0,2484,497
4313,14.3796,4.9355,322,0,144,56.25,0,2485,498
4314,14.3747,5.182,322,0,144,56.25,0,2486,498
4315,14.3695,5.1759,322,0,144,56.25,0,2487,498
4316,14.3589,5.3585,322,0,144,56.25,0,2488,498
4317,14.3533,5.6871,322,0,144,56.25,0,2489,498
4318,14.3474,5.964,322,0,144,56.25,0,2490,499
4319,14.3353,6.101,321,0,144,56.25,0,2491,499
4320,14.3288,6.7765,321,0,144,56.25,0,2492,499
4321,14.315,6.9377,320,0,144,56.25,0,2493,499
4322,14.3001,7.6954,319,0,143,55.859375,0,2494,499
4323,14.2922,8.1701,318,0,143,55.859375,0,2495,500
4324,14.2753,8.9886,318,0,143,55.859375,0,2496,500
4325,14.257,9.8254,317,0,142,55.46875,0,2497,500
4326,14.2371,10.647,314,0,141,55.078125,0,2498,500
4327,14.2154,11.4838,314,0,141,55.078125,0,2499,500
4328,14.192,12.2902,312,0,140,54.6875,0,2500,501
4329,14.154,13.0265,309,0,139,54.296875,0,2501,501
4330,14.1407,13.5742,308,0,138,53.90625,0,2502,501
4331,14.1134,13.7629,307,0,138,53.90625,0,2503,501
4332,14.0993,14.0611,306,0,137,53.515625,0,2504,501
4333,14.0853,14.2133,305,0,137,53.515625,0,2505,502
4334,14.0711,14.0002,304,0,136,53.125,0,2506,502
4335,14.043,14.0702,304,0,136,53.125,0,2507,502
4336,14.0292,13.7112,304,0,136,53.125,0,2508,502
4337,14.0018,13.3704,303,0,136,53.125,0,2509,502
4338,13.9752,12.9778,302,0,135,52.734375,0,2510,503
4339,13.9622,13.0265,302,0,135,52.734375,0,2511,503
4340,13.9365,12.6614,302,0,135,52.734375,0,2512,503
4341,13.9238,12.4788,302,0,135,52.734375,0,2513,503
4342,13.8987,12.5458,302,0,135,52.734375,0,2514,503
4343,13.8864,12.3754,302,0,135,52.734375,0,2515,504
4344,13.8617,12.3145,302,0,135,52.734375,0,2516,504
4345,13.8491,12.3601,302,0,135,52.734375,0,2517,504
4346,13.8241,12.564,301,0,135,52.734375,0,2518,504
4347,13.8115,13.0509,301,0,135,52.734375,0,2519,504
4348,13.7855,12.9139,301,0,135,52.734375,0,2520,505
4349,13.7722,13.3308,300,0,135,52.734375,0,2521,505
4350,13.7589,13.6868,300,0,135,52.734375,0,2522,505
4351,13.7176,14.0185,299,0,134,52.34375,0,2523,505
4352,13.6895,14.0794,298,0,134,52.34375,0,2524,505
4353,13.6754,13.9637,298,0,134,52.34375,0,2525,506
4354,13.6472,14.1859,297,0,133,51.953125,0,2526,506
4355,13.6334,13.8116,297,0,133,51.953125,0,2527,506
4356,13.606,13.4525,296,0,133,51.953125,0,2528,506
4357,13.5793,13.0965,296,0,133,51.953125,0,2529,506
4358,13.5532,13.0052,296,0,133,51.953125,0,2530,507
4359,13.5403,12.8105,296,0,133,51.953125,0,2531,507
4360,13.5148,12.8592,296,0,133,51.953125,0,2532,507
4361,13.4892,12.9018,296,0,133,51.953125,0,2533,507
4362,13.4635,13.1848,295,0,132,51.5625,0,2534,507
4363,13.4372,13.6351,295,0,132,51.5625,0,2535,508
4364,13.4235,13.6199,294,0,132,51.5625,0,2536,508
4365,13.3958,14.3654,293,0,131,51.171875,0,2537,508
4366,13.3666,15.2265,293,0,131,51.171875,0,2538,508
4367,13.336,15.972,290,0,130,50.78125,0,2539,508
4368,13.3037,16.5106,288,0,129,50.390625,0,2540,509
4369,13.2703,16.891,288,0,129,50.390625,0,2541,509
4370,13.2533,16.9853,287,0,129,50.390625,0,2542,509
4371,13.2363,17.1588,285,0,128,50,0,2543,509
4372,13.2192,17.0979,285,0,128,50,0,2544,509
4373,13.1851,16.9305,284,0,127,49.609375,0,2545,510
4374,13.1683,16.6901,283,0,127,49.609375,0,2546,510
4375,13.1353,16.2215,283,0,127,49.609375,0,2547,510
4376,13.1031,16.0451,282,0,126,49.21875,0,2548,510
4377,13.0874,15.6677,281,0,126,49.21875,0,2549,510
4378,13.0563,15.187,281,0,126,49.21875,0,2550,511
4379,13.0411,15.1535,281,0,126,49.21875,0,2551,511
4380,12.9962,14.9527,280,0,126,49.21875,0,2552,511
4381,12.9668,14.6636,281,0,126,49.21875,0,2553,511
4382,12.9373,14.8066,280,0,126,49.21875,0,2554,511
4383,12.9225,14.621,280,0,126,49.21875,0,2555,512
4384,12.8933,14.6393,280,0,126,49.21875,0,2556,512
4385,12.8643,14.4719,279,0,125,48.828125,0,2557,512
4386,12.8357,14.1189,279,0,125,48.828125,0,2558,512
4387,12.8218,13.9333,279,0,125,48.828125,0,2559,512
4388,12.8081,13.3856,279,0,125,48.828125,0,2560,513
4389,12.7817,12.9961,279,0,125,48.828125,0,2561,513
4390,12.7691,12.2993,280,0,126,49.21875,0,2562,513
4391,12.7568,11.9128,280,0,126,49.21875,0,2563,513
4392,12.7334,11.1004,281,0,126,49.21875,0,2564,513
4393,12.7115,10.7474,281,0,126,49.21875,0,2565,514
4394,12.7011,10.0415,282,0,126,49.21875,0,2566,514
4395,12.6911,9.9015,282,0,126,49.21875,0,2567,514
4396,12.6812,9.6216,283,0,127,49.609375,0,2568,514
4397,12.6622,9.2808,284,0,127,49.609375,0,2569,514
4398,12.6439,9.0069,284,0,127,49.609375,0,2570,515
4399,12.635,8.87,285,0,128,50,0,2571,515
4400,12.6174,8.8152,285,0,128,50,0,2572,515
4401,12.5998,8.6448,285,0,128,50,0,2573,515
4402,12.5912,8.9004,285,0,128,50,0,2574,515
4403,12.5733,8.9339,284,0,127,49.609375,0,2575,516
4404,12.5645,9.2016,284,0,127,49.609375,0,2576,516
4405,12.546,9.2564,284,0,127,49.609375,0,2577,516
4406,12.5367,9.5698,283,0,127,49.609375,0,2578,516
4407,12.5174,9.652,282,0,126,49.21875,0,2579,516
4408,12.5075,9.9015,282,0,126,49.21875,0,2580,517
4409,12.4975,10.0628,282,0,126,49.21875,0,2581,517
4410,12.4873,10.151,282,0,126,49.21875,0,2582,517
4411,12.477,10.3397,281,0,126,49.21875,0,2583,517
4412,12.456,10.6561,280,0,126,49.21875,0,2584,517
4413,12.4453,10.72,279,0,125,48.828125,0,2585,518
4414,12.4238,10.6287,279,0,125,48.828125,0,2586,518
4415,12.4132,10.8265,278,0,125,48.828125,0,2587,518
4416,12.3919,10.5314,278,0,125,48.828125,0,2588,518
4417,12.3813,10.3153,277,0,124,48.4375,0,2589,518
4418,12.3609,10.011,277,0,124,48.4375,0,2590,519
4419,12.3415,9.4359,277,0,124,48.4375,0,2591,519
4420,12.323,8.6691,277,0,124,48.4375,0,2592,519
4421,12.3143,8.514,277,0,124,48.4375,0,2593,519
4422,12.2977,7.7471,278,0,125,48.828125,0,2594,519
4423,12.2823,7.592,278,0,125,48.828125,0,2595,520
