cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
1,143.289,-0,-2.1572,0,-7,0,0,0,0,0,-3,0
2,143.292,-0,2.1572,0,-7,0,0,0,0,0,-3,0
3,143.289,-0,0,0,-7,0,0,0,0,0,-3,0
4,143.289,-0,0,0,-6,0,0,0,0,0,-2,0
5,143.289,-0,0,0,-6,0,0,0,0,0,-2,0
6,143.289,-0,0,0,-4,0,0,0,0,0,-1,0
7,143.289,-0,0,0,-4,0,0,0,0,0,-1,0
8,143.289,-0,0,0,-7,0,0,0,0,0,-3,0
9,143.289,-0,0,0,-7,0,0,0,0,0,-3,0
10,143.292,-0,0,0,-4,0,0,0,0,0,-1,0
11,143.289,-0,0,0,-7,0,0,0,0,0,-3,0
12,143.287,-0,-2.1572,0,-7,0,0,0,0,0,-3,0
13,143.292,-0,2.1572,0,-7,0,0,0,0,0,-3,0
14,143.289,-0,0,0,-7,0,0,0,0,0,-3,0
15,143.292,-0,-2.1572,0,-6,0,0,0,0,0,-2,0
16,143.292,-0,2.1572,0,-7,0,0,0,0,0,-3,0
17,143.287,-0,2.1572,0,-8,0,0,0,0,0,-3,0
18,143.292,-0,-2.1572,0,-7,0,0,0,0,0,-3,0
19,143.287,-0,2.1572,0,-8,0,0,0,0,0,-3,0
20,143.292,-0,2.1572,0,-4,0,0,0,0,0,-1,0
21,143.289,-0,0,0,-7,0,0,0,0,0,-3,0
22,143.289,-0,0,0,-6,0,0,0,0,0,-2,0
23,143.289,-0,0,0,-8,0,0,0,0,0,-3,0
24,143.292,-0,-2.1572,0,-4,0,0,0,0,0,-1,0
25,143.289,-0,-2.1572,0,-4,0,0,0,0,0,-1,0
26,143.289,-0,-2.1572,0,-8,0,0,0,0,0,-3,0
27,143.292,-0,-2.1572,0,-7,0,0,0,0,0,-3,0
28,143.289,-0,2.1572,0,-9,0,0,0,0,0,-4,0
29,143.292,-0,0,0,-4,0,0,0,0,0,-1,0
30,143.289,-0,0,0,-7,0,0,0,0,0,-3,0
31,143.292,-0,2.1572,0,-4,0,0,0,0,0,-1,0
32,143.289,-0,-2.1572,0,-4,0,0,0,0,0,-1,0
33,143.289,-0,-2.1572,0,-4,0,0,0,0,0,-1,0
34,143.289,-0,4.3143,0,-7,0,0,0,0,0,-3,0
35,143.289,-0,0,0,-8,0,0,0,0,0,-3,0
36,143.289,-0,-2.1572,0,-6,0,0,0,0,0,-2,0
37,143.289,-0,0,0,-6,0,0,0,0,0,-2,0
38,143.289,-0,0,0,-6,0,0,0,0,0,-2,0
39,143.287,-0,0,0,-7,0,0,0,0,0,-3,0
40,143.289,-0,0,0,-7,0,0,0,0,0,-3,0
41,143.289,-0,0,0,-4,0,0,0,0,0,-1,0
42,143.287,-0,2.1572,0,-6,0,0,0,0,0,-2,0
43,143.287,-0,-2.1572,0,-4,0,0,0,0,0,-1,0
44,143.292,-0,-2.1572,0,-6,0,0,0,0,0,-2,0
45,143.289,-0,0,0,-8,0,0,0,0,0,-3,0
46,143.289,-0,-2.1572,0,-7,0,0,0,0,0,-3,0
47,143.289,-0,-2.1572,0,-7,0,0,0,0,0,-3,0
48,143.287,-0,2.1572,0,-6,0,0,0,0,0,-2,0
49,143.287,-0,-2.1572,0,-6,0,0,0,0,0,-2,0
50,143.289,-0,0,0,-6,0,0,0,0,0,-2,0
51,143.289,-0,2.1572,0,-7,0,0,0,0,0,-3,0
52,143.289,-0,0,0,-8,0,0,0,0,0,-3,0
53,143.292,-0,2.1572,0,-9,0,0,0,0,0,-4,0
54,143.292,-0,-2.1572,0,-4,0,0,0,0,0,-1,0
55,143.292,-0,0,0,-7,0,0,0,0,0,-3,0
56,143.292,-0,-2.1572,0,-8,0,0,0,0,0,-3,0
57,143.292,-0,0,0,-4,0,0,0,0,0,-1,0
58,143.292,-0,0,0,-6,0,0,0,0,0,-2,0
59,143.292,-0,2.1572,0,-7,0,0,0,0,0,-3,0
60,143.292,-0,0,0,-8,0,0,0,0,0,-3,0
61,143.292,-0,0,0,-4,0,0,0,0,0,-1,0
62,143.292,-0,0,0,-7,0,0,0,0,0,-3,0
63,143.292,-0,0,0,-6,0,0,0,0,0,-2,0
64,143.292,-0,0,0,-7,0,0,0,0,0,-3,0
65,143.292,-0,0,0,-4,0,0,0,0,0,-1,0
66,143.289,-0,4.3143,0,-7,0,0,0,0,0,-3,0
67,143.292,-0,0,0,-6,0,0,0,0,0,-2,0
68,143.292,-0,-2.1572,0,-6,0,0,0,0,0,-2,0
