cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
1,105.999,-0,0,0,-11,0,0,0,0,0,-4,0
2,105.996,-0,-2.1572,0,-13,0,0,0,0,0,-5,0
3,105.996,-0,-2.1572,0,-13,0,0,0,0,0,-5,0
4,105.999,-0,0,0,-14,0,0,0,0,0,-6,0
5,105.996,-0,-2.1572,0,-13,0,0,0,0,0,-5,0
6,105.999,-0,-2.1572,0,-13,0,0,0,0,0,-5,0
7,105.999,-0,0,0,-14,0,0,0,0,0,-6,0
8,105.999,-0,0,0,-13,0,0,0,0,0,-5,0
9,105.999,-0,0,0,-14,0,0,0,0,0,-6,0
10,105.999,-0,0,0,-13,0,0,0,0,0,-5,0
11,105.999,-0,0,0,-14,0,0,0,0,0,-6,0
12,105.999,-0,0,0,-13,0,0,0,0,0,-5,0
13,106.001,-0,-2.1572,0,-14,0,0,0,0,0,-6,0
14,105.999,-0,0,0,-13,0,0,0,0,0,-5,0
15,105.999,-0,0,0,-13,0,0,0,0,0,-5,0
16,105.999,-0,0,0,-14,0,0,0,0,0,-6,0
17,105.999,-0,0,0,-12,0,0,0,0,0,-5,0
18,106.001,-0,2.1572,0,-14,0,0,0,0,0,-6,0
19,105.999,-0,0,0,-13,0,0,0,0,0,-5,0
20,105.999,-0,0,0,-14,0,0,0,0,0,-6,0
21,105.996,-0,-2.1572,0,-14,0,0,0,0,0,-6,0
22,105.996,-0,-2.1572,0,-12,0,0,0,0,0,-5,0
23,105.999,-0,0,0,-10,0,0,0,0,0,-4,0
24,105.999,-0,0,0,-14,0,0,0,0,0,-6,0
25,105.999,-0,0,0,-13,0,0,0,0,0,-5,0
26,105.999,-0,-2.1572,0,-14,0,0,0,0,0,-6,0
27,106.001,-0,-2.1572,0,-13,0,0,0,0,0,-5,0
28,105.999,-0,-2.1572,0,-13,0,0,0,0,0,-5,0
29,106.001,-0,0,0,-13,0,0,0,0,0,-5,0
30,105.999,-0,2.1572,0,-14,0,0,0,0,0,-6,0
31,105.999,-0,0,0,-10,0,0,0,0,0,-4,0
32,105.999,-0,0,0,-14,0,0,0,0,0,-6,0
33,105.999,-0,0,0,-10,0,0,0,0,0,-4,0
34,106.001,-0,2.1572,0,-13,0,0,0,0,0,-5,0
35,106.001,-0,0,0,-14,0,0,0,0,0,-6,0
36,106.001,-0,0,0,-13,0,0,0,0,0,-5,0
37,106.003,-0,2.1572,0,-12,0,0,0,0,0,-5,0
38,106.001,-0,2.1572,0,-14,0,0,0,0,0,-6,0
39,105.999,-0,2.1572,0,-13,0,0,0,0,0,-5,0
40,105.999,-0,-2.1572,0,-13,0,0,0,0,0,-5,0
41,106.001,-0,0,0,-14,0,0,0,0,0,-6,0
42,106.001,-0,0,0,-14,0,0,0,0,0,-6,0
43,106.001,-0,-2.1572,0,-11,0,0,0,0,0,-4,0
