cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
1,108.999,-0,0,0,31,0,0,0,0,0,13,0
2,108.999,-0,0,0,31,0,0,0,0,0,13,0
3,108.997,-0,0,0,31,0,0,0,0,0,13,0
4,108.999,-0,-2.1572,0,31,0,0,0,0,0,13,0
5,108.999,-0,0,0,28,0,0,0,0,0,12,0
6,108.999,-0,0,0,31,0,0,0,0,0,13,0
7,108.999,-0,0,0,28,0,0,0,0,0,12,0
8,108.999,-0,0,0,30,0,0,0,0,0,13,0
9,108.999,-0,2.1572,0,30,0,0,0,0,0,13,0
10,108.999,-0,2.1572,0,30,0,0,0,0,0,13,0
11,108.999,-0,0,0,31,0,0,0,0,0,13,0
12,108.999,-0,0,0,30,0,0,0,0,0,13,0
13,108.997,-0,-4.3143,0,28,0,0,0,0,0,12,0
14,109.001,-0,0,0,31,0,0,0,0,0,13,0
15,109.001,-0,2.1572,0,28,0,0,0,0,0,12,0
16,108.999,-0,0,0,28,0,0,0,0,0,12,0
17,109.001,-0,0,0,28,0,0,0,0,0,12,0
18,108.997,-0,2.1572,0,31,0,0,0,0,0,13,0
19,108.999,-0,2.1572,0,28,0,0,0,0,0,12,0
20,109.001,-0,2.1572,0,31,0,0,0,0,0,13,0
21,108.999,-0,0,0,28,0,0,0,0,0,12,0
22,108.999,-0,0,0,31,0,0,0,0,0,13,0
23,108.997,-0,-2.1572,0,28,0,0,0,0,0,12,0
24,108.999,-0,0,0,31,0,0,0,0,0,13,0
25,108.997,-0,0,0,26,0,0,0,0,0,11,0
26,108.997,-0,-2.1572,0,28,0,0,0,0,0,12,0
27,108.999,-0,0,0,32,0,0,0,0,0,14,0
28,108.999,-0,0,0,31,0,0,0,0,0,13,0
29,108.997,-0,2.1572,0,30,0,0,0,0,0,13,0
30,108.999,-0,0,0,28,0,0,0,0,0,12,0
31,108.999,-0,0,0,31,0,0,0,0,0,13,0
32,108.999,-0,2.1572,0,31,0,0,0,0,0,13,0
33,108.999,-0,0,0,31,0,0,0,0,0,13,0
34,108.999,-0,0,0,30,0,0,0,0,0,13,0
35,108.999,-0,0,0,31,0,0,0,0,0,13,0
36,108.999,-0,0,0,28,0,0,0,0,0,12,0
37,108.997,-0,-4.3143,0,31,0,0,0,0,0,13,0
38,108.999,-0,0,0,28,0,0,0,0,0,12,0
39,108.999,-0,0,0,28,0,0,0,0,0,12,0
40,108.999,-0,2.1572,0,27,0,0,0,0,0,12,0
41,108.997,-0,-2.1572,0,28,0,0,0,0,0,12,0
42,109.001,-0,0,0,28,0,0,0,0,0,12,0
43,108.999,-0,0,0,30,0,0,0,0,0,13,0
44,108.997,-0,-2.1572,0,31,0,0,0,0,0,13,0
45,108.999,-0,0,0,28,0,0,0,0,0,12,0
46,108.999,-0,-2.1572,0,30,0,0,0,0,0,13,0
47,108.999,-0,-2.1572,0,30,0,0,0,0,0,13,0
48,108.999,-0,0,0,28,0,0,0,0,0,12,0
