cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
1,143.292,-0,-4.3143,0,-2,0,0,0,0,0,0,0
2,143.292,-0,2.1572,0,0,0,0,0,0,0,0,0
3,143.287,-0,-2.1572,0,-4,0,0,0,0,0,-1,0
4,143.292,-0,-2.1572,0,0,0,0,0,0,0,0,0
5,143.289,-0,2.1572,0,-2,0,0,0,0,0,0,0
6,143.285,-0,-2.1572,0,-1,0,0,0,0,0,0,0
7,143.285,-0,-4.3143,0,-2,0,0,0,0,0,0,0
8,143.289,-0,-2.1572,0,-4,0,0,0,0,0,-1,0
9,143.289,-0,-6.4715,0,-4,0,0,0,0,0,-1,0
10,143.292,-0,0,0,-1,0,0,0,0,0,0,0
11,143.287,-0,0,0,-2,0,0,0,0,0,0,0
12,143.292,-0,4.3143,0,-2,0,0,0,0,0,0,0
13,143.292,-0,2.1572,0,-4,0,0,0,0,0,-1,0
14,143.289,-0,2.1572,0,-2,0,0,0,0,0,0,0
15,143.287,-0,-2.1572,0,0,0,0,0,0,0,0,0
16,143.294,-0,4.3143,0,-4,0,0,0,0,0,-1,0
17,143.292,-0,2.1572,0,0,0,0,0,0,0,0,0
18,143.289,-0,-4.3143,0,-4,0,0,0,0,0,-1,0
19,143.292,-0,4.3143,0,-2,0,0,0,0,0,0,0
20,143.292,-0,-2.1572,0,-2,0,0,0,0,0,0,0
21,143.289,-0,2.1572,0,-2,0,0,0,0,0,0,0
22,143.287,-0,-4.3143,0,-2,0,0,0,0,0,0,0
23,143.294,-0,2.1572,0,-2,0,0,0,0,0,0,0
24,143.292,-0,6.4715,0,-4,0,0,0,0,0,-1,0
25,143.292,-0,2.1572,0,-4,0,0,0,0,0,-1,0
26,143.287,-0,2.1572,0,-2,0,0,0,0,0,0,0
27,143.292,-0,-2.1572,0,0,0,0,0,0,0,0,0
28,143.292,-0,0,0,-5,0,0,0,0,0,-2,0
29,143.292,-0,4.3143,0,-2,0,0,0,0,0,0,0
30,143.287,-0,-2.1572,0,-2,0,0,0,0,0,0,0
31,143.287,-0,-2.1572,0,-2,0,0,0,0,0,0,0
32,143.289,-0,-2.1572,0,-2,0,0,0,0,0,0,0
33,143.292,-0,-4.3143,0,-2,0,0,0,0,0,0,0
34,143.292,-0,-2.1572,0,-2,0,0,0,0,0,0,0
35,143.287,-0,-2.1572,0,-4,0,0,0,0,0,-1,0
36,143.287,-0,-4.3143,0,-2,0,0,0,0,0,0,0
37,143.287,-0,-2.1572,0,-4,0,0,0,0,0,-1,0
38,143.292,-0,0,0,-4,0,0,0,0,0,-1,0
