cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
89,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
90,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
91,106.128,-0,0,0,0,0,0,0,0,0,0,0
92,106.126,-0,2.1572,0,1,0,0,0,0,0,0,0
93,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
94,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
95,106.128,-0,0,0,0,0,0,0,0,0,0,0
96,106.126,-0,2.1572,0,1,0,0,0,0,0,0,0
97,106.126,-0,0,0,0,0,0,0,0,0,0,0
98,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
99,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
100,106.124,-0,-4.3143,0,0,0,0,0,0,0,0,0
101,106.128,-0,0,0,0,0,0,0,0,0,0,0
102,106.126,-0,0,0,0,0,0,0,0,0,0,0
103,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
104,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
105,106.128,-0,4.3143,0,0,0,0,0,0,0,0,0
106,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
107,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
108,106.126,-0,0,0,0,0,0,0,0,0,0,0
109,106.126,-0,0,0,-1,0,0,0,0,0,0,0
110,106.126,-0,0,0,1,0,0,0,0,0,0,0
111,106.126,-0,0,0,0,0,0,0,0,0,0,0
112,106.126,-0,0,0,-1,0,0,0,0,0,0,0
113,106.126,-0,0,0,0,0,0,0,0,0,0,0
114,106.126,-0,0,0,0,0,0,0,0,0,0,0
115,106.126,-0,0,0,-1,0,0,0,0,0,0,0
116,106.126,-0,0,0,0,0,0,0,0,0,0,0
117,106.128,-0,2.1572,0,1,0,0,0,0,0,0,0
118,106.128,-0,0,0,0,0,0,0,0,0,0,0
119,106.126,-0,0,0,0,0,0,0,0,0,0,0
120,106.126,-0,0,0,-1,0,0,0,0,0,0,0
121,106.126,-0,0,0,0,0,0,0,0,0,0,0
122,106.128,-0,0,0,0,0,0,0,0,0,0,0
123,106.128,-0,2.1572,0,-1,0,0,0,0,0,0,0
124,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
125,106.128,-0,0,0,-1,0,0,0,0,0,0,0
126,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
127,106.126,-0,0,0,0,0,0,0,0,0,0,0
128,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
129,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
130,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
131,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
132,106.126,-0,-2.1572,0,1,0,0,0,0,0,0,0
133,106.126,-0,0,0,1,0,0,0,0,0,0,0
134,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
135,106.126,-0,2.1572,0,1,0,0,0,0,0,0,0
136,106.128,-0,0,0,0,0,0,0,0,0,0,0
137,106.128,-0,0,0,0,0,0,0,0,0,0,0
138,106.128,-0,0,0,0,0,0,0,0,0,0,0
139,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
140,106.128,-0,0,0,-1,0,0,0,0,0,0,0
