cnt,pos,speed,DTorque,DAC,STorque
1,-79.2119,13.2616,-55,0,0
3,-79.0849,6.8722,-39,0,0
5,-79.0305,3.8348,-27,0,0
7,-78.9995,1.3578,-9,0,0
9,-78.995,0.782,-4,0,0
11,-78.9918,-0.1359,9,0,0
13,-78.9921,-0.1824,11,0,0
15,-78.9926,-0.1562,12,0,0
17,-78.9929,-0.1109,11,0,0
19,-78.993,-0.0715,11,0,0
21,-78.9933,-0.0358,10,0,0
23,-78.9933,-0.0286,10,0,0
25,-78.9934,-0.0191,10,0,0
27,-78.9934,-0.0274,10,0,0
29,-78.9936,-0.0572,10,0,0
31,-78.9937,-0.0668,10,0,0
33,-78.9939,-0.0536,10,0,0
35,-78.994,-0.0429,10,0,0
37,-78.994,-0.025,10,0,0
39,-78.9941,-0.0179,9,0,0
41,-78.9941,-0.0155,9,0,0
43,-78.9941,-0.0179,9,0,0
45,-78.9942,-0.0203,9,0,0
47,-78.9942,-0.0203,9,0,0
49,-78.9943,-0.0155,9,0,0
51,-78.9943,-0.0143,8,0,0
53,-78.9943,-0.0036,8,0,0
55,-78.9943,0.0083,8,0,0
57,-78.9943,0.0107,8,0,0
59,-78.9942,0.0095,7,0,0
61,-78.9943,-0.0072,7,0,0
63,-78.9943,-0.0215,7,0,0
65,-78.9944,-0.031,7,0,0
67,-78.9945,-0.0262,7,0,0
69,-78.9945,-0.0155,7,0,0
71,-78.9945,-0.0072,7,0,0
73,-78.9945,-0.0012,6,0,0
75,-78.9945,0.0012,6,0,0
77,-78.9945,-0.0012,6,0,0
79,-78.9945,-0.0072,6,0,0
81,-78.9946,-0.0107,6,0,0
83,-78.9946,-0.0179,5,0,0
85,-78.9946,-0.0179,6,0,0
87,-78.9947,-0.0226,5,0,0
89,-78.9947,-0.025,5,0,0
91,-78.9948,-0.0262,5,0,0
93,-78.9948,-0.0322,5,0,0
95,-78.9949,-0.0346,5,0,0
97,-78.995,-0.0346,5,0,0
99,-78.9951,-0.0334,5,0,0
101,-78.9951,-0.0274,5,0,0
103,-78.9952,-0.0226,5,0,0
105,-78.9953,-0.0191,4,0,0
107,-78.9953,-0.0238,4,0,0
109,-78.9954,-0.025,4,0,0
111,-78.9954,-0.0226,4,0,0
113,-78.9954,-0.0226,4,0,0
115,-78.9955,-0.0203,4,0,0
117,-78.9955,-0.0191,4,0,0
119,-78.9956,-0.0179,4,0,0
121,-78.9956,-0.0155,4,0,0
123,-78.9956,-0.0155,3,0,0
125,-78.9957,-0.0203,3,0,0
127,-78.9957,-0.0238,3,0,0
129,-78.9958,-0.0274,3,0,0
131,-78.9958,-0.025,3,0,0
133,-78.9959,-0.031,3,0,0
135,-78.9959,-0.0238,3,0,0
137,-78.996,-0.0238,3,0,0
139,-78.996,-0.0191,3,0,0
141,-78.9961,-0.0203,3,0,0
143,-78.9961,-0.0215,3,0,0
145,-78.9962,-0.0238,2,0,0
147,-78.9962,-0.0274,3,0,0
149,-78.9963,-0.0298,3,0,0
151,-78.9964,-0.0286,3,0,0
153,-78.9964,-0.025,3,0,0
155,-78.9965,-0.0191,2,0,0
157,-78.9965,-0.0179,2,0,0
159,-78.9966,-0.0167,2,0,0
161,-78.9966,-0.0131,2,0,0
163,-78.9966,-0.0131,2,0,0
165,-78.9967,-0.0203,2,0,0
167,-78.9967,-0.025,2,0,0
169,-78.9967,-0.0262,2,0,0
171,-78.9968,-0.031,2,0,0
173,-78.9969,-0.0334,2,0,0
175,-78.997,-0.031,2,0,0
177,-78.997,-0.0286,2,0,0
179,-78.9971,-0.0274,2,0,0
181,-78.9971,-0.031,1,0,0
183,-78.9972,-0.0286,1,0,0
185,-78.9972,-0.0358,1,0,0
187,-78.9973,-0.0358,1,0,0
189,-78.9974,-0.0381,2,0,0
191,-78.9975,-0.0358,1,0,0
193,-78.9976,-0.0405,2,0,0
195,-78.9977,-0.037,1,0,0
197,-78.9977,-0.0393,2,0,0
199,-78.9978,-0.0405,2,0,0
201,-78.9979,-0.0405,2,0,0
203,-78.998,-0.037,2,0,0
205,-78.9981,-0.0322,1,0,0
207,-78.9982,-0.0334,1,0,0
209,-78.9983,-0.0322,1,0,0
211,-78.9983,-0.0274,1,0,0
213,-78.9984,-0.025,2,0,0
215,-78.9984,-0.0179,1,0,0
217,-78.9984,-0.0119,1,0,0
219,-78.9985,-0.0107,1,0,0
221,-78.9985,-0.0072,1,0,0
223,-78.9985,-0.0083,1,0,0
225,-78.9985,-0.0072,1,0,0
227,-78.9985,-0.0083,1,0,0
229,-78.9986,-0.0119,1,0,0
231,-78.9986,-0.0131,1,0,0
233,-78.9986,-0.0155,1,0,0
235,-78.9987,-0.0191,1,0,0
237,-78.9987,-0.0167,1,0,0
239,-78.9987,-0.0143,1,0,0
241,-78.9987,-0.0155,1,0,0
243,-78.9988,-0.0203,1,0,0
245,-78.9988,-0.0179,1,0,0
