cnt,pos,speed,DTorque,STorque,Force,Dir
1,16.63,-12.45,452.00,0,79.55,-1
2,16.64,-11.69,451.00,0,79.38,-1
3,16.67,-11.63,450.00,0,79.20,-1
4,16.68,-11.42,450.00,0,79.20,-1
5,16.69,-11.44,450.00,0,79.20,-1
6,16.70,-11.60,451.00,0,79.38,-1
7,16.71,-11.60,453.00,0,79.73,-1
8,16.73,-11.92,454.00,0,79.90,-1
9,16.75,-12.20,456.00,0,80.26,-1
10,16.76,-12.46,458.00,0,80.61,-1
11,16.77,-12.77,460.00,0,80.96,-1
12,16.79,-13.05,462.00,0,81.31,-1
13,16.80,-13.35,465.00,0,81.84,-1
14,16.81,-13.68,468.00,0,82.37,-1
15,16.83,-13.93,470.00,0,82.72,-1
16,16.84,-14.20,473.00,0,83.25,-1
17,16.86,-14.23,476.00,0,83.78,-1
18,16.87,-14.54,479.00,0,84.30,-1
19,16.89,-14.28,481.00,0,84.66,-1
20,16.90,-14.19,483.00,0,85.01,-1
21,16.91,-14.00,485.00,0,85.36,-1
22,16.93,-13.65,486.00,0,85.54,-1
23,16.94,-13.22,487.00,0,85.71,-1
24,16.95,-12.68,488.00,0,85.89,-1
25,16.97,-12.26,488.00,0,85.89,-1
26,16.98,-11.66,488.00,0,85.89,-1
27,16.99,-11.04,488.00,0,85.71,-1
28,17.00,-10.48,487.00,0,85.71,-1
29,17.03,-8.94,484.00,0,85.18,-1
30,17.04,-8.69,483.00,0,85.01,-1
31,17.05,-8.50,482.00,0,84.83,-1
32,17.05,-8.10,481.00,0,84.66,-1
33,17.06,-8.19,480.00,0,84.48,-1
34,17.07,-8.15,480.00,0,84.48,-1
35,17.09,-8.41,480.00,0,84.48,-1
36,17.09,-8.69,480.00,0,84.48,-1
37,17.10,-8.87,481.00,0,84.66,-1
38,17.11,-9.39,482.00,0,84.83,-1
39,17.12,-9.83,484.00,0,85.18,-1
40,17.13,-10.19,485.00,0,85.36,-1
41,17.14,-10.85,487.00,0,85.71,-1
42,17.16,-11.22,492.00,0,86.59,-1
