cnt,pos,speed,DTorque,STorque,Force,Dir
14133,20.23,-0.86,302.00,0,53.15,0
14134,20.23,-0.96,303.00,0,53.33,0
14135,20.23,-1.06,304.00,0,53.50,0
14136,20.23,-1.17,306.00,0,53.86,0
14137,20.23,-1.29,307.00,0,54.03,0
14138,20.23,-1.37,309.00,0,54.38,0
14139,20.23,-1.47,311.00,0,54.74,0
14140,20.23,-1.48,312.00,0,54.91,0
14141,20.24,-1.50,314.00,0,55.26,0
14142,20.24,-1.61,315.00,0,55.44,0
14143,20.24,-1.67,317.00,0,55.79,0
14144,20.24,-1.67,318.00,0,55.97,0
14145,20.24,-1.74,320.00,0,56.32,0
14146,20.24,-1.84,321.00,0,56.50,0
14147,20.25,-1.87,322.00,0,56.67,0
14148,20.25,-1.91,324.00,0,57.02,0
14149,20.25,-1.89,325.00,0,57.20,0
14150,20.25,-1.93,326.00,0,57.38,0
14151,20.25,-1.99,327.00,0,57.55,0
14152,20.26,-2.05,329.00,0,57.90,0
14153,20.26,-2.05,330.00,0,58.08,0
14154,20.26,-2.01,331.00,0,58.26,0
14155,20.26,-2.01,332.00,0,58.43,0
14156,20.26,-2.09,333.00,0,58.61,0
14157,20.27,-2.07,334.00,0,58.78,0
14158,20.27,-2.14,336.00,0,59.14,0
14159,20.27,-2.20,337.00,0,59.49,-1
14160,20.27,-2.20,339.00,0,59.66,-1
14161,20.28,-2.20,340.00,0,59.84,-1
14162,20.28,-2.25,341.00,0,60.02,-1
14163,20.28,-2.28,342.00,0,60.19,-1
14164,20.28,-2.25,343.00,0,60.37,-1
14165,20.29,-2.16,345.00,0,60.72,-1
14166,20.29,-2.22,346.00,0,60.90,-1
14167,20.29,-2.27,347.00,0,61.07,-1
14168,20.29,-2.32,348.00,0,61.25,-1
14169,20.30,-2.35,349.00,0,61.42,-1
14170,20.30,-2.30,350.00,0,61.60,-1
14171,20.30,-2.31,351.00,0,61.78,-1
14172,20.30,-2.38,352.00,0,61.95,-1
14173,20.31,-2.39,353.00,0,62.13,-1
14174,20.31,-2.40,354.00,0,62.30,-1
14175,20.31,-2.35,355.00,0,62.48,-1
14176,20.31,-2.45,355.00,0,62.48,-1
14177,20.32,-2.61,357.00,0,62.83,-1
14178,20.32,-2.69,358.00,0,63.01,-1
14179,20.32,-2.73,359.00,0,63.18,-1
14180,20.33,-2.84,360.00,0,63.36,-1
14181,20.33,-3.00,361.00,0,63.54,-1
14182,20.33,-3.11,362.00,0,63.71,-1
14183,20.34,-3.09,363.00,0,63.89,-1
14184,20.34,-3.28,365.00,0,64.24,-1
14185,20.34,-3.68,367.00,0,64.59,-1
14186,20.35,-3.76,369.00,0,64.94,-1
14187,20.35,-4.00,370.00,0,65.12,-1
14188,20.36,-4.16,372.00,0,65.47,-1
14189,20.36,-4.22,373.00,0,65.65,-1
14190,20.37,-4.44,375.00,0,66.00,-1
14191,20.37,-4.78,376.00,0,66.18,-1
14192,20.38,-4.89,378.00,0,66.53,-1
14193,20.38,-5.22,380.00,0,66.88,-1
14194,20.39,-5.19,381.00,0,67.06,-1
14195,20.39,-5.45,383.00,0,67.41,-1
14196,20.40,-5.85,385.00,0,67.76,-1
14197,20.40,-6.07,387.00,0,68.11,-1
14198,20.41,-6.15,390.00,0,68.64,-1
14199,20.42,-6.78,392.00,0,68.99,-1
14200,20.43,-7.02,394.00,0,69.34,-1
14201,20.44,-7.09,396.00,0,69.70,-1
14202,20.45,-7.41,398.00,0,70.05,-1
14203,20.45,-7.66,402.00,0,70.75,-1
14204,20.46,-8.06,403.00,0,70.93,-1
14205,20.48,-8.32,405.00,0,71.28,-1
14206,20.49,-8.52,407.00,0,71.63,-1
14207,20.49,-8.68,409.00,0,71.98,-1
14208,20.50,-8.88,410.00,0,72.16,-1
14209,20.51,-9.02,411.00,0,72.34,-1
14210,20.52,-9.24,413.00,0,72.69,-1
14211,20.53,-9.27,415.00,0,73.04,-1
14212,20.55,-9.45,415.00,0,73.04,-1
14213,20.56,-9.44,415.00,0,73.04,-1
14214,20.57,-9.34,415.00,0,73.04,-1
14215,20.58,-9.43,415.00,0,73.04,-1
14216,20.59,-9.23,414.00,0,72.86,-1
14217,20.60,-9.23,414.00,0,72.69,-1
14218,20.61,-8.96,411.00,0,72.34,-1
14219,20.62,-9.13,410.00,0,72.16,-1
14220,20.63,-9.10,409.00,0,71.98,-1
14221,20.64,-8.86,407.00,0,71.63,-1
14222,20.65,-9.04,405.00,0,71.28,-1
14223,20.66,-9.03,403.00,0,70.93,-1
14224,20.67,-9.34,401.00,0,70.58,-1
14225,20.68,-9.42,399.00,0,70.22,-1
14226,20.70,-9.69,398.00,0,70.05,-1
14227,20.71,-10.06,397.00,0,69.87,-1
14228,20.72,-10.22,397.00,0,69.87,-1
14229,20.73,-10.95,397.00,0,69.87,-1
14230,20.74,-11.12,398.00,0,70.05,-1
14231,20.75,-11.90,400.00,0,70.40,-1
14232,20.76,-12.35,402.00,0,70.75,-1
14233,20.79,-13.71,405.00,0,71.28,-1
14234,20.81,-14.62,408.00,0,71.81,-1
14235,20.82,-15.21,411.00,0,72.34,-1
14236,20.84,-16.01,415.00,0,73.04,-1
14237,20.85,-16.83,419.00,0,73.74,-1
14238,20.89,-18.04,432.00,0,76.03,-1
14239,20.93,-19.32,437.00,0,76.91,-1
14240,20.95,-19.80,441.00,0,77.62,-1
14241,20.97,-20.15,444.00,0,78.14,-1
14242,20.99,-20.45,448.00,0,78.85,-1
14243,21.01,-20.54,450.00,0,79.20,-1
14244,21.03,-20.49,452.00,0,79.55,-1
14245,21.05,-20.12,452.00,0,79.55,-1
14246,21.09,-19.45,450.00,0,79.20,-1
14247,21.11,-19.19,448.00,0,78.85,-1
14248,21.13,-18.67,444.00,0,78.14,-1
14249,21.14,-18.34,441.00,0,77.62,-1
14250,21.16,-18.22,436.00,0,76.74,-1
14251,21.18,-18.42,432.00,0,76.03,-1
14252,21.20,-18.38,428.00,0,75.33,-1
14253,21.22,-18.87,424.00,0,74.62,-1
14254,21.24,-20.05,422.00,0,74.27,-1
14255,21.28,-20.89,422.00,0,74.27,-1
14256,21.30,-21.46,423.00,0,74.45,-1
14257,21.32,-22.36,424.00,0,74.62,-1
14258,21.35,-23.15,426.00,0,74.98,-1
14259,21.37,-23.86,428.00,0,75.33,-1
14260,21.39,-24.44,431.00,0,75.86,-1
14261,21.42,-24.79,433.00,0,76.38,-1
14262,21.44,-24.94,435.00,0,76.56,-1
14263,21.49,-24.72,435.00,0,76.56,-1
14264,21.52,-24.37,433.00,0,76.21,-1
14265,21.54,-24.06,431.00,0,75.86,-1
14266,21.57,-23.72,427.00,0,75.15,-1
14267,21.59,-23.57,423.00,0,74.45,-1
14268,21.61,-23.59,419.00,0,73.74,-1
14269,21.64,-23.97,415.00,0,72.51,-1
14270,21.69,-25.08,410.00,0,72.16,-1
14271,21.71,-25.88,409.00,0,71.98,-1
14272,21.74,-26.83,409.00,0,71.98,-1
14273,21.77,-27.86,410.00,0,72.16,-1
14274,21.80,-28.79,413.00,0,72.69,-1
14275,21.82,-29.69,415.00,0,73.04,-1
