cnt,pos,speed,DTorque,STorque,Force,Dir
12086,21.49,-4.60,340.00,0,59.84,0
12087,21.49,-4.46,340.00,0,59.84,0
12088,21.50,-4.46,341.00,0,60.02,0
12089,21.50,-4.40,341.00,0,60.02,0
12090,21.51,-4.22,342.00,0,60.19,0
12091,21.51,-3.98,342.00,0,60.19,0
12092,21.51,-3.86,342.00,0,60.19,0
12093,21.52,-3.90,342.00,0,60.19,0
12094,21.52,-3.77,343.00,0,60.37,0
12095,21.52,-3.63,343.00,0,60.37,0
12096,21.53,-3.62,343.00,0,60.37,0
12097,21.53,-3.42,343.00,0,60.37,0
12098,21.53,-3.35,344.00,0,60.54,0
12099,21.54,-3.27,344.00,0,60.54,0
12100,21.54,-3.33,344.00,0,60.54,0
12101,21.54,-3.29,345.00,0,60.72,0
12102,21.55,-3.22,345.00,0,60.72,0
12103,21.55,-3.23,346.00,0,60.90,0
12104,21.55,-3.19,346.00,0,60.90,0
12105,21.56,-3.03,347.00,0,61.07,0
12106,21.56,-3.06,347.00,0,61.07,0
12107,21.56,-3.01,348.00,0,61.25,0
12108,21.57,-3.05,349.00,0,61.42,0
12109,21.57,-2.99,350.00,0,61.60,0
12110,21.57,-2.89,350.00,0,61.60,0
12111,21.58,-2.89,351.00,0,61.78,0
12112,21.58,-2.88,351.00,0,61.78,0
12113,21.58,-2.76,352.00,0,61.95,0
12114,21.58,-2.69,353.00,0,62.13,0
12115,21.59,-2.68,354.00,0,62.30,0
12116,21.59,-2.70,354.00,0,62.48,0
12117,21.59,-2.72,356.00,0,62.66,0
12118,21.60,-2.68,357.00,0,62.83,0
12119,21.60,-2.71,358.00,0,63.01,0
12120,21.60,-2.75,359.00,0,63.18,0
12121,21.61,-2.69,360.00,0,63.36,-1
12122,21.61,-2.63,361.00,0,63.54,-1
12123,21.61,-2.67,362.00,0,63.71,-1
12124,21.61,-2.66,363.00,0,63.89,-1
12125,21.62,-2.76,365.00,0,64.24,-1
12126,21.62,-2.71,366.00,0,64.42,-1
12127,21.62,-2.76,367.00,0,64.59,-1
12128,21.63,-2.83,369.00,0,64.94,-1
12129,21.63,-2.78,370.00,0,65.12,-1
12130,21.63,-2.69,370.00,0,65.12,-1
12131,21.64,-2.81,372.00,0,65.47,-1
12132,21.64,-2.79,373.00,0,65.65,-1
12133,21.64,-2.97,374.00,0,65.82,-1
12134,21.64,-3.04,376.00,0,66.18,-1
12135,21.65,-3.02,377.00,0,66.35,-1
12136,21.65,-3.14,378.00,0,66.53,-1
12137,21.65,-3.18,380.00,0,66.88,-1
