cnt,pos,speed,DTorque,sTorque,Force
3096,147.238,0.0107,404,-19.4,181
3097,147.238,0.0155,413,-25,185
3098,147.238,0.0286,418,-25,188
3099,147.238,0.0215,421,-25,189
3100,147.238,0.0179,422,-25,189
3101,147.238,0.0048,424,-25,190
3102,147.238,-0.0155,424,-25,190
3103,147.238,-0.0179,423,-25,190
3104,147.238,-0.0131,422,-25,189
3105,147.238,-0.0191,420,-25,189
3106,147.238,-0.037,418,-25,188
3107,147.238,-0.037,413,-25,185
3108,147.238,-0.0441,410,-25,184
3109,147.238,-0.0775,407,-25,183
3110,147.238,-0.1037,399,-25,179
3111,147.238,-0.1943,391,-25,175
3112,147.239,-0.2611,386,-25,173
3113,147.239,-0.4387,381,-25,171
3114,147.24,-0.5567,369,-25,166
3115,147.241,-0.869,364,-25,163
3116,147.242,-1.0788,357,-25,160
3117,147.243,-1.3125,345,-25,155
3118,147.365,-15.343,231,-39,103
3119,147.447,-19.6141,218,-39,98
3120,147.509,-23.1426,206,-39,92
3121,147.583,-28.2255,204,-39,91
3122,147.993,-44.1561,211,-39,94
3123,148.172,-49.22,216,-39,97
3124,148.319,-52.8581,224,-39,100
3125,148.533,-56.2793,231,-39,103
3126,148.705,-59.7482,240,-39,108
3127,148.887,-64.197,245,-39,110
3128,149.146,-67.2677,253,-39,113
3129,149.351,-70.3575,258,-61.8,116
3130,149.493,-72.2624,261,-61.8,117
3131,149.713,-75.2533,266,-61.8,119
3132,149.864,-76.1688,268,-61.8,120
3133,149.942,-78.0391,274,-61.8,123
3134,150.098,-78.9046,277,-61.8,124
3135,150.178,-80.7105,280,-61.8,126
3136,150.341,-81.5342,284,-61.8,127
3137,150.423,-83.1125,290,-61.8,130
3138,150.59,-84.7957,292,-61.8,131
3139,150.675,-85.4084,300,-61.8,135
3140,150.846,-86.79,304,-61.8,136
3141,151.02,-88.087,309,-61.8,139
3142,151.197,-88.6401,314,-61.8,141
3143,151.286,-89.8524,317,-61.8,142
3144,151.467,-90.8895,324,-61.8,145
3145,151.557,-91.4521,329,-61.8,148
3146,151.741,-91.8694,333,-61.8,149
3147,151.833,-92.6442,335,-61.8,150
3148,152.019,-93.0972,339,-61.8,152
3149,152.112,-93.7528,343,-61.8,154
3150,152.3,-94.4978,350,-61.8,157
3151,152.49,-95.0629,351,-61.8,157
3152,152.871,-95.8198,359,-61.8,161
3153,152.967,-96.1977,360,-61.8,162
3154,153.16,-96.4182,363,-61.8,163
3155,153.257,-96.8688,367,-61.8,165
3156,153.451,-97.1871,369,-61.8,166
3157,153.645,-97.3826,370,-61.8,166
3158,153.743,-97.5078,372,-84.7,167
3159,154.035,-97.6711,376,-84.7,169
3160,154.231,-97.776,376,-84.7,169
3161,154.329,-98.08,380,-84.7,171
3162,154.525,-98.2945,378,-84.7,170
3163,154.722,-98.3184,382,-84.7,171
3164,154.82,-98.1336,380,-84.7,171
3165,155.016,-98.2194,381,-84.7,171
3166,155.115,-98.1479,381,-84.7,171
3167,155.311,-98.3839,381,-84.7,171
3168,155.508,-98.3041,381,-84.7,171
3169,155.704,-98.2218,382,-84.7,171
3170,155.803,-98.0704,379,-84.7,170
3171,155.999,-98.13,378,-84.7,170
3172,156.195,-98.1169,377,-84.7,169
3173,156.391,-98.2862,380,-84.7,171
3174,156.49,-98.3029,378,-84.7,170
3175,156.588,-98.2874,378,-84.7,170
3176,156.785,-98.2385,378,-84.7,170
3177,156.883,-98.3398,376,-84.7,169
3178,157.079,-98.3267,378,-84.7,170
3179,157.276,-98.5938,376,-84.7,169
3180,157.473,-98.6092,377,-84.7,169
3181,157.572,-98.6951,376,-84.7,169
3182,157.967,-98.7225,375,-84.7,168
3183,158.066,-98.862,376,-84.7,169
3184,158.263,-99.0575,379,-84.7,170
3185,158.462,-99.154,378,-84.7,170
3186,158.561,-99.1445,378,-84.7,170
3187,158.759,-99.1135,380,-102.3,171
3188,159.057,-99.2255,381,-102.3,171
3189,159.156,-99.3447,379,-102.3,170
3190,159.355,-99.3734,380,-102.3,171
3191,159.454,-99.3483,379,-102.3,170
3192,159.653,-99.433,379,-102.3,170
3193,159.852,-99.3483,378,-102.3,170
3194,159.951,-99.5271,381,-102.3,171
3195,160.15,-99.5963,380,-102.3,171
3196,160.349,-99.6809,381,-102.3,171
3197,160.449,-99.6499,381,-102.3,171
3198,160.649,-99.8394,384,-102.3,172
3199,160.848,-99.942,382,-102.3,171
3200,161.048,-99.9122,386,-102.3,173
3201,161.148,-100.028,385,-102.3,173
3202,161.348,-100.182,387,-102.3,174
3203,161.448,-100.204,387,-102.3,174
3204,161.649,-100.248,387,-102.3,174
3205,161.749,-100.215,388,-102.3,174
3206,161.95,-100.37,388,-102.3,174
3207,162.05,-100.408,392,-102.3,176
3208,162.251,-100.434,393,-102.3,176
3209,162.452,-100.462,394,-102.3,177
3210,162.653,-100.589,394,-102.3,177
3211,162.754,-100.522,396,-102.3,178
3212,163.156,-100.415,398,-102.3,179
3213,163.357,-100.474,400,-102.3,180
3214,163.457,-100.339,399,-102.3,179
3215,163.658,-100.419,401,-112.3,180
3216,163.959,-100.296,400,-112.3,180
3217,164.16,-100.23,400,-112.3,180
3218,164.26,-100.213,402,-112.3,180
3219,164.46,-100.31,402,-112.3,180
3220,164.56,-100.261,402,-112.3,180
3221,164.761,-100.185,405,-112.3,182
3222,164.961,-100.18,402,-112.3,180
3223,165.061,-100.06,403,-112.3,181
3224,165.261,-100.14,403,-112.3,181
3225,165.462,-100.047,405,-112.3,182
3226,165.662,-100.106,405,-112.3,182
3227,165.862,-99.8883,404,-112.3,181
3228,165.962,-99.8335,404,-112.3,181
3229,166.161,-99.8418,404,-112.3,181
3230,166.261,-99.8156,405,-112.3,182
3231,166.461,-99.8037,405,-112.3,182
3232,166.661,-99.8394,405,-112.3,182
3233,166.76,-99.5009,404,-112.3,181
3234,166.959,-99.3662,402,-112.3,180
3235,167.158,-99.3507,401,-112.3,180
3236,167.356,-99.1922,401,-112.3,180
3237,167.456,-99.2148,399,-112.3,179
3238,167.654,-99.1314,398,-112.3,179
3239,167.753,-98.8918,396,-112.3,178
3240,167.951,-98.7785,394,-112.3,177
3241,168.049,-98.7606,393,-112.3,176
3242,168.445,-98.9919,394,-112.3,177
3243,168.544,-99.005,391,-118.8,175
3244,168.84,-98.8584,391,-118.8,175
3245,169.038,-98.9466,392,-118.8,176
3246,169.236,-99.0467,389,-118.8,175
3247,169.336,-99.278,390,-118.8,175
3248,169.534,-99.2541,390,-118.8,175
3249,169.633,-99.3877,393,-118.8,176
3250,169.832,-99.4175,390,-118.8,175
3251,169.932,-99.4246,392,-118.8,176
3252,170.131,-99.756,391,-118.8,175
3253,170.33,-99.8955,393,-118.8,176
3254,170.53,-99.998,393,-118.8,176
3255,170.73,-99.9491,397,-118.8,178
3256,170.83,-99.9277,394,-118.8,177
3257,171.03,-100.134,397,-118.8,178
3258,171.23,-100.203,396,-118.8,178
3259,171.431,-100.22,399,-118.8,179
3260,171.531,-100.202,396,-118.8,178
3261,171.731,-100.115,399,-118.8,179
3262,171.831,-100.165,396,-118.8,178
3263,172.032,-100.232,399,-118.8,179
3264,172.232,-100.351,398,-118.8,179
3265,172.333,-100.344,401,-118.8,180
3266,172.533,-100.457,400,-118.8,180
3267,172.634,-100.385,403,-118.8,181
3268,172.835,-100.346,401,-118.8,180
3269,172.935,-100.503,404,-118.8,181
3270,173.136,-100.497,404,-118.8,181
3271,173.337,-100.577,405,-118.8,182
3272,173.739,-100.474,408,-123.1,183
3273,173.94,-100.495,408,-123.1,183
3274,174.242,-100.316,407,-123.1,183
3275,174.342,-100.354,408,-123.1,183
3276,174.542,-100.182,407,-123.1,183
3277,174.643,-100.21,409,-123.1,184
3278,174.843,-100.103,406,-123.1,182
3279,174.943,-100.108,408,-123.1,183
3280,175.143,-99.9539,406,-123.1,182
3281,175.343,-99.9825,406,-123.1,182
3282,175.543,-100.06,406,-123.1,182
3283,175.643,-100.003,409,-123.1,184
3284,175.843,-100.11,406,-123.1,182
3285,176.043,-100.062,408,-123.1,183
3286,176.243,-99.9563,407,-123.1,183
3287,176.344,-100.109,408,-123.1,183
3288,176.544,-100.141,409,-123.1,184
3289,176.644,-100.331,412,-123.1,185
3290,176.845,-100.251,411,-123.1,184
3291,177.045,-100.185,414,-123.1,186
3292,177.245,-100.24,413,-123.1,185
3293,177.446,-100.236,414,-123.1,186
3294,177.546,-100.381,413,-123.1,185
3295,177.747,-100.242,416,-123.1,187
3296,177.947,-100.164,413,-123.1,185
3297,178.047,-100.05,415,-123.1,186
3298,178.247,-100.149,415,-123.1,186
3299,178.448,-100.225,416,-123.1,187
3300,178.548,-100.328,415,-123.1,186
3301,178.749,-100.227,418,-126.2,188
3302,179.248,-99.88,415,-126.2,186
3303,179.348,-100.027,416,-126.2,187
