cnt,pos,speed,DTorque,Force,Dir
3992,200.04,-0.01,0.00,0,0.00,0
3993,200.04,-0.01,0.00,0,0.00,0
3994,200.04,-0.01,0.00,0,0.00,0
3995,200.04,-0.01,0.00,0,0.00,0
3996,200.04,-0.01,0.00,0,0.00,0
3997,200.04,-0.01,0.00,0,0.00,0
3998,200.04,-0.01,0.00,0,0.00,0
3999,200.04,-0.01,0.00,0,0.00,0
4000,200.04,-0.01,0.00,0,0.00,0
4001,200.04,-0.01,0.00,0,0.00,0
4002,200.04,-0.01,0.00,0,0.00,0
4003,200.04,-0.01,0.00,0,0.00,0
4004,200.04,-0.02,0.00,0,0.00,0
4005,200.04,-0.01,0.00,0,0.00,0
4006,200.04,-0.01,0.00,0,0.00,0
4007,200.04,-0.01,0.00,0,0.00,0
4008,200.04,-0.02,0.00,0,0.00,0
4009,200.04,-0.01,0.00,0,0.00,0
4010,200.04,-0.01,0.00,0,0.00,0
4011,200.04,-0.02,0.00,0,0.00,0
4012,200.04,-0.01,0.00,0,0.00,0
4013,200.04,-0.02,0.00,0,0.00,0
4014,200.04,-0.02,0.00,0,0.00,0
4015,200.04,-0.01,0.00,0,0.00,0
4016,200.04,-0.02,0.00,0,0.00,0
4017,200.04,-0.01,0.00,0,0.00,0
4018,200.04,-0.02,0.00,0,0.00,0
4019,200.04,-0.01,0.00,0,0.00,0
4020,200.04,-0.02,0.00,0,0.00,0
4021,200.04,-0.01,0.00,0,0.00,0
4022,200.04,-0.01,0.00,0,0.00,0
4023,200.04,-0.02,0.00,0,0.00,0
4024,200.04,-0.01,0.00,0,0.00,0
4025,200.04,-0.02,0.00,0,0.00,0
4026,200.04,-0.02,0.00,0,0.00,0
4027,200.04,-0.02,0.00,0,0.00,0
4028,200.04,-0.03,0.00,0,0.00,0
4029,200.04,-0.03,0.00,0,0.00,0
4030,200.04,-0.03,0.00,0,0.00,0
4031,200.04,-0.04,0.00,0,0.00,0
4032,200.04,-0.05,0.00,0,0.00,0
4033,200.04,-0.07,0.00,0,0.00,0
4034,200.04,-0.08,0.00,0,0.00,0
4035,200.04,-0.08,0.00,0,0.00,0
4036,200.04,-0.09,0.00,0,0.00,0
4037,200.04,-0.09,0.00,0,0.00,0
4038,200.04,-0.10,0.00,0,0.00,0
4039,200.04,-0.09,0.00,0,0.00,0
4040,200.04,-0.10,0.00,0,0.00,0
4041,200.04,-0.10,0.00,0,0.00,0
4042,200.04,-0.12,0.00,0,0.00,0
4043,200.04,-0.13,0.00,0,0.00,0
4044,200.04,-0.15,0.00,0,0.00,0
4045,200.04,-0.16,0.00,0,0.00,0
4046,200.04,-0.18,0.00,0,0.00,0
4047,200.04,-0.19,0.00,0,0.00,0
4048,200.04,-0.20,0.00,0,0.00,0
4049,200.04,-0.23,0.00,0,0.00,0
4050,200.04,-0.24,0.00,0,0.00,0
4051,200.04,-0.26,0.00,0,0.00,0
4052,200.04,-0.30,0.00,0,0.00,0
4053,200.04,-0.32,0.00,0,0.00,0
4054,200.04,-0.36,0.00,0,0.00,0
4055,200.04,-0.40,0.00,0,0.00,0
4056,200.04,-0.43,0.00,0,0.00,0
4057,200.04,-0.46,0.00,0,0.00,0
4058,200.04,-0.48,0.00,0,0.00,0
4059,200.04,-0.52,0.00,0,0.00,0
4060,200.05,-0.55,0.00,0,0.00,0
4061,200.05,-0.58,0.00,0,0.00,0
4062,200.05,-0.61,0.00,0,0.00,0
4063,200.05,-0.65,0.00,0,0.00,0
4064,200.05,-0.69,0.00,0,0.00,0
4065,200.05,-0.74,0.00,0,0.00,0
4066,200.05,-0.78,0.00,0,0.00,0
4067,200.05,-0.81,0.00,0,0.00,0
4068,200.05,-0.86,0.00,0,0.00,0
4069,200.05,-0.90,0.00,0,0.00,0
4070,200.05,-0.94,0.00,0,0.00,0
4071,200.05,-0.96,0.00,0,0.00,0
4072,200.05,-0.98,0.00,0,0.00,0
4073,200.06,-1.01,0.00,0,0.00,0
4074,200.06,-1.03,0.00,0,0.00,0
4075,200.06,-1.05,0.00,0,0.00,0
4076,200.06,-1.07,0.00,0,0.00,0
4077,200.06,-1.09,0.00,0,0.00,0
4078,200.06,-1.11,0.00,0,0.00,0
4079,200.06,-1.10,0.00,0,0.00,0
4080,200.06,-1.08,0.00,0,0.00,0
4081,200.06,-1.09,0.00,0,0.00,0
4082,200.07,-1.05,0.00,0,0.00,0
4083,200.07,-1.02,0.00,0,0.00,0
4084,200.07,-1.01,0.00,0,0.00,0
4085,200.07,-1.02,0.00,0,0.00,0
4086,200.07,-1.00,0.00,0,0.00,0
4087,200.07,-0.99,0.00,0,0.00,0
4088,200.07,-0.94,0.00,0,0.00,0
4089,200.07,-0.93,0.00,0,0.00,0
4090,200.07,-0.93,0.00,0,0.00,0
4091,200.07,-0.93,0.00,0,0.00,0
4092,200.07,-0.93,0.00,0,0.00,0
4093,200.08,-0.91,0.00,0,0.00,0
4094,200.08,-0.90,0.00,0,0.00,0
4095,200.08,-0.89,0.00,0,0.00,0
4096,200.08,-0.88,0.00,0,0.00,0
4097,200.08,-0.88,0.00,0,0.00,0
4098,200.08,-0.90,0.00,0,0.00,0
4099,200.08,-0.91,0.00,0,0.00,0
