cnt,pos,speed,DTorque,DAC,STorque
153,-173.173,-0.0024,0,0,0
154,-173.173,-0.0012,0,0,0
155,-173.173,0,0,0,0
156,-173.173,0.0048,0,0,0
157,-173.173,0.0036,0,0,0
158,-173.173,-0.0012,0,0,0
159,-173.173,-0.0024,0,0,0
160,-173.173,-0.0024,0,0,0
161,-173.173,0,0,0,0
162,-173.173,0.0024,0,0,0
163,-173.173,-0.0036,0,0,0
164,-173.173,-0.0036,0,0,0
165,-173.173,-0.0012,0,0,0
166,-173.173,-0.006,0,0,0
167,-173.173,-0.0024,0,0,0
168,-173.173,-0.0036,0,0,0
169,-173.173,-0.0048,0,0,0
170,-173.173,-0.0036,0,0,0
171,-173.173,0.0012,0,0,0
172,-173.173,0.0024,0,0,0
173,-173.173,0.006,0,0,0
174,-173.173,0.0024,0,0,0
175,-173.173,0.0012,0,0,0
176,-173.173,0.006,0,0,0
177,-173.173,0.0072,0,0,0
178,-173.173,0,0,0,0
179,-173.173,-0.0024,0,0,0
180,-173.173,-0.0036,0,0,0
181,-173.173,-0.0048,0,0,0
182,-173.173,0,0,0,0
183,-173.173,0.0012,0,0,0
184,-173.173,0,0,0,0
185,-173.173,0.0024,0,0,0
186,-173.173,0.0036,0,0,0
187,-173.173,-0.0048,0,0,0
188,-173.173,-0.0012,0,0,0
189,-173.173,0.0012,0,0,0
190,-173.173,0,0,0,0
191,-173.173,0.0012,0,0,0
192,-173.173,0.0012,0,0,0
193,-173.173,-0.0012,0,0,0
194,-173.173,-0.0012,0,0,0
195,-173.173,-0.0048,0,0,0
196,-173.173,-0.0024,0,0,0
197,-173.173,-0.0024,0,0,0
198,-173.173,-0.0012,0,0,0
199,-173.173,0,0,0,0
200,-173.173,0,0,0,0
201,-173.173,0,0,0,0
202,-173.173,0.0048,0,0,0
203,-173.173,-0.0024,0,0,0
204,-173.173,0.0024,0,0,0
205,-173.173,-0.0036,0,0,0
206,-173.173,-0.0036,0,0,0
207,-173.173,-0.0012,0,0,0
208,-173.173,0.0048,0,0,0
209,-173.173,0.0036,0,0,0
210,-173.173,-0.0024,0,0,0
211,-173.173,-0.0024,0,0,0
212,-173.173,0.0012,0,0,0
213,-173.173,0.0024,0,0,0
