cnt,pos,speed,DTorque,DAC,STorque
0,-174.896,26.9953,-1,0,0
1,-174.608,25.1059,-1,0,0
2,-174.484,24.2381,0,0,0
3,-174.389,23.6015,-1,0,0
4,-174.342,23.0246,-1,0,0
5,-174.164,21.1876,-1,0,0
6,-174.102,20.7406,-1,0,0
7,-174.041,20.0349,-1,0,0
8,-174.021,19.5926,0,0,0
9,-173.982,19.1969,0,0,0
10,-173.944,18.7677,0,0,0
11,-173.817,17.4398,0,0,0
12,-173.783,16.709,-1,0,0
13,-173.734,16.1583,0,0,0
14,-173.702,15.5277,0,0,0
15,-173.627,14.5026,0,0,0
16,-173.57,13.7682,0,0,0
17,-173.517,12.9326,0,0,0
18,-173.492,12.4832,0,0,0
19,-173.467,12.0421,0,0,0
20,-173.444,11.5594,-1,0,0
21,-173.4,10.4186,0,0,0
22,-173.379,9.9751,0,0,0
23,-173.36,9.5305,0,0,0
24,-173.341,9.3338,0,0,0
25,-173.314,8.4004,0,0,0
26,-173.29,7.9462,0,0,0
27,-173.274,7.4766,0,0,0
28,-173.253,6.7971,0,0,0
29,-173.234,6.151,0,0,0
30,-173.228,5.7898,0,0,0
31,-173.217,5.3786,-1,0,0
32,-173.206,5.0007,0,0,0
33,-173.192,4.4571,0,0,0
34,-173.183,4.109,0,0,0
35,-173.168,3.6453,0,0,0
36,-173.164,3.2877,0,0,0
37,-173.152,2.8156,0,0,0
38,-173.147,2.5284,0,0,0
39,-173.142,2.185,0,0,0
40,-173.138,1.8644,0,0,0
41,-173.13,0.8821,0,0,0
42,-173.129,0.3791,0,0,0
43,-173.129,-0.2408,0,0,0
44,-173.13,-0.4685,0,0,0
45,-173.131,-0.6556,0,0,0
46,-173.133,-0.7093,0,0,0
47,-173.136,-0.72,0,0,0
48,-173.137,-0.7188,0,0,0
49,-173.14,-0.6807,0,0,0
50,-173.142,-0.6342,0,0,0
51,-173.144,-0.5674,0,0,0
52,-173.145,-0.4923,0,0,0
53,-173.147,-0.3958,0,0,0
54,-173.147,-0.329,0,0,0
55,-173.148,-0.2634,0,0,0
56,-173.148,-0.1931,0,0,0
57,-173.148,-0.1216,0,0,0
58,-173.149,-0.0834,0,0,0
59,-173.149,0.0691,0,0,0
60,-173.148,0.0763,0,0,0
61,-173.148,0.031,0,0,0
62,-173.148,-0.0131,0,0,0
63,-173.148,-0.0346,0,0,0
64,-173.148,-0.0191,0,0,0
65,-173.148,0,0,0,0
66,-173.148,0.0107,0,0,0
67,-173.148,0.006,0,0,0
68,-173.148,-0.0036,0,0,0
69,-173.148,-0.0083,0,0,0
70,-173.148,-0.0012,0,0,0
71,-173.148,0.0012,0,0,0
72,-173.148,0,0,0,0
73,-173.148,-0.0024,0,0,0
74,-173.148,0,0,0,0
75,-173.148,0,0,0,0
76,-173.148,0.0012,0,0,0
77,-173.148,0.0024,0,0,0
78,-173.148,-0.0024,0,0,0
79,-173.148,-0.0024,0,0,0
80,-173.148,0,0,0,0
81,-173.148,-0.0012,0,0,0
82,-173.148,-0.0048,0,0,0
83,-173.148,-0.0024,0,0,0
84,-173.148,-0.0036,0,0,0
85,-173.148,-0.0024,0,0,0
86,-173.148,-0.0012,0,0,0
87,-173.148,-0.0024,0,0,0
88,-173.148,0.0024,0,0,0
89,-173.148,0.0036,0,0,0
90,-173.148,0.0012,0,0,0
91,-173.148,-0.0036,0,0,0
92,-173.148,-0.0012,0,0,0
93,-173.148,0,0,0,0
94,-173.148,0.0012,0,0,0
95,-173.148,0.0012,0,0,0
96,-173.148,0.0012,0,0,0
97,-173.148,0,0,0,0
98,-173.148,-0.0012,0,0,0
99,-173.148,0.0048,0,0,0
100,-173.148,0.0024,0,0,0
101,-173.148,0.0036,0,0,0
102,-173.148,0.0024,0,0,0
103,-173.148,-0.0012,0,0,0
104,-173.148,-0.0036,0,0,0
105,-173.148,-0.0048,0,0,0
106,-173.148,-0.0024,0,0,0
107,-173.148,0,0,0,0
108,-173.148,0,0,0,0
109,-173.148,0,0,0,0
110,-173.148,-0.0024,0,0,0
111,-173.148,-0.0012,0,0,0
112,-173.148,0.0012,0,0,0
113,-173.148,0.0024,0,0,0
114,-173.148,0,0,0,0
115,-173.148,0.0012,0,0,0
116,-173.148,-0.0012,0,0,0
117,-173.148,0.0012,0,0,0
118,-173.148,0.0012,0,0,0
119,-173.148,-0.0036,0,0,0
120,-173.148,-0.0048,0,0,0
121,-173.148,0,0,0,0
122,-173.148,-0.0012,0,0,0
123,-173.148,-0.0012,0,0,0
124,-173.148,0,0,0,0
125,-173.148,0,0,0,0
126,-173.148,-0.0024,0,0,0
127,-173.148,-0.0036,0,0,0
128,-173.148,-0.0012,0,0,0
129,-173.148,0.0048,0,0,0
130,-173.148,0.0012,0,0,0
131,-173.148,-0.0024,0,0,0
132,-173.148,-0.0012,0,0,0
133,-173.148,0,0,0,0
134,-173.148,-0.0012,0,0,0
135,-173.148,0,0,0,0
136,-173.148,0.0012,0,0,0
137,-173.148,0.0012,0,0,0
138,-173.148,0,0,0,0
139,-173.148,0,0,0,0
140,-173.148,-0.0036,0,0,0
141,-173.148,0.0036,0,0,0
142,-173.148,0,0,0,0
143,-173.148,0.0012,0,0,0
