cnt,pos,speed,DTorque,STorque,Force,Dir
11259,16.79,-0.14,26.00,0,4.58,0
11260,16.79,-0.12,26.00,0,4.58,0
11261,16.79,-0.13,26.00,0,4.58,0
11262,16.79,-0.14,25.00,0,4.40,0
11263,16.79,-0.13,25.00,0,4.40,0
11264,16.79,-0.15,25.00,0,4.40,0
11265,16.79,-0.17,25.00,0,4.40,0
11266,16.79,-0.20,25.00,0,4.40,0
11267,16.79,-0.22,25.00,0,4.40,0
11268,16.79,-0.26,25.00,0,4.40,0
11269,16.79,-0.30,25.00,0,4.40,0
11270,16.79,-0.31,25.00,0,4.40,0
11271,16.79,-0.34,25.00,0,4.40,0
11272,16.79,-0.38,25.00,0,4.40,0
11273,16.79,-0.40,25.00,0,4.40,0
11274,16.79,-0.43,25.00,0,4.40,0
11275,16.79,-0.46,25.00,0,4.40,0
11276,16.79,-0.49,25.00,0,4.40,0
11277,16.79,-0.52,25.00,0,4.40,0
11278,16.79,-0.53,25.00,0,4.40,0
11279,16.79,-0.55,25.00,0,4.40,0
11280,16.79,-0.58,24.00,0,4.22,0
11281,16.80,-0.58,24.00,0,4.22,0
11282,16.80,-0.59,24.00,0,4.22,0
11283,16.80,-0.59,24.00,0,4.22,0
11284,16.80,-0.60,24.00,0,4.22,0
11285,16.80,-0.63,24.00,0,4.22,0
11286,16.80,-0.65,24.00,0,4.22,0
11287,16.80,-0.68,24.00,0,4.22,0
11288,16.80,-0.74,24.00,0,4.22,0
11289,16.80,-0.77,24.00,0,4.22,0
11290,16.80,-0.81,24.00,0,4.22,0
11291,16.80,-0.86,24.00,0,4.22,0
11292,16.80,-0.87,24.00,0,4.22,0
11293,16.80,-0.93,24.00,0,4.22,0
11294,16.81,-1.05,24.00,0,4.22,0
11295,16.81,-1.09,24.00,0,4.22,0
11296,16.81,-1.15,24.00,0,4.22,0
11297,16.81,-1.18,24.00,0,4.22,-1
11298,16.81,-1.22,24.00,0,4.22,-1
11299,16.81,-1.25,24.00,0,4.22,-1
11300,16.81,-1.31,24.00,0,4.22,-1
11301,16.81,-1.34,24.00,0,4.22,-1
11302,16.82,-1.41,24.00,0,4.22,-1
11303,16.82,-1.50,24.00,0,4.22,-1
11304,16.82,-1.52,24.00,0,4.22,-1
11305,16.82,-1.58,24.00,0,4.22,-1
11306,16.82,-1.57,24.00,0,4.22,-1
11307,16.82,-1.68,24.00,0,4.22,-1
11308,16.83,-1.68,24.00,0,4.22,-1
11309,16.83,-1.73,24.00,0,4.22,-1
11310,16.83,-1.74,24.00,0,4.22,-1
11311,16.83,-1.86,24.00,0,4.22,-1
11312,16.83,-1.92,24.00,0,4.22,-1
11313,16.83,-2.01,25.00,0,4.40,-1
11314,16.84,-2.02,25.00,0,4.40,-1
11315,16.84,-2.03,25.00,0,4.40,-1
11316,16.84,-2.08,25.00,0,4.40,-1
11317,16.84,-2.19,24.00,0,4.22,-1
11318,16.85,-2.19,24.00,0,4.22,-1
11319,16.85,-2.24,24.00,0,4.22,-1
