cnt,pos,speed,DTorque,DAC,STorque,Force,Dir
1,6.9243,-0.0487,0,0,0,0,0
2,6.9247,-0.0061,0,0,0,0,0
3,6.9248,0,0,0,0,0,0
4,6.9248,-0.0061,0,0,0,0,0
5,6.9249,-0.003,0,0,0,0,0
6,6.9249,-0.0061,0,0,0,0,0
7,6.925,0.003,0,0,0,0,0
8,6.925,0,0,0,0,0,0
9,6.925,0.003,0,0,0,0,0
10,6.925,-0.0061,0,0,0,0,0
11,6.925,-0.0061,0,0,0,0,0
12,6.9251,-0.003,0,0,0,0,0
13,6.9251,0,0,0,0,0,0
14,6.9251,-0.003,0,0,0,0,0
15,6.9251,-0.0061,0,0,0,0,0
16,6.9252,-0.0061,0,0,0,0,0
17,6.9252,-0.003,0,0,0,0,0
18,6.9252,0.0091,0,0,0,0,0
19,6.9252,0.0091,0,0,0,0,0
20,6.9252,0.0091,0,0,0,0,0
21,6.9252,-0.0091,0,0,0,0,0
22,6.9252,0,0,0,0,0,0
23,6.9252,0,0,0,0,0,0
24,6.9253,0.0061,0,0,0,0,0
25,6.9253,0.003,0,0,0,0,0
26,6.9253,0.003,0,0,0,0,0
27,6.9253,0.0061,0,0,0,0,0
28,6.9253,-0.0091,0,0,0,0,0
29,6.9253,0,0,0,0,0,0
30,6.9253,-0.003,0,0,0,0,0
31,6.9253,-0.0061,0,0,0,0,0
32,6.9253,-0.0091,0,0,0,0,0
33,6.9253,0,0,0,0,0,0
34,6.9254,0.0061,0,0,0,0,0
35,6.9254,0,0,0,0,0,0
36,6.9254,0,0,0,0,0,0
37,6.9254,0.003,0,0,0,0,0
38,6.9254,-0.0091,0,0,0,0,0
39,6.9254,0.0061,0,0,0,0,0
40,6.9254,0,0,0,0,0,0
41,6.9254,-0.0061,0,0,0,0,0
42,6.9254,0.003,0,0,0,0,0
43,6.9254,-0.0061,0,0,0,0,0
44,6.9254,0,0,0,0,0,0
45,6.9254,-0.003,0,0,0,0,0
46,6.9254,0.0061,0,0,0,0,0
47,6.9254,-0.0091,0,0,0,0,0
48,6.9254,0.0183,0,0,0,0,0
49,6.9254,0,0,0,0,0,0
50,6.9255,0.003,0,0,0,0,0
51,6.9254,0.003,0,0,0,0,0
52,6.9254,0,0,0,0,0,0
53,6.9255,0.0061,0,0,0,0,0
54,6.9255,0.0061,0,0,0,0,0
55,6.9255,0.0061,0,0,0,0,0
56,6.9255,-0.003,0,0,0,0,0
57,6.9255,0.0152,0,0,0,0,0
58,6.9255,0,0,0,0,0,0
59,6.9255,0.0091,0,0,0,0,0
60,6.9255,-0.003,0,0,0,0,0
61,6.9255,0.0061,0,0,0,0,0
62,6.9255,0.0122,0,0,0,0,0
63,6.9255,-0.0091,0,0,0,0,0
64,6.9255,0,0,0,0,0,0
65,6.9255,0.003,0,0,0,0,0
66,6.9255,0.0122,0,0,0,0,0
67,6.9255,-0.0091,0,0,0,0,0
68,6.9255,-0.003,0,0,0,0,0
69,6.9255,0.0091,0,0,0,0,0
70,6.9255,-0.0091,0,0,0,0,0
71,6.9255,-0.003,0,0,0,0,0
72,6.9255,-0.0061,0,0,0,0,0
73,6.9255,0.0091,0,0,0,0,0
74,6.9255,-0.003,0,0,0,0,0
75,6.9256,0.0061,0,0,0,0,0
76,6.9256,0.003,0,0,0,0,0
77,6.9255,-0.0061,0,0,0,0,0
78,6.9256,0.0091,0,0,0,0,0
79,6.9256,0.0152,0,0,0,0,0
80,6.9256,0.003,0,0,0,0,0
81,6.9256,-0.0061,0,0,0,0,0
82,6.9256,0.003,0,0,0,0,0
83,6.9256,0.0091,0,0,0,0,0
84,6.9256,-0.0122,0,0,0,0,0
85,6.9256,0.0061,0,0,0,0,0
86,6.9256,-0.0061,0,0,0,0,0
87,6.9256,0.0061,0,0,0,0,0
88,6.9256,0.003,0,0,0,0,0
89,6.9256,-0.0061,0,0,0,0,0
90,6.9256,0,0,0,0,0,0
91,6.9256,-0.003,0,0,0,0,0
92,6.9256,0.0091,0,0,0,0,0
93,6.9256,0,0,0,0,0,0
94,6.9256,0.0091,0,0,0,0,0
95,6.9256,-0.003,0,0,0,0,0
96,6.9256,0,0,0,0,0,0
97,6.9256,0.0061,0,0,0,0,0
98,6.9257,0.003,0,0,0,0,0
99,6.9257,-0.0274,0,0,0,0,0
100,6.927,0.0548,0,0,0,0,0
101,6.9287,-0.0639,0,0,0,0,0
102,6.9288,0.0061,0,0,0,0,0
103,6.9287,0.003,0,0,0,0,0
104,6.9287,-0.0061,0,0,0,0,0
105,6.9287,-0.0091,0,0,0,0,0
106,6.9288,0,0,0,0,0,0
107,6.9289,0,0,0,0,0,0
108,6.9289,-0.0091,0,0,0,0,0
109,6.9288,0.0091,0,0,0,0,0
110,6.9287,0.0061,0,0,0,0,0
111,6.9286,0.0061,0,0,0,0,0
112,6.9286,-0.003,0,0,0,0,0
113,6.9286,0.0061,0,0,0,0,0
114,6.9284,0,0,0,0,0,0
115,6.9283,0.0152,0,0,0,0,0
116,6.9282,0.0091,0,0,0,0,0
117,6.9281,-0.003,0,0,0,0,0
118,6.9281,0,0,0,0,0,0
119,6.9283,-0.003,0,0,0,0,0
120,6.9284,0.0091,0,0,0,0,0
121,6.9284,0.0061,0,0,0,0,0
122,6.9283,0,0,0,0,0,0
123,6.9283,0.0061,0,0,0,0,0
124,6.9283,0.003,0,0,0,0,0
125,6.9283,-0.003,0,0,0,0,0
126,6.9283,-0.0091,0,0,0,0,0
127,6.9283,0.0091,0,0,0,0,0
128,6.9283,0.003,0,0,0,0,0
129,6.9283,0,0,0,0,0,0
130,6.9285,0,0,0,0,0,0
131,6.9286,-0.0061,0,0,0,0,0
132,6.9288,-0.0091,0,0,0,0,0
133,6.9289,0.003,0,0,0,0,0
134,6.9289,-0.003,0,0,0,0,0
135,6.9288,0,0,0,0,0,0
136,6.9288,0.003,0,0,0,0,0
137,6.9287,0.0091,0,0,0,0,0
138,6.9287,-0.003,0,0,0,0,0
139,6.9286,-0.0061,0,0,0,0,0
140,6.9287,-0.0091,0,0,0,0,0
141,6.9287,-0.0091,0,0,0,0,0
142,6.9287,-0.0122,0,0,0,0,0
143,6.9287,0,0,0,0,0,0
144,6.9287,-0.003,0,0,0,0,0
145,6.9287,-0.003,0,0,0,0,0
146,6.9288,0,0,0,0,0,0
147,6.9288,-0.003,0,0,0,0,0
148,6.9289,-0.0061,0,0,0,0,0
149,6.929,-0.0061,0,0,0,0,0
150,6.929,-0.003,0,0,0,0,0
151,6.9291,-0.0213,0,0,0,0,0
152,6.9295,-0.0548,0,0,0,0,0
153,6.9325,-0.2495,0,0,0,0,0
154,6.9375,-0.5264,0,0,0,0,0
155,6.9549,-1.0224,0,0,0,0,0
156,6.9709,-1.5488,0,0,0,0,0
157,7.0323,-4.5704,0,0,0,0,0
158,7.236,-13.7812,0,0,0,0,0
159,7.4493,-21.3792,1,0,0,0,0
160,8.2433,-41.4956,1,11.3027,0,2,0
161,9.5308,-63.6416,17,24.1577,0,4,0
162,10.6413,-78.3478,22,31.0591,0,5,0
163,12.8022,-97.451,43,54.5126,0,10,0
164,14.3234,-106.485,54,63.7099,0,11,0
165,17.0919,-114.859,81,93.8302,0,17,0
166,18.5841,-113.517,92,105.31,0,19,0
167,21.5913,-106.784,119,133.623,0,24,0
168,24.2945,-91.49,146,160.534,0,28,0
169,26.5198,-69.6422,170,174.123,0,31,0
170,28.1731,-51.2267,186,191.032,0,34,0
171,28.8345,-41.3435,194,196.059,0,35,0
172,29.7192,-25.4019,204,205.801,0,36,0
173,30.0458,-20.1438,207,208.107,0,37,0
174,30.5887,-24.6107,213,213.805,0,38,0
175,31.3092,-34.4849,218,221.302,0,39,0
176,31.8238,-40.1568,220,224.612,0,40,0
177,32.9821,-44.2829,228,227.273,0,40,0
178,34.1551,-49.5958,228,227.273,0,40,0
179,34.8447,-59.9567,228,227.273,0,40,0
180,36.5364,-78.5517,227,227.273,0,40,0
181,37.6977,-89.8803,226,227.273,0,40,0
182,40.2365,-108.694,227,227.273,0,40,0
183,41.6888,-116.715,227,227.273,0,40,0
184,44.7693,-132.973,228,227.273,0,40,0
185,46.83,-146.152,228,227.273,0,40,0
186,51.0073,-180.594,227,227.273,0,40,0
187,53.6423,-200.711,227,227.273,0,40,0
188,59.6037,-225.115,228,227.273,0,40,0
189,62.3284,-229.761,225,227.273,0,40,0
190,68.0906,-231.267,226,227.273,0,40,0
191,71.5707,-234.331,226,227.273,0,40,0
192,77.8945,-257.801,226,227.273,0,40,0
193,81.587,-273.101,228,227.273,0,40,0
194,88.3547,-290.561,228,227.273,0,40,0
195,91.2632,-291.154,227,227.273,0,40,0
196,98.4591,-280.799,226,227.273,0,40,0
197,106.159,-271.415,227,227.273,0,40,0
198,113.356,-286.757,227,227.273,0,40,0
199,117.73,-297.994,226,227.273,0,40,0
200,125.606,-306.286,228,227.273,0,40,0
201,132.337,-304.284,225,227.273,0,40,0
202,136.583,-301.859,226,227.273,0,40,0
203,144.738,-305.215,226,227.273,0,40,0
204,148.729,-310.455,228,227.273,0,40,0
205,156.297,-318.345,229,227.273,0,40,0
206,160.134,-322.374,227,227.273,0,40,0
207,168.896,-325.773,225,227.273,0,40,0
208,177.391,-327.617,226,227.273,0,40,0
209,185.943,-332.062,226,227.273,0,40,0
210,194.998,-339.015,227,227.273,0,40,0
211,199.752,-339.572,228,227.273,0,40,0
212,208.545,-336.815,227,227.273,0,40,0
213,217.343,-342.092,227,227.273,0,40,0
214,221.829,-350.657,229,227.273,0,40,0
215,230.831,-372.134,227,227.273,0,40,0
216,240.693,-386.253,226,227.273,0,40,0
217,246.117,-389.253,226,227.273,0,40,0
218,257.041,-391.517,227,227.273,0,40,0
219,266.509,-400.627,227,227.273,0,40,0
220,272.557,-408.484,227,227.273,0,40,0
221,282.892,-418.036,227,227.273,0,40,0
222,288.329,-417.984,227,227.273,0,40,0
223,298.72,-411.138,228,227.273,0,40,0
224,304.462,-407.936,228,227.273,0,40,0
225,315.002,-402.967,228,227.273,0,40,0
226,320.233,-401.157,228,227.273,0,40,0
227,330.965,-391.121,227,227.273,0,40,0
228,341.679,-370.88,227,227.273,0,40,0
229,350.017,-351.561,227,227.273,0,40,0
230,355.216,-339.085,226,227.273,0,40,0
231,364.5,-322.28,226,227.273,0,40,0
232,372.745,-310.349,226,227.273,0,40,0
233,377.363,-303.712,226,227.273,0,40,0
234,385.716,-292.012,228,227.273,0,40,0
235,389.787,-288.884,226,227.273,0,40,0
236,397.253,-284.685,227,227.273,0,40,0
237,404.585,-277.829,225,227.273,0,40,0
238,407.625,-273.222,227,227.273,0,40,0
239,414.607,-262.219,226,227.273,0,40,0
240,418.236,-255.647,226,227.273,0,40,0
241,424.972,-235.85,336,614.447,0,108,0
242,429.301,-41.4835,730,840.378,0,148,0
243,429.086,100.57,844,826.175,0,145,0
244,424.691,250.014,630,563.852,0,99,0
245,421.246,217.313,398,295.454,0,52,0
246,417.501,24.769,298,295.454,0,52,0
247,417.532,-35.4221,296,295.454,0,52,0
248,418.972,-74.0909,292,295.454,0,52,0
249,419.877,-75.6823,291,295.454,0,52,0
250,421.725,-47.7426,300,322.872,0,57,0
251,422.213,24.912,383,378.187,0,67,0
252,421.75,39.9225,360,346.591,0,61,0
253,420.737,37.047,295,295.454,0,52,0
254,420.267,28.6091,295,295.454,0,52,0
255,419.531,35.2273,295,295.454,0,52,0
256,418.996,51.8627,294,295.454,0,52,0
257,417.109,98.3243,296,295.454,0,52,0
258,415.474,123.985,295,295.454,0,52,0
259,411.677,159.903,296,295.454,0,52,0
260,409.35,175.212,295,295.454,0,52,0
261,404.524,197.537,296,295.454,0,52,0
262,401.711,208.394,296,295.454,0,52,0
263,395.841,230.418,295,295.454,0,52,0
264,392.545,243.171,295,295.454,0,52,0
265,386.227,264.279,295,295.454,0,52,0
266,382.195,275.258,297,295.454,0,52,0
267,375.144,289.697,295,295.454,0,52,0
268,370.502,291.559,294,295.454,0,52,0
269,364.087,291.924,294,295.454,0,52,0
270,359.993,293.479,296,295.454,0,52,0
271,352.628,296.151,294,295.454,0,52,0
272,348.184,295.709,296,295.454,0,52,0
273,340.54,290.874,296,295.454,0,52,0
274,336.492,287.095,295,295.454,0,52,0
