cnt,pos,speed,DTorque,DAC,STorque,Force,Dir
1,99.6633,-14.6727,0,0,0,0,0
2,101.212,-24.6351,0,0,0,0,0
3,102.98,-31.6124,0,0,0,0,0
4,104.434,-30.9886,0,0,0,0,0
5,105.77,-31.515,0,0,0,0,0
6,106.749,-29.1355,0,0,0,0,0
7,108.88,-24.9485,0,397.727,0,0,0
8,108.992,70.8502,-5,0,0,0,0
9,106.836,-6.0066,0,0,0,0,0
10,107.005,-9.1256,-1,0,0,0,0
11,107.387,-5.6171,0,0,0,0,0
12,107.532,0.0183,0,0,0,0,0
13,107.532,-0.0274,0,0,0,0,0
14,107.532,0.0091,0,0,0,0,0
15,107.532,-0.0152,0,0,0,0,0
16,107.533,-0.073,0,0,0,0,0
17,107.561,-1.0498,0,0,0,0,0
18,107.585,-0.8064,0,0,0,0,0
19,107.607,-0.1126,0,0,0,0,0
20,107.615,-0.21,0,0,0,0,0
21,107.62,-0.0396,0,0,0,0,0
22,107.623,-0.8064,0,0,0,0,0
23,107.695,-6.3322,0,0,0,0,0
24,108.561,-22.1977,0,397.727,0,0,0
25,108.517,24.1847,1,0,0,0,0
26,108.029,-27.0694,0,0,0,0,0
27,109.321,71.1332,196,0,0,34,0
28,107.245,-4.5856,1,0,0,0,0
29,109.711,25.8279,333,397.727,0,58,0
30,107.499,27.2215,1,0,0,0,0
31,107.023,-33.0486,-1,0,0,0,0
32,109.198,46.3794,206,0,0,36,0
33,107.701,-19.803,0,0,0,0,0
34,108.951,-40.3819,0,397.727,0,0,0
35,108.551,73.4306,-4,0,0,0,0
36,107.127,-11.3225,0,0,0,0,0
37,108.032,-31.8802,-1,0,0,0,0
38,109.065,-39.0309,0,397.727,0,0,0
39,108.546,45.6066,2,0,0,0,0
40,106.832,-10.7718,0,0,0,0,0
41,107.741,-33.9067,-1,0,0,0,0
42,109.554,31.6306,321,397.727,0,56,0
43,107.398,36.2102,1,0,0,0,0
44,107.23,-26.1078,0,0,0,0,0
45,109.325,24.2091,153,0,0,26,0
46,107.237,31.232,1,0,0,0,0
47,106.933,-13.6108,0,0,0,0,0
48,107.763,-3.7336,0,0,0,0,0
49,107.804,0.0426,0,0,0,0,0
50,107.804,0.0122,0,0,0,0,0
51,107.804,0.003,0,0,0,0,0
52,107.804,0.0091,0,0,0,0,0
53,107.803,0.003,0,0,0,0,0
54,107.803,0.003,0,0,0,0,0
55,107.803,0.003,0,0,0,0,0
56,107.803,-0.003,0,0,0,0,0
57,107.803,0.003,0,0,0,0,0
58,107.803,0,0,0,0,0,0
59,107.802,-0.003,0,0,0,0,0
60,107.802,-0.0122,0,0,0,0,0
61,107.802,0,0,0,0,0,0
62,107.802,0.003,0,0,0,0,0
63,107.802,-0.0091,0,0,0,0,0
64,107.802,-0.003,0,0,0,0,0
65,107.802,-0.003,0,0,0,0,0
66,107.803,-0.0183,0,0,0,0,0
67,107.803,0,0,0,0,0,0
68,107.803,-0.0061,0,0,0,0,0
69,107.804,-0.0061,0,0,0,0,0
70,107.803,0.0061,0,0,0,0,0
71,107.803,-0.003,0,0,0,0,0
72,107.804,-0.0152,0,0,0,0,0
73,107.805,-0.0456,0,0,0,0,0
74,107.817,-1.0833,0,0,0,0,0
75,107.872,-0.3956,0,0,0,0,0
76,107.883,-0.5264,0,0,0,0,0
77,107.96,-5.8423,0,0,0,0,0
78,108.8,-59.4212,40,397.727,0,7,0
79,109.124,34.3205,355,0,0,62,0
80,114.967,-140.712,398,397.727,0,70,0
81,121.964,-134.151,396,397.727,0,69,0
82,128.887,-166.126,396,397.727,0,69,0
83,136.482,-212.645,397,397.727,0,69,0
84,147.403,-242.928,398,397.727,0,70,0
85,159.582,-300.313,396,397.727,0,69,0
86,167.479,-374.173,398,397.727,0,70,0
87,202.005,-531.717,399,397.727,0,70,0
88,234.525,-618.95,398,397.727,0,70,0
89,264.273,-719.164,398,397.727,0,70,0
90,295.954,-829.879,397,397.727,0,69,0
91,357.251,-882.758,395,397.727,0,69,0
92,404.835,-805.186,395,397.727,0,69,0
93,444,-531.279,393,397.727,0,69,0
94,463.69,-212.49,394,397.727,0,69,0
95,465.222,211.279,340,397.727,0,59,0
96,454.716,210.862,199,397.727,0,35,0
97,442.569,145.55,244,397.727,0,42,0
98,433.045,117.634,289,397.727,0,50,0
99,427.44,108.354,304,397.727,0,53,0
100,422.173,97.7066,322,397.727,0,56,0
101,415.791,100.022,337,397.727,0,59,0
102,410.552,117.634,332,397.727,0,58,0
103,406.292,135.578,316,397.727,0,55,0
104,398.202,154.745,290,397.727,0,51,0
105,392.463,159.586,280,397.727,0,49,0
106,383.508,172.796,251,397.727,0,44,0
107,376.714,180.156,231,397.727,0,40,0
108,368.541,180.278,212,397.727,0,37,0
109,358.879,173.888,197,397.727,0,34,0
110,350.922,170.617,185,397.727,0,32,0
111,340.364,167.732,166,397.727,0,29,0
112,331.112,168.669,148,397.727,0,26,0
113,321.339,166.941,133,397.727,0,23,0
114,312.527,163.719,121,397.727,0,21,0
115,304.269,156.729,113,397.727,0,19,0
116,295.704,152.198,107,397.727,0,18,0
117,289.975,148.52,105,397.727,0,18,0
118,281.003,144.399,100,397.727,0,17,0
119,274.983,141.7,97,397.727,0,17,0
120,269.491,137.656,95,397.727,0,16,0
121,263.003,136.975,94,397.727,0,16,0
122,258.096,134.976,93,397.727,0,16,0
123,250.422,134.811,91,397.727,0,16,0
124,246.504,136.169,90,397.727,0,15,0
125,240.928,136.086,86,397.727,0,15,0
126,233.979,137.361,80,397.727,0,14,0
127,228.62,137.34,78,397.727,0,13,0
128,223.265,137.1,76,397.727,0,13,0
129,218.206,136.193,73,397.727,0,12,0
130,209.802,134.248,72,397.727,0,12,0
131,205.636,134.118,71,397.727,0,12,0
132,196.519,133.667,67,397.727,0,11,0
133,192.379,133.39,67,397.727,0,11,0
134,186.676,131.574,66,397.727,0,11,0
135,180.632,129.687,67,397.727,0,11,0
136,173.786,127.362,68,397.727,0,11,0
137,167.527,127.198,69,397.727,0,12,0
138,161.345,124.502,71,397.727,0,12,0
139,156.139,122.275,74,397.727,0,13,0
140,151.762,120.583,78,397.727,0,13,0
141,146.51,117.297,83,397.727,0,14,0
142,141.81,116.448,86,397.727,0,15,0
143,137.051,115.523,91,397.727,0,16,0
144,132.031,110.751,98,397.727,0,17,0
145,127.987,105.956,108,397.727,0,19,0
146,122.118,101.112,123,397.727,0,21,0
147,119.604,98.1478,131,397.727,0,23,0
148,115.282,97.8283,142,397.727,0,24,0
149,110.059,99.6845,150,0,0,26,0
150,107.15,6.2927,1,0,0,0,0
151,108.448,-56.4726,0,397.727,0,0,0
152,109.958,-23.2049,158,397.727,0,27,0
153,109.47,28.7125,161,0,0,28,0
154,108.694,-9.6337,2,0,0,0,0
155,109.872,17.3048,142,397.727,0,24,0
156,109.097,34.1593,153,0,0,26,0
157,109.147,-26.5521,1,397.727,0,0,0
158,109.509,18.6528,147,397.727,0,25,0
159,108.846,-29.6132,2,397.727,0,0,0
160,110.065,-2.6656,158,397.727,0,27,0
161,110.223,-34.4849,251,397.727,0,44,0
162,111.784,-58.1645,311,397.727,0,54,0
163,114.589,-93.7995,397,397.727,0,69,0
164,120.831,-146.365,396,397.727,0,69,0
165,128.708,-212.198,396,397.727,0,69,0
166,138.837,-283.337,396,397.727,0,69,0
167,150.956,-339.974,399,397.727,0,70,0
168,168.417,-448.133,398,397.727,0,70,0
169,185.973,-553.857,398,397.727,0,70,0
170,240.754,-769.107,398,397.727,0,70,0
171,292.643,-950.14,397,397.727,0,69,0
172,332.627,-987.542,396,397.727,0,69,0
173,413.896,-975.052,397,397.727,0,69,0
174,444.391,-889.772,395,397.727,0,69,0
175,486.919,-409.491,395,397.727,0,69,0
176,509.386,-98.1995,397,397.727,0,69,0
177,508.255,265.853,288,397.727,0,50,0
178,495.497,319.048,185,397.727,0,32,0
179,480.694,257.028,144,397.727,0,25,0
180,469.233,174.563,179,397.727,0,31,0
181,454.956,115.416,238,397.727,0,41,0
182,450.291,122.661,237,397.727,0,41,0
183,439.094,139.838,220,397.727,0,38,0
184,431.711,143.946,210,397.727,0,36,0
185,427.816,144.987,205,397.727,0,36,0
186,418.195,142.607,199,397.727,0,35,0
187,408.779,142.565,195,397.727,0,34,0
188,399.986,146.56,183,397.727,0,32,0
189,392.117,152.436,167,397.727,0,29,0
190,382.806,151.775,158,397.727,0,27,0
191,378.11,151.209,152,397.727,0,26,0
192,366.838,148.06,141,397.727,0,24,0
193,359.923,145.903,136,397.727,0,23,0
194,350.777,145.884,130,397.727,0,22,0
195,341.56,147.056,119,397.727,0,20,0
196,336.564,147.162,115,397.727,0,20,0
197,328.997,142.394,111,397.727,0,19,0
198,317.477,141.886,104,397.727,0,18,0
199,304.294,142.321,94,397.727,0,16,0
200,292.547,139.135,87,397.727,0,15,0
201,286.751,135.657,87,397.727,0,15,0
202,277.839,133.217,86,397.727,0,15,0
203,259.289,133.427,79,397.727,0,13,0
204,248.123,130.049,79,397.727,0,13,0
205,241.006,126.06,82,397.727,0,14,0
206,233.864,123.072,86,397.727,0,15,0
207,226.748,121.834,90,397.727,0,15,0
208,221.531,120.218,93,397.727,0,16,0
209,215.255,121.7,96,397.727,0,16,0
210,210.74,122.281,97,397.727,0,17,0
211,196.557,123.699,97,397.727,0,17,0
212,189.021,122.987,101,397.727,0,17,0
213,184.48,123.188,101,397.727,0,17,0
214,178.661,125.476,102,397.727,0,17,0
215,173.096,127.922,98,397.727,0,17,0
216,165.786,127.642,99,397.727,0,17,0
217,160.427,127.32,99,397.727,0,17,0
218,154.68,126.653,99,397.727,0,17,0
219,145.937,125.318,100,397.727,0,17,0
220,137.075,122.826,104,397.727,0,18,0
221,126.1,116.11,114,397.727,0,20,0
222,122.54,111.941,122,397.727,0,21,0
223,112.355,111.193,136,397.727,0,23,0
224,107.459,20.655,1,0,0,0,0
225,106.859,-30.0818,-1,0,0,0,0
226,108.187,-50.4995,-1,397.727,0,0,0
227,110.265,14.5267,144,397.727,0,25,0
228,108.728,13.6381,2,0,0,0,0
229,109.922,10.3336,140,397.727,0,24,0
230,109.204,21.1297,165,0,0,29,0
