cnt,pos,speed,DTorque,STorque,Force,Dir
9678,62.00,-0.02,158.00,0,27.81,0
9679,62.00,-0.03,158.00,0,27.81,0
9680,62.00,-0.04,158.00,0,27.81,0
9681,62.00,-0.03,158.00,0,27.81,0
9682,62.00,-0.03,158.00,0,27.81,0
9683,62.00,-0.02,159.00,0,27.98,0
9684,62.00,-0.01,159.00,0,27.98,0
9685,62.00,-0.01,159.00,0,27.98,0
9686,62.00,-0.02,158.00,0,27.81,0
9687,62.00,-0.02,158.00,0,27.81,0
9688,62.00,-0.02,158.00,0,27.81,0
9689,62.00,-0.02,158.00,0,27.81,0
9690,62.00,-0.00,158.00,0,27.81,0
9691,62.00,-0.01,158.00,0,27.81,0
9692,62.00,-0.01,159.00,0,27.98,0
9693,62.00,-0.00,158.00,0,27.81,0
9694,62.00,-0.01,158.00,0,27.81,0
9695,62.00,-0.01,158.00,0,27.81,0
9696,62.00,-0.00,158.00,0,27.81,0
9697,62.00,0.00,158.00,0,27.81,0
9698,62.00,0.00,158.00,0,27.81,0
9699,62.00,-0.00,159.00,0,27.98,0
9700,62.00,0.00,158.00,0,27.81,0
9701,62.00,-0.01,158.00,0,27.81,0
9702,62.00,-0.01,158.00,0,27.81,0
9703,62.00,-0.01,158.00,0,27.81,0
9704,62.00,0.00,158.00,0,27.81,0
9705,62.00,0.01,159.00,0,27.98,0
9706,62.00,0.01,159.00,0,27.98,0
9707,62.00,0.01,158.00,0,27.81,0
9708,62.00,-0.02,159.00,0,27.98,0
9709,62.00,-0.02,159.00,0,27.98,0
9710,62.00,-0.01,159.00,0,27.98,0
9711,62.00,0.01,159.00,0,27.98,0
9712,62.00,0.01,158.00,0,27.81,0
9713,62.00,0.02,159.00,0,27.98,0
9714,62.00,-0.01,159.00,0,27.98,-1
9715,62.00,-0.01,159.00,0,27.98,-1
9716,62.00,0.00,158.00,0,27.81,-1
9717,62.00,-0.01,158.00,0,27.81,-1
9718,62.00,0.01,158.00,0,27.81,-1
9719,62.00,0.00,159.00,0,27.98,-1
9720,62.00,0.01,158.00,0,27.81,-1
9721,62.00,-0.01,158.00,0,27.81,-1
9722,62.00,-0.01,158.00,0,27.81,-1
9723,62.00,-0.03,158.00,0,27.81,-1
9724,62.00,-0.02,159.00,0,27.98,-1
9725,62.00,-0.02,158.00,0,27.81,-1
9726,62.00,-0.03,158.00,0,27.81,-1
9727,62.00,-0.03,158.00,0,27.81,-1
9728,62.00,-0.05,158.00,0,27.81,-1
9729,62.00,-0.06,158.00,0,27.81,-1
9730,62.00,-0.08,158.00,0,27.81,-1
9731,62.00,-0.09,158.00,0,27.81,-1
9732,62.00,-0.11,158.00,0,27.81,-1
9733,62.00,-0.11,158.00,0,27.81,-1
9734,62.00,-0.12,158.00,0,27.81,-1
9735,62.00,-0.13,157.00,0,27.63,-1
9736,62.00,-0.14,157.00,0,27.63,-1
9737,62.00,-0.16,157.00,0,27.63,-1
9738,62.00,-0.17,157.00,0,27.63,-1
9739,62.00,-0.18,157.00,0,27.63,-1
9740,62.00,-0.18,156.00,0,27.46,-1
9741,62.00,-0.18,156.00,0,27.46,-1
9742,62.00,-0.17,156.00,0,27.46,-1
9743,62.00,-0.18,155.00,0,27.28,-1
9744,62.00,-0.19,155.00,0,27.28,-1
9745,62.00,-0.21,154.00,0,27.10,-1
9746,62.00,-0.21,154.00,0,27.10,-1
9747,62.00,-0.21,153.00,0,26.93,-1
9748,62.00,-0.21,152.00,0,26.75,-1
9749,62.01,-0.23,152.00,0,26.75,-1
9750,62.01,-0.25,152.00,0,26.75,-1
9751,62.01,-0.25,151.00,0,26.58,-1
9752,62.01,-0.27,150.00,0,26.40,-1
9753,62.01,-0.29,149.00,0,26.22,-1
9754,62.01,-0.32,149.00,0,26.22,-1
9755,62.01,-0.35,148.00,0,26.05,-1
9756,62.01,-0.38,147.00,0,25.87,-1
9757,62.01,-0.41,146.00,0,25.70,-1
9758,62.01,-0.47,145.00,0,25.52,-1
9759,62.01,-0.50,145.00,0,25.52,-1
9760,62.01,-0.54,144.00,0,25.34,-1
9761,62.01,-0.57,143.00,0,25.17,-1
9762,62.01,-0.61,142.00,0,24.99,-1
9763,62.01,-0.63,141.00,0,24.82,-1
9764,62.01,-0.69,140.00,0,24.64,-1
9765,62.01,-0.75,139.00,0,24.46,-1
9766,62.01,-0.84,138.00,0,24.29,-1
9767,62.01,-0.93,137.00,0,24.11,-1
9768,62.02,-1.11,136.00,0,23.94,-1
9769,62.02,-1.22,135.00,0,23.76,-1
9770,62.02,-1.29,134.00,0,23.58,-1
9771,62.02,-1.38,133.00,0,23.41,-1
9772,62.02,-1.50,132.00,0,23.23,-1
9773,62.02,-1.62,131.00,0,23.06,-1
9774,62.03,-1.77,131.00,0,23.06,-1
9775,62.03,-1.91,130.00,0,22.88,-1
9776,62.03,-2.01,129.00,0,22.70,-1
9777,62.03,-2.05,127.00,0,22.35,-1
9778,62.03,-2.25,127.00,0,22.35,-1
9779,62.04,-2.56,125.00,0,22.00,-1
9780,62.04,-2.83,124.00,0,21.82,-1
9781,62.04,-2.98,123.00,0,21.65,-1
9782,62.05,-3.13,122.00,0,21.47,-1
9783,62.05,-3.37,122.00,0,21.47,-1
9784,62.05,-3.59,121.00,0,21.30,-1
9785,62.06,-3.67,120.00,0,21.12,-1
9786,62.06,-3.91,119.00,0,20.94,-1
9787,62.07,-4.22,118.00,0,20.77,-1
9788,62.07,-4.42,118.00,0,20.77,-1
9789,62.08,-4.69,117.00,0,20.59,-1
9790,62.08,-4.93,116.00,0,20.42,-1
9791,62.09,-5.07,115.00,0,20.24,-1
9792,62.09,-5.40,114.00,0,20.06,-1
9793,62.10,-5.67,114.00,0,19.89,-1
9794,62.10,-6.00,112.00,0,19.71,-1
9795,62.11,-6.09,112.00,0,19.71,-1
9796,62.12,-6.37,111.00,0,19.54,-1
9797,62.12,-6.72,110.00,0,19.36,-1
9798,62.13,-7.07,110.00,0,19.36,-1
9799,62.14,-7.07,110.00,0,19.18,-1
9800,62.14,-7.53,108.00,0,19.01,-1
9801,62.15,-7.80,107.00,0,18.83,-1
9802,62.16,-8.27,106.00,0,18.66,-1
9803,62.17,-8.63,105.00,0,18.48,-1
9804,62.18,-8.63,105.00,0,18.48,-1
9805,62.19,-9.27,104.00,0,18.30,-1
9806,62.19,-9.67,103.00,0,18.13,-1
9807,62.20,-9.77,102.00,0,17.95,-1
9808,62.21,-9.77,102.00,0,17.95,-1
9809,62.22,-10.67,101.00,0,17.78,-1
9810,62.23,-11.11,100.00,0,17.60,-1
9811,62.26,-11.53,100.00,0,17.60,-1
9812,62.26,-11.53,99.00,0,17.42,-1
9813,62.27,-11.98,99.00,0,17.42,-1
9814,62.28,-12.89,99.00,0,17.42,-1
9815,62.29,-13.36,98.00,0,17.25,-1
9816,62.31,-13.85,98.00,0,17.25,-1
9817,62.34,-14.36,98.00,0,17.25,-1
9818,62.35,-15.04,98.00,0,17.25,-1
9819,62.37,-15.41,98.00,0,17.25,-1
9820,62.38,-16.01,98.00,0,17.25,-1
9821,62.40,-16.58,97.00,0,17.07,-1
9822,62.42,-17.05,97.00,0,17.07,-1
9823,62.43,-17.59,97.00,0,17.07,-1
9824,62.45,-18.50,97.00,0,17.07,-1
9825,62.47,-18.50,97.00,0,17.07,-1
9826,62.51,-19.63,97.00,0,17.07,-1
9827,62.53,-20.14,97.00,0,17.07,-1
9828,62.55,-20.55,97.00,0,17.07,-1
9829,62.57,-20.83,97.00,0,17.07,-1
9830,62.57,-21.32,97.00,0,17.07,-1
9831,62.61,-21.63,96.00,0,16.90,-1
9832,62.64,-22.06,96.00,0,16.90,-1
9833,62.66,-22.61,95.00,0,16.72,-1
9834,62.68,-22.97,95.00,0,16.72,-1
9835,62.70,-23.48,94.00,0,16.54,-1
9836,62.73,-23.96,94.00,0,16.54,-1
9837,62.75,-24.46,93.00,0,16.37,-1
9838,62.78,-24.95,93.00,0,16.37,-1
9839,62.80,-25.54,92.00,0,16.19,-1
9840,62.83,-26.05,92.00,0,16.19,-1
9841,62.86,-26.66,92.00,0,16.19,-1
9842,62.88,-27.16,92.00,0,16.19,-1
9843,62.91,-27.72,92.00,0,16.19,-1
9844,62.94,-28.35,92.00,0,16.19,-1
9845,62.97,-28.80,92.00,0,16.19,-1
9846,63.00,-29.34,92.00,0,16.02,-1
9847,63.03,-29.70,91.00,0,16.02,-1
9848,63.06,-30.12,91.00,0,16.02,-1
9849,63.12,-31.11,91.00,0,16.02,-1
9850,63.15,-31.72,90.00,0,15.84,-1
9851,63.18,-31.95,90.00,0,15.84,-1
9852,63.22,-32.74,89.00,0,15.66,-1
9853,63.25,-33.37,89.00,0,15.66,-1
9854,63.28,-33.63,88.00,0,15.49,-1
9855,63.32,-34.47,88.00,0,15.49,-1
9856,63.35,-35.02,88.00,0,15.49,-1
9857,63.39,-35.44,88.00,0,15.49,-1
9858,63.46,-36.33,87.00,0,15.31,-1
9859,63.46,-37.15,87.00,0,15.31,-1
9860,63.50,-37.36,86.00,0,15.14,-1
9861,63.57,-38.26,86.00,0,15.14,-1
9862,63.61,-38.60,85.00,0,14.96,-1
9863,63.65,-39.44,84.00,0,14.78,-1
9864,63.69,-39.95,84.00,0,14.78,-1
9865,63.73,-40.61,84.00,0,14.78,-1
9866,63.77,-41.44,84.00,0,14.78,-1
9867,63.81,-41.85,84.00,0,14.96,-1
9868,63.86,-42.41,85.00,0,14.96,-1
9869,63.90,-43.57,85.00,0,14.96,-1
9870,63.99,-44.11,84.00,0,14.78,-1
9871,64.03,-44.61,84.00,0,14.78,-1
9872,64.08,-45.39,83.00,0,14.61,-1
9873,64.12,-46.01,83.00,0,14.61,-1
9874,64.17,-46.50,83.00,0,14.61,-1
9875,64.22,-47.01,83.00,0,14.61,-1
9876,64.27,-47.63,83.00,0,14.61,-1
9877,64.31,-48.16,83.00,0,14.43,-1
9878,64.36,-48.68,81.00,0,14.26,-1
9879,64.46,-49.84,81.00,0,14.26,-1
9880,64.46,-50.46,80.00,0,14.08,-1
9881,64.56,-51.15,79.00,0,13.90,-1
9882,64.61,-51.82,79.00,0,13.90,-1
9883,64.67,-52.46,80.00,0,14.08,-1
9884,64.72,-53.09,80.00,0,14.08,-1
9885,64.77,-53.51,80.00,0,14.08,-1
9886,64.83,-54.04,79.00,0,13.90,-1
9887,64.88,-54.61,79.00,0,13.90,-1
9888,64.94,-55.22,78.00,0,13.73,-1
9889,64.99,-56.23,77.00,0,13.55,-1
9890,65.11,-56.72,77.00,0,13.55,-1
9891,65.16,-57.32,76.00,0,13.38,-1
9892,65.22,-57.69,75.00,0,13.20,-1
9893,65.28,-58.16,74.00,0,13.02,-1
9894,65.34,-58.84,73.00,0,12.85,-1
9895,65.40,-59.42,72.00,0,12.67,-1
9896,65.46,-60.08,71.00,0,12.50,-1
9897,65.52,-60.81,71.00,0,12.50,-1
9898,65.58,-61.20,71.00,0,12.50,-1
9899,65.64,-62.14,71.00,0,12.32,-1
9900,65.70,-62.39,69.00,0,12.14,-1
9901,65.77,-63.33,69.00,0,12.14,-1
9902,65.83,-63.68,69.00,0,11.97,-1
9903,65.90,-64.50,68.00,0,11.97,-1
9904,66.03,-65.58,68.00,0,11.97,-1
9905,66.09,-66.47,67.00,0,11.79,-1
9906,66.16,-66.69,66.00,0,11.62,-1
9907,66.23,-67.38,65.00,0,11.44,-1
9908,66.30,-68.35,64.00,0,11.26,-1
9909,66.36,-68.99,64.00,0,11.26,-1
9910,66.43,-69.48,65.00,0,11.44,-1
9911,66.50,-70.11,65.00,0,11.44,-1
9912,66.57,-70.71,63.00,0,11.09,-1
9913,66.65,-72.17,62.00,0,10.91,-1
9914,66.79,-72.94,63.00,0,11.09,-1
9915,66.86,-73.40,63.00,0,11.09,-1
9916,66.94,-73.98,62.00,0,10.91,-1
9917,67.01,-74.57,61.00,0,10.74,-1
9918,67.09,-75.30,60.00,0,10.56,-1
9919,67.16,-75.92,59.00,0,10.38,-1
9920,67.24,-76.56,59.00,0,10.38,-1
9921,67.32,-77.05,59.00,0,10.38,-1
9922,67.40,-77.86,58.00,0,10.21,-1
9923,67.47,-78.38,58.00,0,10.21,-1
9924,67.63,-79.74,58.00,0,10.21,-1
9925,67.71,-80.34,58.00,0,10.21,-1
9926,67.79,-80.82,58.00,0,10.21,-1
9927,67.88,-81.63,56.00,0,9.86,-1
9928,67.96,-82.26,56.00,0,9.86,-1
9929,68.04,-82.88,56.00,0,9.86,-1
9930,68.13,-83.64,56.00,0,9.86,-1
9931,68.21,-84.29,57.00,0,10.03,-1
9932,68.29,-84.78,56.00,0,9.86,-1
9933,68.38,-85.75,55.00,0,9.86,-1
9934,68.55,-87.04,57.00,0,10.03,-1
9935,68.55,-87.66,57.00,0,10.03,-1
9936,68.73,-88.25,56.00,0,9.86,-1
9937,68.82,-88.93,55.00,0,9.68,-1
9938,68.91,-89.91,55.00,0,9.68,-1
9939,69.00,-90.22,56.00,0,9.86,-1
9940,69.09,-91.01,57.00,0,10.03,-1
9941,69.18,-91.73,56.00,0,9.86,-1
9942,69.27,-92.16,57.00,0,10.03,-1
9943,69.37,-92.74,57.00,0,10.03,-1
9944,69.55,-93.87,57.00,0,10.03,-1
9945,69.55,-94.48,56.00,0,9.86,-1
9946,69.74,-94.96,56.00,0,9.86,-1
9947,69.84,-95.72,56.00,0,9.86,-1
9948,69.93,-96.06,56.00,0,9.86,-1
9949,70.03,-96.78,56.00,0,9.86,-1
9950,70.13,-97.07,55.00,0,9.68,-1
9951,70.23,-97.64,56.00,0,9.86,-1
9952,70.32,-98.13,56.00,0,9.86,-1
9953,70.42,-98.70,54.00,0,9.50,-1
9954,70.52,-99.88,54.00,0,9.50,-1
9955,70.72,-100.40,54.00,0,9.50,-1
9956,70.82,-100.95,54.00,0,9.50,-1
9957,70.92,-101.64,53.00,0,9.33,-1
9958,71.03,-102.46,54.00,0,9.50,-1
9959,71.13,-102.86,54.00,0,9.50,-1
9960,71.23,-103.61,54.00,0,9.50,-1
9961,71.34,-104.40,53.00,0,9.33,-1
9962,71.44,-105.26,54.00,0,9.50,-1
9963,71.55,-106.01,56.00,0,9.86,-1
9964,71.66,-107.42,56.00,0,9.86,-1
9965,71.87,-108.30,58.00,0,10.21,-1
9966,71.98,-108.98,59.00,0,10.38,-1
9967,72.09,-109.64,59.00,0,10.38,-1
9968,72.20,-110.54,59.00,0,10.38,-1
9969,72.31,-111.29,60.00,0,10.56,-1
9970,72.42,-112.32,62.00,0,10.91,-1
9971,72.54,-112.72,63.00,0,11.09,-1
9972,72.65,-113.58,64.00,0,11.26,-1
9973,72.77,-114.50,66.00,0,11.62,-1
9974,72.88,-115.15,67.00,0,11.79,-1
9975,73.00,-116.02,67.00,0,11.79,-1
9976,73.11,-116.53,70.00,0,12.32,-1
9977,73.23,-118.35,72.00,0,12.67,-1
9978,73.47,-119.15,73.00,0,12.85,-1
9979,73.59,-119.67,75.00,0,13.20,-1
9980,73.71,-120.49,77.00,0,13.55,-1
9981,73.83,-121.10,77.00,0,13.55,-1
9982,73.95,-121.94,78.00,0,13.73,-1
9983,74.07,-122.92,80.00,0,14.08,-1
9984,74.20,-123.56,83.00,0,14.61,-1
9985,74.32,-124.39,85.00,0,14.96,-1
9986,74.45,-125.20,87.00,0,15.31,-1
9987,74.57,-125.99,89.00,0,15.66,-1
9988,74.70,-126.64,90.00,0,15.84,-1
9989,74.83,-127.71,93.00,0,16.37,-1
9990,74.96,-128.62,96.00,0,16.90,-1
9991,75.22,-130.66,98.00,0,17.25,-1
9992,75.35,-131.38,101.00,0,17.78,-1
9993,75.48,-132.43,103.00,0,18.13,-1
9994,75.61,-133.65,104.00,0,18.30,-1
9995,75.75,-134.32,107.00,0,18.83,-1
9996,75.88,-135.89,111.00,0,19.54,-1
9997,76.02,-136.66,114.00,0,20.06,-1
9998,76.16,-138.09,119.00,0,20.94,-1
9999,76.30,-138.93,123.00,0,21.65,-1
10000,76.44,-140.38,124.00,0,21.82,-1
10001,76.58,-142.49,132.00,0,23.23,-1
10002,76.87,-143.70,137.00,0,24.11,-1
10003,77.01,-144.93,142.00,0,24.99,-1
10004,77.16,-145.82,146.00,0,25.70,-1
10005,77.30,-146.84,148.00,0,26.05,-1
10006,77.45,-148.08,152.00,0,26.75,-1
10007,77.60,-149.05,157.00,0,27.63,-1
10008,77.75,-149.90,162.00,0,28.51,-1
10009,77.90,-150.88,166.00,0,29.22,-1
10010,78.05,-151.79,172.00,0,30.27,-1
10011,78.21,-152.68,176.00,0,30.98,-1
10012,78.36,-153.57,176.00,0,31.86,-1
10013,78.67,-155.48,186.00,0,32.74,-1
10014,78.83,-156.59,191.00,0,33.62,-1
10015,78.98,-157.29,193.00,0,33.97,-1
10016,79.14,-158.48,196.00,0,34.50,-1
10017,79.30,-159.69,202.00,0,35.55,-1
10018,79.46,-160.30,207.00,0,36.43,-1
10019,79.62,-161.60,212.00,0,37.31,-1
10020,79.79,-162.20,216.00,0,38.02,-1
10021,79.95,-163.44,218.00,0,38.37,-1
10022,80.11,-164.08,224.00,0,39.42,-1
10023,80.28,-165.02,229.00,0,41.36,-1
10024,80.44,-165.75,235.00,0,42.06,-1
10025,80.61,-167.14,240.00,0,42.24,-1
10026,80.95,-168.08,246.00,0,43.30,-1
10027,81.11,-168.73,251.00,0,44.18,-1
10028,81.28,-169.41,256.00,0,45.06,-1
10029,81.45,-170.25,260.00,0,45.76,-1
10030,81.62,-170.91,262.00,0,46.11,-1
10031,81.80,-172.23,267.00,0,46.99,-1
10032,81.97,-172.78,272.00,0,47.87,-1
10033,82.14,-173.62,277.00,0,48.75,-1
10034,82.32,-174.29,281.00,0,49.46,-1
10035,82.49,-175.18,283.00,0,49.81,-1
10036,82.67,-176.78,294.00,0,51.74,-1
10037,82.85,-177.55,299.00,0,52.62,-1
10038,83.02,-178.03,302.00,0,53.15,-1
10039,83.38,-179.04,305.00,0,53.68,-1
10040,83.56,-180.01,312.00,0,54.91,-1
10041,83.74,-180.84,317.00,0,55.79,-1
10042,83.92,-181.35,322.00,0,56.67,-1
10043,84.11,-182.37,325.00,0,57.20,-1
10044,84.29,-183.35,330.00,0,58.08,-1
10045,84.47,-184.02,342.00,0,60.19,-1
