cnt,pos,speed,DTorque,Force
3795,109.556,-0.0036,0,0
3796,109.556,0.0024,0,0
3797,109.556,0.0048,0,0
3798,109.556,0.0024,0,0
3799,109.556,0.0048,0,0
3800,109.556,0,0,0
3801,109.556,0,0,0
3802,109.556,0,0,0
3803,109.556,-0.0012,0,0
3804,109.556,0,0,0
3805,109.556,-0.0024,0,0
3806,109.556,0.0012,0,0
3807,109.556,-0.0012,0,0
3808,109.556,0.0036,0,0
3809,109.556,0,0,0
3810,109.556,0.0024,0,0
3811,109.556,0.0012,0,0
3812,109.556,0.0048,0,0
3813,109.556,0.0036,0,0
3814,109.556,0.0012,0,0
3815,109.556,0.0036,0,0
3816,109.556,0,0,0
3817,109.556,0,0,0
3818,109.556,0,0,0
3819,109.556,0,0,0
3820,109.556,0,0,0
3821,109.556,0,0,0
3822,109.556,-0.0012,0,0
3823,109.556,-0.0048,0,0
3824,109.556,-0.0012,0,0
3825,109.556,0,0,0
3826,109.556,0,0,0
3827,109.556,0,0,0
3828,109.556,0.0036,0,0
3829,109.556,-0.0024,0,0
3830,109.556,0.0012,0,0
3831,109.556,0.0024,0,0
3832,109.556,-0.0012,0,0
3833,109.556,0.0048,0,0
3834,109.556,-0.0012,0,0
3835,109.556,0,0,0
3836,109.556,-0.0012,0,0
3837,109.556,0,0,0
3838,109.556,0,0,0
3839,109.556,-0.0012,0,0
3840,109.556,-0.0024,0,0
3841,109.556,0,0,0
3842,109.556,0,0,0
3843,109.556,0.0024,0,0
3844,109.556,0,0,0
3845,109.556,-0.0024,0,0
3846,109.556,0.0012,0,0
3847,109.556,0,0,0
3848,109.556,0,0,0
3849,109.556,0.0012,0,0
3850,109.556,0.0024,0,0
3851,109.556,0.0012,0,0
3852,109.556,0,0,0
3853,109.556,0,0,0
3854,109.556,0.0012,0,0
3855,109.556,0.0012,0,0
3856,109.556,0,0,0
3857,109.556,0.0012,0,0
3858,109.556,0.0036,0,0
3859,109.556,0.0024,0,0
3860,109.556,-0.0012,0,0
3861,109.556,0.0012,0,0
3862,109.556,0.0024,0,0
3863,109.556,0.0024,0,0
3864,109.556,0.0024,0,0
3865,109.556,0.0024,0,0
3866,109.556,0.0012,0,0
3867,109.556,0,0,0
3868,109.556,0,0,0
3869,109.556,0.0024,0,0
3870,109.556,0.0036,0,0
3871,109.556,0.0036,0,0
3872,109.556,0.0036,0,0
3873,109.556,0.0024,0,0
3874,109.556,0.0048,0,0
3875,109.556,0.0048,0,0
3876,109.556,0.0024,0,0
3877,109.556,0.0012,0,0
3878,109.556,0.0012,0,0
3879,109.556,0,0,0
3880,109.556,0.0012,0,0
3881,109.556,0.0012,0,0
3882,109.556,0,0,0
3883,109.556,0.0012,0,0
3884,109.556,-0.0012,0,0
3885,109.556,-0.0024,0,0
3886,109.556,0.0012,0,0
3887,109.556,0.0024,0,0
3888,109.556,0.0036,0,0
3889,109.556,0.0012,0,0
3890,109.556,0.0012,0,0
3891,109.556,0.0072,0,0
3892,109.556,0.0024,0,0
3893,109.556,0.0036,0,0
3894,109.556,0.006,0,0
3895,109.556,0.0024,0,0
3896,109.556,0.0048,0,0
3897,109.556,-0.0012,0,0
3898,109.556,0.0024,0,0
3899,109.556,0.0036,0,0
3900,109.556,0.0036,0,0
3901,109.556,0.0012,0,0
3902,109.556,0.0012,0,0
3903,109.556,0.0048,0,0
3904,109.556,0.0036,0,0
3905,109.556,0.006,0,0
3906,109.556,0.006,0,0
3907,109.556,0.0048,0,0
3908,109.556,0.0072,0,0
3909,109.556,0.0012,0,0
3910,109.556,-0.0012,0,0
3911,109.556,-0.0083,0,0
3912,109.556,-0.0203,0,0
3913,109.556,-0.0226,0,0
3914,109.556,-0.0226,0,0
3915,109.556,-0.0143,0,0
3916,109.556,0.0036,0,0
3917,109.556,0.0107,0,0
3918,109.556,0.0191,0,0
3919,109.556,0.0226,0,0
3920,109.556,0.0238,0,0
3921,109.556,0.0226,0,0
3922,109.556,0.0226,0,0
3923,109.556,0.0191,0,0
3924,109.556,0.0215,0,0
3925,109.556,0.0215,0,0
3926,109.556,0.0179,0,0
3927,109.556,0.0191,0,0
3928,109.556,0.0179,0,0
3929,109.556,0.0167,0,0
3930,109.556,0.0179,0,0
3931,109.556,0.0167,0,0
3932,109.556,0.0191,0,0
3933,109.556,0.0191,0,0
3934,109.556,0.0155,0,0
3935,109.556,0.0072,0,0
3936,109.556,0.0083,0,0
3937,109.556,0.0048,0,0
3938,109.556,0.0036,0,0
3939,109.556,0.0024,0,0
3940,109.556,-0.0012,0,0
3941,109.556,0,0,0
3942,109.556,-0.0012,0,0
3943,109.556,0.0012,0,0
3944,109.556,0.0036,0,0
3945,109.556,0.006,0,0
3946,109.556,0.0095,0,0
3947,109.556,0.0131,0,0
3948,109.556,0.0155,0,0
3949,109.556,0.0179,0,0
3950,109.556,0.0191,0,0
3951,109.555,0.0167,0,0
3952,109.555,0.0191,0,0
3953,109.555,0.0107,0,0
3954,109.555,0.0143,0,0
3955,109.555,0.0072,0,0
3956,109.555,0.006,0,0
3957,109.555,0.0024,0,0
3958,109.555,-0.006,0,0
3959,109.555,-0.0083,0,0
3960,109.555,-0.0131,0,0
3961,109.555,-0.0143,0,0
3962,109.555,-0.0179,0,0
3963,109.555,-0.0167,0,0
3964,109.556,-0.0179,0,0
3965,109.556,-0.0203,0,0
3966,109.556,-0.0167,0,0
