cnt,pos,speed,DTorque,DAC,STorque,Force
0,-102.097,-5.257,0,0,0,0
1,-102.169,-6.9497,0,0,0,0
2,-102.221,-7.9558,0,0,0,0
3,-102.254,-8.5172,0,0,0,0
4,-102.28,-8.857,0,0,0,0
5,-102.298,-9.3135,0,0,0,0
6,-102.346,-9.8321,0,0,0,0
7,-102.386,-10.2147,0,0,0,0
8,-102.407,-10.4162,0,0,0,0
9,-102.449,-10.9097,0,0,0,0
10,-102.471,-11.1433,0,0,0,0
11,-102.528,-11.5772,0,0,0,0
12,-102.563,-11.7596,0,0,0,0
13,-102.611,-12.1554,0,0,0,0
14,-102.635,-12.4939,0,0,0,0
15,-102.725,-13.1674,0,0,0,0
16,-102.778,-13.5334,0,0,0,0
17,-102.833,-13.9339,0,0,0,0
18,-102.875,-14.1104,0,0,0,0
19,-102.947,-14.7028,0,0,0,0
20,-102.991,-14.971,0,0,0,0
21,-103.036,-15.2726,0,0,0,0
22,-103.082,-15.4169,0,0,0,0
23,-103.146,-15.8889,0,0,0,0
24,-103.194,-16.1822,0,0,0,0
25,-103.259,-16.5183,0,0,0,0
26,-103.293,-16.8247,0,0,0,0
27,-103.343,-17.0977,0,0,0,0
28,-103.395,-17.2157,0,0,0,0
29,-103.482,-17.64,-1,0,0,0
30,-103.518,-17.863,-1,0,0,0
31,-103.59,-18.0668,0,0,0,0
32,-103.626,-18.3004,-1,0,0,0
33,-103.681,-18.4316,0,0,0,0
34,-103.737,-18.5901,0,0,0,0
35,-103.812,-18.8762,0,0,0,0
36,-103.85,-18.9966,0,0,0,0
37,-103.888,-19.0812,0,0,0,0
38,-103.926,-19.2207,0,0,0,0
39,-104.004,-19.6308,-1,0,0,0
40,-104.044,-19.7667,-1,0,0,0
41,-104.123,-19.9979,0,0,0,0
42,-104.183,-20.1839,0,0,0,0
43,-104.244,-20.4771,0,0,0,0
44,-104.306,-20.5928,0,0,0,0
45,-104.389,-20.8097,0,0,0,0
46,-104.452,-21.0744,0,0,0,0
47,-104.494,-21.1983,0,0,0,0
48,-104.558,-21.2663,1,0,0,0
49,-104.643,-21.5404,0,0,0,0
50,-104.708,-21.6251,1,0,0,0
51,-104.839,-21.8778,0,0,0,0
52,-104.883,-22.0793,0,0,0,0
53,-104.949,-22.2163,0,0,0,0
54,-105.016,-22.3868,0,0,0,0
55,-105.106,-22.6371,0,0,0,0
56,-105.174,-22.8052,0,0,0,0
57,-105.265,-22.9542,0,0,0,0
58,-105.334,-23.1497,0,0,0,0
59,-105.381,-23.2248,0,0,0,0
60,-105.45,-23.3619,0,0,0,0
61,-105.568,-23.5491,0,0,0,0
62,-105.615,-23.6301,0,0,0,0
63,-105.733,-23.8065,0,0,0,0
64,-105.781,-23.8435,0,0,0,0
65,-105.853,-23.9532,0,0,0,0
66,-105.925,-24.0831,0,0,0,0
67,-106.045,-24.219,0,0,0,0
68,-106.094,-24.2881,0,0,0,0
69,-106.192,-24.4991,0,0,0,0
70,-106.265,-24.5623,1,0,0,0
71,-106.339,-24.8699,0,0,0,0
72,-106.439,-24.9128,0,0,0,0
73,-106.539,-25.063,1,0,0,0
74,-106.589,-25.0534,0,0,0,0
75,-106.689,-25.1881,1,0,0,0
76,-106.765,-25.2585,-1,0,0,0
77,-106.841,-25.2752,0,0,0,0
78,-106.891,-25.361,0,0,0,0
79,-106.993,-25.4099,0,0,0,0
80,-107.069,-25.4134,0,0,0,0
81,-107.146,-25.5791,0,0,0,0
82,-107.222,-25.5481,1,0,0,0
83,-107.325,-25.7329,-1,0,0,0
84,-107.402,-25.7126,0,0,0,0
85,-107.557,-25.8724,0,0,0,0
86,-107.634,-25.9427,-1,0,0,0
87,-107.79,-25.9475,0,0,0,0
88,-107.868,-25.9975,-1,0,0,0
89,-107.998,-26.0643,-1,0,0,0
90,-108.102,-26.0977,0,0,0,0
91,-108.207,-26.286,0,0,0,0
92,-108.286,-26.3719,0,0,0,0
93,-108.365,-26.4446,0,0,0,0
94,-108.445,-26.4815,0,0,0,0
95,-108.577,-26.5805,1,0,0,0
96,-108.63,-26.584,0,0,0,0
97,-108.737,-26.5745,1,0,0,0
98,-108.816,-26.5864,0,0,0,0
99,-108.949,-26.6675,0,0,0,0
100,-109.029,-26.6842,0,0,0,0
101,-109.163,-26.7295,-1,0,0,0
102,-109.27,-26.7867,0,0,0,0
103,-109.431,-26.8844,0,0,0,0
104,-109.511,-26.9035,-1,0,0,0
105,-109.646,-26.9595,0,0,0,0
106,-109.7,-26.9452,0,0,0,0
107,-109.862,-26.9893,1,0,0,0
108,-109.97,-27.0132,0,0,0,0
109,-110.051,-27.0597,0,0,0,0
110,-110.105,-27.0799,0,0,0,0
111,-110.214,-27.167,1,0,0,0
