cnt,pos,speed,DTorque,DAC,STorque,Force
1,-79.1801,-12.0243,1,0,0,0
3,-79.3193,-15.9354,0,0,0,0
5,-79.4391,-18.7129,1,0,0,0
7,-79.5368,-20.7549,0,0,0,0
9,-79.5788,-21.5393,0,0,0,0
11,-79.7141,-23.5026,0,0,0,0
13,-79.7623,-24.2607,0,0,0,0
15,-79.8375,-25.777,0,0,0,0
17,-79.916,-26.5423,0,0,0,0
19,-79.9702,-27.6414,0,0,0,0
21,-80.0543,-28.8227,0,0,0,0
23,-80.2021,-30.3056,0,0,0,0
25,-80.2638,-31.0793,0,0,0,0
27,-80.327,-32.1784,-1,0,0,0
29,-80.3918,-32.8638,0,0,0,0
31,-80.5254,-34.3658,0,0,0,0
33,-80.6647,-35.3552,0,0,0,0
35,-80.7727,-36.6414,-1,0,0,0
37,-80.8836,-37.2839,0,0,0,0
39,-80.9591,-37.88,0,0,0,0
41,-81.0358,-38.8336,-1,0,0,0
43,-81.2329,-40.2724,0,0,0,0
45,-81.3547,-40.8887,-2,0,0,0
47,-81.4373,-41.4859,-2,0,0,0
49,-81.5212,-42.4193,-1,0,0,0
51,-81.6927,-43.3586,-2,0,0,0
53,-81.7803,-43.9678,-1,0,0,0
55,-81.9139,-45.1527,0,0,0,0
57,-82.0045,-45.7904,-1,0,0,0
59,-82.1894,-46.973,0,0,0,0
61,-82.2837,-47.6036,-1,0,0,0
63,-82.4759,-48.8588,-1,0,0,0
65,-82.5739,-49.3773,0,0,0,0
67,-82.7731,-50.2344,0,0,0,0
69,-82.8744,-51.0224,0,0,0,0
71,-83.0802,-51.8056,0,0,0,0
73,-83.1846,-52.3825,0,0,0,0
75,-83.29,-53.1681,-1,0,0,0
77,-83.3965,-53.6389,-1,0,0,0
79,-83.7224,-55.0098,-1,0,0,0
81,-83.8889,-55.9801,0,0,0,0
83,-84.1715,-57.2521,-1,0,0,0
85,-84.2862,-57.7182,-1,0,0,0
87,-84.4602,-58.555,0,0,0,0
89,-84.6366,-59.0497,0,0,0,0
91,-84.8152,-60.0176,0,0,0,0
93,-84.9354,-60.4325,-1,0,0,0
95,-85.2398,-61.4994,1,0,0,0
97,-85.363,-61.9511,-1,0,0,0
99,-85.6123,-62.9417,0,0,0,0
101,-85.7384,-63.3566,-1,0,0,0
103,-85.993,-64.2304,-1,0,0,0
105,-86.1861,-64.5451,0,0,0,0
107,-86.3159,-65.029,-1,0,0,0
109,-86.4465,-65.7025,0,0,0,0
111,-86.7105,-66.5334,0,0,0,0
113,-86.8438,-66.9149,1,0,0,0
115,-87.1804,-67.7159,0,0,0,0
117,-87.3164,-68.1176,0,0,0,0
119,-87.4533,-68.7733,-1,0,0,0
121,-87.6602,-69.3908,-1,0,0,0
123,-87.9389,-70.0917,0,0,0,0
125,-88.0794,-70.5125,-1,0,0,0
127,-88.2915,-70.913,0,0,0,0
129,-88.4339,-71.6056,-1,0,0,0
131,-88.7214,-72.1349,0,0,0,0
133,-88.9389,-72.781,0,0,0,0
135,-89.1579,-73.1732,0,0,0,0
137,-89.3049,-73.532,0,0,0,0
139,-89.527,-74.3879,0,0,0,0
141,-89.676,-74.7741,-1,0,0,0
143,-89.9762,-75.4989,-1,0,0,0
145,-90.2793,-76.2773,0,0,0,0
147,-90.5087,-76.6957,0,0,0,0
149,-90.6626,-77.045,0,0,0,0
151,-90.8947,-77.7661,0,0,0,0
153,-91.0504,-78.0701,0,0,0,0
155,-91.2851,-78.3944,1,0,0,0
157,-91.5214,-78.9582,-1,0,0,0
159,-91.7593,-79.5757,0,0,0,0
161,-91.9986,-79.9083,0,0,0,0
