cnt,pos,speed,DTorque,STorque,Force,Dir
4505,28.98,-2.39,352.00,0,61.95,0
4506,28.98,-2.41,353.00,0,62.13,0
4507,28.98,-2.47,353.00,0,62.13,0
4508,28.99,-2.49,354.00,0,62.30,0
4509,28.99,-2.49,355.00,0,62.48,0
4510,28.99,-2.46,355.00,0,62.48,0
4511,28.99,-2.50,356.00,0,62.66,0
4512,29.00,-2.54,357.00,0,62.83,0
4513,29.00,-2.62,358.00,0,63.01,0
4514,29.00,-2.64,359.00,0,63.18,0
4515,29.00,-2.63,359.00,0,63.18,0
4516,29.01,-2.68,360.00,0,63.36,0
4517,29.01,-2.78,361.00,0,63.54,0
4518,29.01,-2.84,362.00,0,63.71,0
4519,29.02,-2.83,363.00,0,63.89,0
4520,29.02,-2.88,364.00,0,64.06,0
4521,29.02,-2.98,365.00,0,64.24,0
4522,29.02,-3.06,366.00,0,64.42,0
4523,29.03,-3.10,367.00,0,64.59,0
4524,29.03,-3.16,368.00,0,64.77,0
4525,29.03,-3.29,369.00,0,64.94,0
4526,29.04,-3.37,370.00,0,65.12,0
4527,29.04,-3.38,372.00,0,65.47,0
4528,29.04,-3.47,373.00,0,65.65,0
4529,29.05,-3.63,374.00,0,65.82,0
4530,29.05,-3.79,375.00,0,66.00,0
4531,29.06,-3.82,377.00,0,66.35,0
4532,29.06,-4.04,379.00,0,66.70,0
4533,29.06,-4.08,380.00,0,66.88,0
4534,29.07,-4.14,382.00,0,67.23,0
4535,29.07,-4.29,383.00,0,67.41,0
4536,29.08,-4.54,385.00,0,67.76,0
4537,29.08,-4.60,387.00,0,68.29,0
4538,29.09,-4.81,390.00,0,68.64,0
4539,29.09,-4.94,392.00,0,68.99,0
4540,29.10,-5.20,394.00,0,69.34,0
4541,29.11,-5.27,396.00,0,69.70,-1
4542,29.11,-5.50,398.00,0,70.05,-1
4543,29.12,-5.50,400.00,0,70.40,-1
4544,29.12,-5.71,402.00,0,70.75,-1
4545,29.13,-5.92,404.00,0,71.10,-1
4546,29.14,-6.09,406.00,0,71.46,-1
4547,29.14,-6.06,408.00,0,72.16,-1
4548,29.15,-6.20,412.00,0,72.51,-1
4549,29.16,-6.58,414.00,0,72.86,-1
4550,29.17,-6.57,416.00,0,73.22,-1
4551,29.17,-6.73,418.00,0,73.57,-1
4552,29.18,-6.86,420.00,0,73.92,-1
4553,29.19,-6.99,422.00,0,74.27,-1
4554,29.19,-6.86,424.00,0,74.62,-1
4555,29.20,-7.05,426.00,0,74.98,-1
4556,29.21,-7.09,428.00,0,75.33,-1
4557,29.22,-7.03,429.00,0,75.50,-1
4558,29.22,-7.07,430.00,0,75.68,-1
4559,29.23,-7.18,432.00,0,76.03,-1
4560,29.24,-7.18,433.00,0,76.21,-1
4561,29.24,-6.99,434.00,0,76.38,-1
4562,29.25,-7.06,435.00,0,76.56,-1
4563,29.26,-6.94,436.00,0,76.74,-1
4564,29.27,-6.82,436.00,0,76.74,-1
4565,29.27,-6.71,437.00,0,76.91,-1
