cnt,pos,speed,DTorque,STorque,Force,Dir
4864,47.02,0.53,62.00,0,10.91,0
4865,47.02,0.53,62.00,0,10.91,0
4866,47.02,0.52,62.00,0,10.91,0
4867,47.02,0.51,62.00,0,10.91,0
4868,47.02,0.48,62.00,0,10.91,0
4869,47.02,0.47,62.00,0,10.91,0
4870,47.02,0.45,62.00,0,10.91,0
4871,47.02,0.44,62.00,0,10.91,0
4872,47.02,0.42,62.00,0,10.91,0
4873,47.02,0.40,62.00,0,10.91,0
4874,47.02,0.38,63.00,0,11.09,0
4875,47.02,0.35,63.00,0,11.09,0
4876,47.02,0.35,62.00,0,10.91,0
4877,47.02,0.32,63.00,0,11.09,0
4878,47.02,0.30,63.00,0,11.09,0
4879,47.02,0.28,63.00,0,11.09,0
4880,47.02,0.26,63.00,0,11.09,0
4881,47.02,0.24,63.00,0,11.09,0
4882,47.02,0.23,63.00,0,11.09,0
4883,47.02,0.20,63.00,0,11.09,0
4884,47.02,0.17,63.00,0,11.09,0
4885,47.02,0.16,63.00,0,11.09,0
4886,47.02,0.10,63.00,0,11.09,0
4887,47.02,0.08,64.00,0,11.26,0
4888,47.02,0.06,64.00,0,11.26,0
4889,47.02,0.06,64.00,0,11.26,0
4890,47.02,0.03,64.00,0,11.26,-1
4891,47.02,0.02,64.00,0,11.26,-1
4892,47.02,0.02,64.00,0,11.26,-1
4893,47.02,0.02,64.00,0,11.26,-1
4894,47.02,0.02,64.00,0,11.26,-1
4895,47.02,-0.00,64.00,0,11.26,-1
4896,47.02,-0.00,64.00,0,11.26,-1
4897,47.02,0.00,64.00,0,11.26,-1
4898,47.02,0.00,64.00,0,11.26,-1
4899,47.02,-0.01,65.00,0,11.44,-1
4900,47.02,-0.01,65.00,0,11.44,-1
4901,47.02,0.00,64.00,0,11.26,-1
4902,47.02,0.00,64.00,0,11.26,-1
4903,47.02,-0.01,64.00,0,11.26,-1
4904,47.02,-0.01,64.00,0,11.26,-1
4905,47.02,0.00,64.00,0,11.26,-1
4906,47.02,-0.01,64.00,0,11.26,-1
4907,47.02,-0.02,64.00,0,11.26,-1
4908,47.02,-0.02,63.00,0,11.09,-1
4909,47.02,-0.02,63.00,0,11.09,-1
4910,47.02,-0.02,63.00,0,11.09,-1
4911,47.02,-0.03,63.00,0,11.09,-1
4912,47.02,-0.02,62.00,0,10.91,-1
4913,47.02,-0.02,62.00,0,10.91,-1
4914,47.02,-0.02,61.00,0,10.74,-1
4915,47.02,-0.03,61.00,0,10.74,-1
4916,47.02,-0.04,60.00,0,10.56,-1
4917,47.02,-0.06,60.00,0,10.56,-1
4918,47.02,-0.07,60.00,0,10.56,-1
4919,47.02,-0.07,59.00,0,10.38,-1
4920,47.02,-0.06,59.00,0,10.38,-1
4921,47.02,-0.06,58.00,0,10.21,-1
4922,47.02,-0.07,57.00,0,10.03,-1
4923,47.02,-0.10,56.00,0,9.86,-1
4924,47.02,-0.11,55.00,0,9.68,-1
4925,47.02,-0.12,55.00,0,9.68,-1
4926,47.02,-0.15,54.00,0,9.50,-1
4927,47.02,-0.15,53.00,0,9.33,-1
4928,47.02,-0.15,53.00,0,9.33,-1
4929,47.02,-0.16,52.00,0,9.15,-1
4930,47.02,-0.18,51.00,0,8.98,-1
4931,47.02,-0.20,50.00,0,8.80,-1
4932,47.02,-0.22,48.00,0,8.45,-1
4933,47.02,-0.23,47.00,0,8.27,-1
4934,47.02,-0.25,46.00,0,8.10,-1
4935,47.02,-0.28,45.00,0,7.92,-1
4936,47.02,-0.32,44.00,0,7.74,-1
4937,47.02,-0.35,43.00,0,7.57,-1
4938,47.02,-0.41,42.00,0,7.39,-1
4939,47.02,-0.48,41.00,0,7.22,-1
4940,47.02,-0.53,40.00,0,7.04,-1
4941,47.02,-0.61,39.00,0,6.86,-1
4942,47.02,-0.68,38.00,0,6.69,-1
4943,47.02,-0.76,37.00,0,6.34,-1
4944,47.03,-0.95,35.00,0,6.16,-1
4945,47.03,-1.08,34.00,0,5.98,-1
4946,47.03,-1.25,33.00,0,5.81,-1
4947,47.03,-1.43,32.00,0,5.63,-1
4948,47.03,-1.66,31.00,0,5.46,-1
4949,47.03,-1.86,30.00,0,5.28,-1
4950,47.04,-2.08,30.00,0,5.28,-1
4951,47.04,-2.43,29.00,0,5.10,-1
4952,47.04,-2.80,29.00,0,5.10,-1
4953,47.04,-3.15,28.00,0,4.93,-1
4954,47.05,-3.49,28.00,0,4.93,-1
4955,47.05,-3.97,28.00,0,4.93,-1
4956,47.06,-4.57,28.00,0,4.93,-1
4957,47.06,-5.04,28.00,0,4.93,-1
4958,47.07,-5.70,30.00,0,5.28,-1
4959,47.08,-6.84,31.00,0,5.46,-1
4960,47.09,-7.56,32.00,0,5.63,-1
4961,47.10,-8.29,33.00,0,5.81,-1
