cnt,pos,speed,DTorque,DAC,STorque,Force
1,118.191,-7.1201,0,0,-10.3,0
2,118.331,-9.4935,0,0,-10.8,0
3,118.39,-10.2219,0,0,-10.8,0
4,118.442,-10.7285,0,0,-9.6,0
5,118.464,-11.0313,0,0,-9.6,0
6,118.509,-11.4795,0,0,-9.6,0
7,118.544,-11.8192,0,0,-9.6,0
8,118.579,-12.2615,0,0,-9.6,0
9,118.617,-12.4904,0,0,-9.6,0
10,118.668,-12.9302,0,0,-8.9,0
11,118.694,-13.1078,0,0,-8.9,0
12,118.747,-13.6633,0,0,-8.9,0
13,118.789,-13.9995,0,0,-8.9,0
14,118.831,-14.1557,0,0,-8.9,0
15,118.86,-14.4894,0,0,-8.9,0
16,118.918,-14.7624,0,0,-8.9,0
17,118.948,-15.1165,0,0,-9,0
18,119.009,-15.4288,0,0,-9,0
19,119.055,-15.8031,0,0,-9,0
20,119.119,-16.1535,0,0,-9,0
21,119.152,-16.2883,0,0,-9,0
22,119.218,-16.715,0,0,-9,0
23,119.252,-17.0106,0,0,-9,0
24,119.303,-17.249,0,0,-9,0
25,119.355,-17.4672,0,0,-9,0
26,119.426,-17.8105,-1,0,-9,0
27,119.462,-18.0155,0,0,-9,0
28,119.516,-18.3136,0,0,-9,0
29,119.572,-18.6008,-1,0,-9,0
30,119.628,-18.8035,0,0,-9.2,0
31,119.684,-18.906,0,0,-9.2,0
32,119.76,-19.2255,-1,0,-9.2,0
33,119.799,-19.3602,-1,0,-9.2,0
34,119.838,-19.4734,0,0,-9.2,0
35,119.877,-19.6904,0,0,-9.2,0
36,119.976,-19.9574,0,0,-9.2,0
37,120.017,-20.191,0,0,-9.2,0
38,120.077,-20.3114,-1,0,-9.2,0
39,120.118,-20.5546,0,0,-9.2,0
40,120.201,-20.8824,0,0,-9.2,0
41,120.264,-21.0922,0,0,-9.2,0
42,120.349,-21.3402,0,0,-9.2,0
43,120.392,-21.5667,0,0,-8.9,0
44,120.456,-21.7455,0,0,-8.9,0
45,120.5,-21.9267,1,0,-8.9,0
46,120.61,-22.3034,0,0,-8.9,0
47,120.655,-22.3212,1,0,-8.9,0
48,120.745,-22.6896,-1,0,-8.9,0
49,120.79,-22.7134,0,0,-8.9,0
50,120.858,-22.8362,0,0,-8.8,0
51,120.927,-23.0246,0,0,-8.8,0
52,121.02,-23.3559,1,0,-8.8,0
53,121.067,-23.443,-1,0,-8.8,0
54,121.137,-23.5634,0,0,-8.8,0
55,121.184,-23.6361,0,0,-8.8,0
56,121.256,-23.9639,0,0,-8.8,0
57,121.328,-24.0628,1,0,-8.9,0
58,121.4,-24.3597,-1,0,-8.9,0
59,121.449,-24.5122,0,0,-8.9,0
60,121.548,-24.7828,0,0,-8.9,0
61,121.597,-24.9271,0,0,-8.9,0
62,121.697,-25.1178,0,0,-8.9,0
63,121.773,-25.3038,-1,0,-8.8,0
64,121.875,-25.4206,0,0,-8.8,0
65,121.926,-25.5362,-1,0,-8.8,0
66,122.028,-25.7103,0,0,-8.8,0
67,122.08,-25.8617,-1,0,-8.8,0
68,122.158,-25.9677,0,0,-8.8,0
69,122.236,-26.1334,0,0,-8.8,0
70,122.341,-26.3921,0,0,-8.8,0
71,122.394,-26.5805,0,0,-8.8,0
72,122.5,-26.8153,1,0,-8.8,0
73,122.581,-26.8987,0,0,-8.8,0
74,122.662,-27.1026,0,0,-8.8,0
75,122.716,-27.2301,0,0,-8.8,0
76,122.825,-27.3434,1,0,-8.8,0
77,122.907,-27.4125,-1,0,-8.7,0
78,122.962,-27.4983,1,0,-8.7,0
79,123.045,-27.5937,0,0,-8.7,0
80,123.156,-27.7749,0,0,-8.7,0
81,123.212,-27.9668,0,0,-8.7,0
82,123.324,-28.1039,0,0,-8.7,0
83,123.38,-28.1981,1,0,-8.7,0
84,123.465,-28.4317,-1,0,-8.6,0
85,123.551,-28.6296,0,0,-8.6,0
86,123.666,-28.8072,0,0,-8.6,0
87,123.723,-28.8799,-1,0,-8.6,0
88,123.81,-28.9991,-1,0,-8.6,0
89,123.868,-29.0552,-1,0,-8.6,0
90,123.984,-29.141,0,0,-8.5,0
91,124.101,-29.2495,-1,0,-8.5,0
92,124.218,-29.3699,0,0,-8.5,0
93,124.277,-29.4545,0,0,-8.5,0
94,124.336,-29.5833,0,0,-8.5,0
95,124.425,-29.6941,0,0,-8.5,0
96,124.604,-30.0589,0,0,-8.6,0
97,124.695,-30.1423,1,0,-8.6,0
