cnt,pos,speed,DTorque,DAC,STorque,Force
1,118.14,0.0894,75,0,-14.7,33
2,118.139,0.0644,75,0,-14.9,33
3,118.138,0.0608,75,0,-14.9,33
4,118.138,0.0608,75,0,-14.9,33
5,118.138,0.056,75,0,-14.9,33
6,118.138,0.0548,75,0,-14.9,33
7,118.138,0.0548,75,0,-14.9,33
8,118.138,0.0536,75,0,-15,33
9,118.138,0.0501,75,0,-15,33
10,118.137,0.0465,75,0,-15,33
11,118.137,0.0441,75,0,-15,33
12,118.137,0.0405,75,0,-15,33
13,118.137,0.0429,75,0,-15,33
14,118.137,0.0346,75,0,-15,33
15,118.137,0.0298,75,0,-15,33
16,118.137,0.0286,75,0,-15,33
17,118.137,0.0274,75,0,-15,33
18,118.137,0.0334,75,0,-15,33
19,118.137,0.0298,75,0,-15,33
20,118.137,0.0203,75,0,-15,33
21,118.137,0.0203,75,0,-15,33
22,118.137,0.0191,75,0,-15,33
23,118.137,0.0167,75,0,-15,33
24,118.136,0.0155,75,0,-15,33
25,118.136,0.0167,75,0,-15,33
26,118.136,0.0167,75,0,-15,33
27,118.136,0.0155,75,0,-15,33
28,118.136,0.0167,75,0,-15,33
29,118.136,0.0119,75,0,-15,33
30,118.136,0.0155,75,0,-15,33
31,118.136,0.0131,75,0,-15,33
32,118.136,0.0143,75,0,-15,33
33,118.136,0.0143,75,0,-15,33
34,118.136,0.0167,75,0,-15,33
35,118.136,0.0191,75,0,-15,33
36,118.136,0.0167,75,0,-15,33
37,118.136,0.0143,75,0,-15,33
38,118.136,0.0119,75,0,-15,33
39,118.136,0.0095,75,0,-15,33
40,118.136,0.0131,75,0,-15,33
41,118.136,0.0107,75,0,-15,33
42,118.136,0.0143,75,0,-15.1,33
43,118.136,0.0143,75,0,-15.1,33
44,118.136,0.0107,75,0,-15.1,33
45,118.136,0.0179,75,0,-15.1,33
46,118.136,0.0107,75,0,-15.1,33
47,118.136,0.0119,75,0,-15.1,33
48,118.136,0.0143,74,0,-15.1,33
49,118.136,0.0107,74,0,-15.1,33
50,118.136,0.0036,74,0,-15.1,33
51,118.136,0.0024,74,0,-15.1,33
52,118.136,0.0083,75,0,-15.1,33
53,118.136,0.0072,75,0,-15.1,33
54,118.136,0.0083,74,0,-15.1,33
55,118.136,0.0036,75,0,-15.1,33
56,118.136,0.006,75,0,-15.1,33
57,118.136,0.0036,75,0,-15.1,33
58,118.135,0.0036,74,0,-15.1,33
59,118.135,0.0024,75,0,-15.1,33
60,118.135,0.0024,74,0,-15.1,33
61,118.135,0.0036,74,0,-15.1,33
62,118.135,0.0024,74,0,-15.1,33
63,118.135,0,74,0,-15.1,33
64,118.135,-0.0024,75,0,-15.1,33
65,118.135,-0.0024,74,0,-15.1,33
66,118.135,0,74,0,-15.1,33
67,118.135,0.006,74,0,-15.1,33
68,118.135,0.006,74,0,-15,33
69,118.135,0.0095,74,0,-15,33
70,118.135,0.0048,74,0,-15,33
71,118.135,-0.0012,74,0,-15,33
72,118.135,0.0036,74,0,-15,33
73,118.135,0.0036,74,0,-15,33
74,118.135,0.0143,74,0,-15,33
75,118.135,0.0131,74,0,-15,33
76,118.135,0.0095,74,0,-15.1,33
77,118.135,0.0083,74,0,-15.1,33
78,118.135,0.006,74,0,-15.1,33
79,118.135,0.006,74,0,-15.1,33
80,118.135,0.0048,74,0,-15.1,33
81,118.135,0.006,74,0,-15.1,33
82,118.135,0.0072,74,0,-15.1,33
83,118.135,0.0036,74,0,-15.1,33
84,118.135,0.0048,74,0,-15.1,33
85,118.135,0.0048,74,0,-15.1,33
86,118.135,0.0083,74,0,-15.1,33
87,118.135,0.0024,74,0,-15.1,33
88,118.135,0.006,73,0,-15.1,32
89,118.135,0.0012,74,0,-15.1,33
90,118.135,0.0024,74,0,-15.1,33
91,118.135,0.0012,74,0,-15.1,33
92,118.135,0.006,74,0,-15.1,33
93,118.135,0.0083,74,0,-15,33
94,118.135,0.0048,73,0,-15,32
95,118.135,0.0024,73,0,-15,32
96,118.135,-0.0012,74,0,-15,33
97,118.135,0.006,74,0,-15,33
98,118.135,0.0107,73,0,-15,32
99,118.135,0.0083,73,0,-15,32
100,118.135,0.0131,73,0,-15,32
101,118.135,0.0179,73,0,-15,32
102,118.135,0.0238,73,0,-14.9,32
103,118.135,0.0322,73,0,-14.9,32
104,118.135,0.0322,73,0,-14.9,32
105,118.135,0.0381,73,0,-14.9,32
106,118.135,0.0393,72,0,-14.9,32
107,118.134,0.0453,72,0,-14.9,32
108,118.134,0.0477,72,0,-14.9,32
109,118.134,0.0489,72,0,-14.9,32
110,118.134,0.0501,72,0,-14.9,32
111,118.134,0.0489,71,0,-14.9,31
112,118.134,0.0489,72,0,-14.9,32
113,118.134,0.0453,71,0,-14.9,31
114,118.134,0.0358,71,0,-14.9,31
115,118.134,0.0238,71,0,-14.9,31
116,118.134,0.0167,71,0,-14.9,31
117,118.134,0.0119,71,0,-14.9,31
118,118.134,0.0095,71,0,-14.7,31
119,118.134,0.006,71,0,-14.7,31
120,118.133,0.0179,71,0,-14.7,31
121,118.133,0.0167,71,0,-14.7,31
122,118.133,0.0203,71,0,-14.7,31
123,118.133,0.0179,71,0,-14.7,31
124,118.133,0.0322,71,0,-14.7,31
125,118.133,0.0429,70,0,-14.7,31
126,118.133,0.0548,70,0,-14.7,31
127,118.133,0.0703,69,0,-14.4,31
128,118.133,0.0906,69,0,-14.4,31
129,118.132,0.124,68,0,-14.4,30
130,118.132,0.1585,68,0,-14.4,30
131,118.132,0.1883,67,0,-14.4,30
132,118.131,0.2479,65,0,-14.4,29
133,118.131,0.2873,64,0,-14.4,28
134,118.13,0.3362,63,0,-14.4,28
135,118.129,0.3779,61,0,-14.2,27
136,118.128,0.4566,59,0,-14.2,26
137,118.127,0.4911,58,0,-14.2,26
138,118.126,0.5138,57,0,-14.2,25
139,118.125,0.5579,55,0,-14.2,24
140,118.124,0.5615,53,0,-14.2,23
141,118.122,0.6056,51,0,-14.2,22
142,118.121,0.5925,50,0,-14.2,22
143,118.119,0.5853,49,0,-14.2,22
144,118.118,0.5495,47,0,-13.7,21
145,118.117,0.4661,46,0,-13.7,20
146,118.116,0.4148,45,0,-13.7,20
147,118.115,0.3457,45,0,-13.7,20
148,118.114,0.2646,45,0,-13.7,20
149,118.114,0.1609,45,0,-13.7,20
150,118.113,0.0823,45,0,-13.7,20
151,118.113,-0.0191,45,0,-13.7,20
152,118.113,-0.0644,45,0,-12.2,20
153,118.114,-0.0858,45,0,-12.2,20
154,118.114,-0.0799,45,0,-12.2,20
155,118.114,-0.0608,44,0,-12.2,19
156,118.114,-0.0441,43,0,-12.2,19
157,118.114,-0.0262,43,0,-12.2,19
158,118.114,-0.0226,42,0,-12.2,18
159,118.114,-0.0203,41,0,-12.2,18
160,118.114,-0.025,41,0,-12.2,18
161,118.114,-0.0346,40,0,-9.9,18
