cnt,pos,speed,DTorque,DAC,STorque,Force
1,-79.0262,-3.755,0,0,0,0
3,-79.0844,-5.0925,0,0,0,0
5,-79.132,-5.4787,0,0,0,0
7,-79.1713,-5.7707,0,0,0,0
9,-79.2009,-6.0723,0,0,0,0
11,-79.2259,-6.4729,0,0,0,0
13,-79.2521,-6.7149,0,0,0,0
15,-79.2863,-6.9247,0,0,0,0
17,-79.3074,-7.0522,0,0,0,0
19,-79.3361,-7.2274,0,0,0,0
21,-79.3652,-7.3431,0,0,0,0
23,-79.4022,-7.473,0,0,0,0
25,-79.4247,-7.4921,0,0,0,0
27,-79.4472,-7.4897,-1,0,0,0
29,-79.4695,-7.4027,0,0,0,0
31,-79.4991,-7.3574,-1,0,0,0
33,-79.5211,-7.2954,0,0,0,0
35,-79.5502,-7.2084,0,0,0,0
37,-79.5717,-7.1619,0,0,0,0
39,-79.5861,-7.1798,0,0,0,0
41,-79.6074,-7.0641,0,0,0,0
43,-79.6353,-6.8507,0,0,0,0
45,-79.6556,-6.6922,0,0,0,0
47,-79.682,-6.4514,0,0,0,0
49,-79.7012,-6.3918,0,0,0,0
51,-79.7263,-6.1498,0,0,0,0
53,-79.7446,-6.0294,0,0,0,0
55,-79.7684,-5.7552,0,0,0,0
57,-79.7855,-5.6337,0,0,0,0
59,-79.8073,-5.2009,0,0,0,0
61,-79.8374,-4.6776,0,0,0,0
63,-79.8644,-4.3319,0,0,0,0
65,-79.877,-4.1031,0,0,0,0
67,-79.8961,-3.5237,0,0,0,0
69,-79.9099,-3.2281,0,0,0,0
71,-79.9192,-2.9551,0,0,0,0
73,-79.9329,-2.4187,0,0,0,0
75,-79.9418,-1.9526,0,0,0,0
77,-79.9488,-1.4829,0,0,0,0
79,-79.9528,-1.1217,0,0,0,0
81,-79.9558,-0.757,0,0,0,0
83,-79.9577,-0.5293,0,0,0,0
85,-79.9588,0.0036,0,0,0,0
87,-79.9582,0.3242,0,0,0,0
89,-79.9559,0.3874,0,0,0,0
91,-79.9545,0.2587,0,0,0,0
93,-79.9536,0.0906,0,0,0,0
95,-79.9536,-0.0584,0,0,0,0
97,-79.9541,-0.1204,0,0,0,0
99,-79.9546,-0.0536,0,0,0,0
101,-79.9547,0.0322,0,0,0,0
103,-79.9544,0.0703,0,0,0,0
105,-79.9542,0.0572,0,0,0,0
107,-79.9541,-0.0179,0,0,0,0
109,-79.9542,-0.0298,0,0,0,0
111,-79.9543,0.0179,0,0,0,0
113,-79.9541,0.0215,0,0,0,0
115,-79.9541,-0.0036,0,0,0,0
117,-79.9541,-0.0167,0,0,0,0
119,-79.9542,-0.0024,0,0,0,0
121,-79.9542,0.0095,0,0,0,0
123,-79.9541,0.0095,0,0,0,0
125,-79.9541,0.0048,0,0,0,0
127,-79.9541,-0.0048,0,0,0,0
129,-79.9541,0,0,0,0,0
131,-79.9541,0.0012,0,0,0,0
