cnt,pos,speed,DTorque,Force
3939,79.0002,-0.0072,68,30
3940,79.0003,-0.0107,68,30
3941,79.0003,-0.0203,67,30
3942,79.0003,-0.0286,65,29
3943,79.0004,-0.0906,60,27
3944,79.0006,-0.2015,57,25
3945,79.0008,-0.2777,50,22
3946,79.0015,-0.4518,47,21
3947,79.0019,-0.5662,38,17
3948,79.0032,-0.6938,34,15
3949,79.004,-1.0061,29,13
3950,79.005,-1.1801,25,11
3951,79.0062,-1.4102,15,6
3952,79.0076,-1.6796,10,4
3953,79.0113,-2.0027,6,2
3954,79.0136,-2.6595,1,0
3955,79.0163,-3.0421,-2,0
3956,79.0193,-3.42,-5,-2
3957,79.0227,-3.8122,-7,-3
3958,79.0265,-4.1853,-7,-3
3959,79.0307,-4.568,-7,-3
3960,79.0353,-4.928,-5,-2
3961,79.0402,-5.2713,-3,-1
3962,79.0511,-5.8733,0,0
3963,79.0569,-6.2297,2,0
3964,79.0632,-6.4204,5,2
3965,79.0696,-6.6576,9,4
3966,79.2009,-6.1951,55,24
3967,79.2132,-6.1188,52,23
3968,79.2254,-6.0449,48,21
3969,79.2437,-6.1832,44,19
3970,79.2561,-6.3453,39,17
3971,79.2689,-6.6243,31,13
3972,79.2894,-7.2143,23,10
3973,79.304,-7.6065,17,7
3974,79.3195,-8.131,14,6
3975,79.336,-8.6066,13,5
3976,79.3535,-9.0799,15,6
3977,79.3718,-9.4351,19,8
3978,79.3908,-9.7343,23,10
3979,79.4104,-9.9322,29,13
3980,79.4304,-10.0216,32,14
3981,79.4504,-10.0204,39,17
3982,79.4704,-9.8917,45,20
3983,79.4901,-9.67,53,23
3984,79.4998,-9.5257,60,27
3985,79.5186,-9.1598,63,28
3986,79.5278,-8.9428,67,30
3987,79.5455,-8.553,67,30
3988,79.554,-8.3265,66,29
3989,79.5705,-7.9689,65,29
3990,79.5785,-7.8306,61,27
3991,79.594,-7.6518,59,26
3992,79.6244,-7.6065,48,21
3993,79.632,-7.6745,43,19
3994,79.6474,-7.796,40,18
3995,79.6552,-7.8533,34,15
3996,79.671,-8.1429,31,13
3997,79.6792,-8.2753,24,10
3998,79.6959,-8.4374,20,9
3999,79.7045,-8.8629,14,6
