cnt,pos,speed,DTorque,Force
3912,78.9999,-0.0012,59,26
3913,78.9999,-0.0012,59,26
3914,78.9999,-0.0048,59,26
3915,78.9999,-0.0072,57,25
3916,78.9999,-0.0453,55,24
3917,79,-0.0703,50,22
3918,79.0002,-0.1538,47,21
3919,79.0003,-0.2122,40,18
3920,79.0008,-0.3683,36,16
3921,79.0012,-0.4637,27,12
3922,79.0022,-0.7093,22,9
3923,79.0029,-0.8678,17,7
3924,79.0038,-1.0585,6,2
3925,79.0061,-1.2683,1,0
3926,79.0077,-1.5306,-4,-1
3927,79.0095,-1.8441,-9,-4
3928,79.0117,-2.1683,-11,-4
3929,79.0142,-2.5033,-13,-5
3930,79.017,-2.8073,-14,-6
3931,79.0202,-3.1864,-14,-6
3932,79.0237,-3.7955,-14,-6
3933,79.0275,-4.1114,-13,-5
3934,79.036,-4.3832,-9,-4
3935,79.0406,-4.6597,-6,-2
3936,79.0455,-4.8767,-3,-1
3937,79.0506,-5.0686,0,0
3938,79.1462,-4.537,33,14
3939,79.1599,-4.3796,34,15
3940,79.1686,-4.264,35,15
3941,79.1771,-4.0804,37,16
3942,79.1893,-3.9445,38,17
3943,79.1971,-3.8134,40,18
3944,79.2009,-3.6072,41,18
3945,79.2118,-3.445,42,18
3946,79.2185,-3.2281,43,19
3947,79.2249,-3.0421,43,19
3948,79.2309,-2.7954,41,18
3949,79.2392,-2.613,37,16
3950,79.2444,-2.5939,32,14
3951,79.2496,-2.5832,26,11
3952,79.2549,-2.7525,19,8
3953,79.2605,-2.9646,13,5
3954,79.2666,-3.2436,11,4
3955,79.2732,-3.5082,11,4
3956,79.2803,-3.6918,15,6
3957,79.2877,-3.7299,20,9
3958,79.2953,-3.7812,24,10
3959,79.2991,-3.7156,29,13
3960,79.3065,-3.5881,31,13
3961,79.3136,-3.4617,33,14
3962,79.3236,-3.1673,34,15
3963,79.3268,-3.0374,35,15
3964,79.3298,-2.9778,35,15
3965,79.3357,-2.9098,35,15
3966,79.3385,-2.7322,35,15
3967,79.3412,-2.7095,35,15
3968,79.3439,-2.6452,36,16
3969,79.3491,-2.52,36,16
3970,79.3516,-2.4819,36,16
3971,79.354,-2.402,36,16
3972,79.3564,-2.2637,37,16
3973,79.3587,-2.197,37,16
3974,79.3609,-2.1755,36,16
3975,79.3652,-2.1028,37,16
3976,79.3672,-2.0265,37,16
3977,79.3691,-1.9264,37,16
3978,79.371,-1.8727,37,16
3979,79.3728,-1.8358,36,16
3980,79.3746,-1.7583,36,16
3981,79.3763,-1.7106,36,16
3982,79.3779,-1.5795,36,16
3983,79.3794,-1.5354,35,15
3984,79.3809,-1.4984,35,15
3985,79.3824,-1.4603,35,15
3986,79.3838,-1.3399,35,15
3987,79.3851,-1.2803,35,15
3988,79.3864,-1.1932,35,15
3989,79.3876,-1.1658,34,15
3990,79.3887,-1.1134,34,15
3991,79.391,-1.0967,34,15
3992,79.392,-0.9906,34,15
3993,79.393,-0.9477,34,15
3994,79.3939,-0.9179,34,15
3995,79.3949,-0.875,34,15
3996,79.3957,-0.8178,33,14
3997,79.3965,-0.7736,33,14
3998,79.3973,-0.7486,33,14
3999,79.3981,-0.7057,33,14
4000,79.3988,-0.6723,33,14
4001,79.3994,-0.6437,33,14
4002,79.4001,-0.6103,33,14
4003,79.4007,-0.5686,32,14
4004,79.4013,-0.5245,32,14
4005,79.4018,-0.4899,32,14
4006,79.4023,-0.4589,32,14
4007,79.4027,-0.422,31,13
4008,79.4032,-0.391,31,13
4009,79.4036,-0.3636,31,13
4010,79.4039,-0.3326,30,13
4011,79.4043,-0.3052,30,13
4012,79.4046,-0.2777,30,13
4013,79.4048,-0.2563,30,13
4014,79.4051,-0.2325,30,13
4015,79.4053,-0.2086,29,13
4016,79.4055,-0.1872,29,13
4017,79.4057,-0.1681,29,13
4018,79.4059,-0.1562,28,12
4019,79.406,-0.1407,28,12
4020,79.4062,-0.1311,28,12
4021,79.4063,-0.124,28,12
4022,79.4065,-0.1121,28,12
4023,79.4067,-0.1097,27,12
4024,79.4068,-0.1121,28,12
4025,79.4069,-0.1061,27,12
4026,79.407,-0.1049,27,12
4027,79.4071,-0.0989,27,12
4028,79.4072,-0.1013,27,12
4029,79.4073,-0.1001,27,12
4030,79.4074,-0.1025,27,12
4031,79.4075,-0.1037,28,12
4032,79.4076,-0.1013,28,12
4033,79.4077,-0.1049,28,12
4034,79.4078,-0.1025,28,12
4035,79.4079,-0.1097,28,12
4036,79.408,-0.1085,28,12
4037,79.4081,-0.1085,28,12
4038,79.4082,-0.1144,28,12
4039,79.4084,-0.1192,28,12
4040,79.4085,-0.124,28,12
4041,79.4086,-0.1216,29,13
4042,79.4087,-0.1228,29,13
4043,79.4089,-0.1228,29,13
4044,79.409,-0.1216,29,13
4045,79.4091,-0.124,29,13
4046,79.4092,-0.1252,29,13
4047,79.4093,-0.1275,29,13
4048,79.4095,-0.1252,29,13
4049,79.4096,-0.1228,29,13
4050,79.4097,-0.1192,30,13
4051,79.41,-0.1097,30,13
4052,79.4102,-0.0834,30,13
4053,79.4104,-0.0811,30,13
4054,79.4105,-0.0608,29,13
4055,79.4106,-0.056,29,13
4056,79.4107,-0.0358,29,13
4057,79.4107,-0.0334,29,13
4058,79.4108,-0.0203,29,13
4059,79.4108,-0.0226,29,13
4060,79.4108,-0.0203,29,13
4061,79.4109,-0.0215,29,13
4062,79.4109,-0.0167,29,13
4063,79.4109,-0.0119,29,13
4064,79.4109,-0.0095,29,13
4065,79.4109,-0.0107,29,13
4066,79.4109,-0.0095,29,13
4067,79.411,-0.0119,29,13
4068,79.411,-0.0072,29,13
4069,79.411,-0.0083,29,13
4070,79.411,-0.0036,29,13
4071,79.411,-0.0072,29,13
4072,79.411,-0.0072,29,13
4073,79.411,-0.0048,29,13
4074,79.411,-0.0095,29,13
4075,79.411,-0.0119,29,13
4076,79.411,-0.0107,29,13
4077,79.411,-0.0131,29,13
4078,79.411,-0.0107,29,13
4079,79.4111,-0.0107,29,13
4080,79.4111,-0.0119,29,13
4081,79.4111,-0.0131,29,13
4082,79.4111,-0.0131,29,13
4083,79.4111,-0.0107,29,13
4084,79.4111,-0.0107,30,13
4085,79.4111,-0.0095,30,13
4086,79.4111,-0.0107,30,13
4087,79.4111,-0.0083,30,13
4088,79.4112,-0.0083,30,13
4089,79.4112,-0.0083,30,13
4090,79.4112,-0.0107,30,13
4091,79.4112,-0.0095,30,13
4092,79.4112,-0.0143,30,13
4093,79.4112,-0.0119,30,13
4094,79.4112,-0.0131,30,13
4095,79.4112,-0.0155,30,13
