cnt,pos,speed,DTorque,DAC,STorque,Force
1,-143.845,-0.1121,5,0,0,2
3,-143.847,-0.0179,4,0,0,1
5,-143.847,0.0095,4,0,0,1
7,-143.847,0.0238,3,0,0,1
9,-143.847,0.0119,3,0,0,1
11,-143.847,-0.006,3,0,0,1
13,-143.847,-0.0119,3,0,0,1
15,-143.847,-0.0131,3,0,0,1
17,-143.847,-0.006,3,0,0,1
19,-143.847,0.0012,2,0,0,0
21,-143.847,0.0131,2,0,0,0
23,-143.847,0.0095,2,0,0,0
25,-143.847,-0.0048,2,0,0,0
27,-143.847,-0.0143,2,0,0,0
29,-143.847,-0.025,2,0,0,0
31,-143.847,-0.0381,2,0,0,0
33,-143.847,-0.0429,2,0,0,0
35,-143.847,-0.0238,2,0,0,0
37,-143.847,-0.0048,2,0,0,0
39,-143.847,0.0048,2,0,0,0
41,-143.847,0.0036,1,0,0,0
43,-143.847,-0.0083,1,0,0,0
45,-143.847,-0.0155,1,0,0,0
47,-143.847,-0.0167,1,0,0,0
49,-143.847,-0.0191,1,0,0,0
51,-143.847,-0.0167,1,0,0,0
53,-143.847,-0.0191,1,0,0,0
55,-143.847,-0.0131,1,0,0,0
57,-143.847,-0.006,1,0,0,0
59,-143.847,-0.0012,1,0,0,0
61,-143.847,-0.0072,1,0,0,0
63,-143.847,-0.006,0,0,0,0
65,-143.847,-0.0095,1,0,0,0
67,-143.848,-0.0143,0,0,0,0
69,-143.848,-0.0215,1,0,0,0
71,-143.848,-0.0226,1,0,0,0
73,-143.848,-0.0238,1,0,0,0
75,-143.848,-0.0215,1,0,0,0
77,-143.848,-0.0226,1,0,0,0
79,-143.848,-0.0155,1,0,0,0
81,-143.848,-0.0167,0,0,0,0
83,-143.848,-0.0143,0,0,0,0
85,-143.848,-0.0119,0,0,0,0
87,-143.848,-0.0119,0,0,0,0
89,-143.848,-0.0131,0,0,0,0
91,-143.848,-0.0167,0,0,0,0
93,-143.848,-0.0167,0,0,0,0
95,-143.848,-0.0167,0,0,0,0
97,-143.848,-0.0143,0,0,0,0
99,-143.848,-0.0143,0,0,0,0
101,-143.848,-0.0131,-1,0,0,0
103,-143.848,-0.0155,0,0,0,0
105,-143.848,-0.0155,-1,0,0,0
107,-143.848,-0.0179,-1,0,0,0
109,-143.848,-0.025,0,0,0,0
111,-143.848,-0.0286,0,0,0,0
113,-143.849,-0.0298,0,0,0,0
115,-143.849,-0.0274,0,0,0,0
117,-143.849,-0.0167,0,0,0,0
119,-143.849,-0.0131,-1,0,0,0
121,-143.849,-0.0095,0,0,0,0
123,-143.849,-0.0083,0,0,0,0
125,-143.849,-0.0107,-1,0,0,0
127,-143.849,-0.0155,-1,0,0,0
129,-143.849,-0.0143,-1,0,0,0
131,-143.849,-0.0143,0,0,0,0
133,-143.849,-0.0119,0,0,0,0
135,-143.849,-0.0107,-1,0,0,0
137,-143.849,-0.0072,-1,0,0,0
139,-143.849,-0.0036,-1,0,0,0
141,-143.849,-0.0012,-1,0,0,0
143,-143.849,0,-1,0,0,0
145,-143.849,-0.0083,-1,0,0,0
147,-143.849,-0.0131,-1,0,0,0
149,-143.849,-0.0143,-1,0,0,0
151,-143.849,-0.0143,-1,0,0,0
153,-143.849,-0.0179,-1,0,0,0
