cnt,pos,speed,DTorque,sTorque,Force
3443,79.0045,-0.0024,72,0,32
3444,79.0045,-0.0036,71,0,31
3445,79.0046,-0.0238,68,0,30
3446,79.0046,-0.0668,63,0,28
3447,79.005,-0.2336,57,0,25
3448,79.0055,-0.4279,49,0,22
3449,79.0065,-0.7415,40,0,18
3450,79.0082,-1.1849,32,0,14
3451,79.0108,-1.7154,25,0,11
3452,79.0197,-3.097,7,0,3
3453,79.0263,-3.9242,5,0,2
3454,79.0302,-4.3069,5,0,2
3455,79.0392,-4.7015,6,0,2
3456,79.0444,-5.431,8,0,3
3457,79.0498,-5.7696,13,0,5
3458,79.0617,-6.3811,16,0,7
3459,79.0747,-6.6457,23,0,10
3460,79.0816,-7.0188,27,0,12
3461,79.0886,-7.1798,35,0,15
3462,79.1031,-7.3514,39,0,17
3463,79.1105,-7.3669,43,0,19
3464,79.1179,-7.479,48,0,21
3465,79.1254,-7.4909,57,0,25
3466,79.1403,-7.4301,61,0,27
3467,79.1477,-7.2632,64,0,28
3468,79.2766,-7.467,45,0,20
3469,79.2997,-8.2228,35,0,15
3470,79.3252,-9.0668,27,0,12
3471,79.3533,-10.0621,18,0,8
3472,79.3957,-11.47,14,0,6
3473,79.4191,-12.5297,18,0,8
3474,79.4697,-13.2914,25,0,11
3475,79.5101,-13.7516,38,0,17
3476,79.5517,-13.8958,45,0,20
3477,79.5935,-13.9149,56,0,25
3478,79.6351,-13.7349,68,0,30
3479,79.6759,-13.3463,73,0,32
3480,79.7024,-13.0983,70,0,31
3481,79.7413,-12.9016,66,0,29
3482,79.8195,-13.413,51,0,22
3483,79.8464,-13.7086,47,0,21
3484,79.8601,-13.9029,42,0,18
3485,79.888,-14.3452,36,0,16
3486,79.9169,-14.8375,31,0,13
3487,79.9468,-15.0461,28,0,12
3488,79.9622,-15.6529,21,0,9
3489,79.9938,-16.3526,18,0,8
3490,80.0269,-16.6769,13,0,5
3491,80.0439,-17.4469,12,0,5
3492,80.0792,-17.8057,12,0,5
3493,80.0973,-18.5186,13,0,5
3494,80.1347,-18.8595,17,0,7
3495,80.1538,-19.4162,20,0,9
3496,80.1732,-19.6653,27,0,12
3497,80.2128,-19.8585,30,0,13
3498,80.2328,-20.1755,38,0,17
3499,80.2733,-20.315,42,0,18
3500,80.2937,-20.3853,46,0,20
3501,80.3141,-20.3889,50,0,22
3502,80.3345,-20.433,58,0,26
3503,80.3549,-20.3102,63,0,28
3504,80.3954,-20.2089,67,0,30
3505,80.4156,-19.9264,70,0,31
3506,80.4355,-19.8108,76,0,34
3507,80.475,-19.651,80,0,36
3508,80.4944,-19.2445,82,0,36
3509,80.5137,-19.0228,86,0,38
3510,80.5515,-18.608,86,0,38
3511,80.5701,-18.3982,83,0,37
3512,80.6609,-17.8892,74,0,33
3513,80.6788,-17.8951,69,0,31
3514,80.7146,-17.8665,66,0,29
3515,80.7324,-17.9118,60,0,27
3516,80.7683,-18,57,0,25
3517,80.7865,-18.2563,54,0,24
3518,80.8047,-18.4232,48,0,21
3519,80.8417,-18.7594,45,0,20
3520,80.8605,-18.9799,40,0,18
3521,80.8986,-19.1516,37,0,16
3522,80.918,-19.6832,30,0,13
3523,80.9577,-20.0051,27,0,12
3524,80.978,-20.5749,23,0,10
3525,80.9986,-20.9623,17,0,7
3526,81.0195,-21.3152,14,0,6
3527,81.0626,-21.7169,11,0,4
3528,81.0847,-22.5608,9,0,4
3529,81.1073,-23.0126,7,0,3
3530,81.1537,-23.4644,7,0,3
3531,81.1775,-24.2357,9,0,4
3532,81.2263,-24.5456,14,0,6
3533,81.2513,-25.1726,20,0,9
3534,81.3019,-25.4754,23,0,10
3535,81.3276,-25.9105,26,0,11
3536,81.3535,-26.0667,34,0,15
3537,81.4058,-26.1966,38,0,17
3538,81.4321,-26.3909,42,0,18
3539,81.4585,-26.4994,45,0,20
3540,81.485,-26.4684,53,0,23
3541,81.5379,-26.4756,58,0,26
3542,81.6171,-26.2264,75,0,33
3543,81.6694,-25.8879,80,0,36
3544,81.6953,-25.7067,85,0,38
3545,81.7465,-25.2561,84,0,37
3546,81.7969,-25.1715,82,0,36
3547,81.8219,-24.9688,81,0,36
3548,81.8468,-24.79,79,0,35
3549,81.8964,-24.6362,78,0,35
3550,81.921,-24.6446,76,0,34
3551,81.9703,-24.6458,71,0,31
3552,81.995,-24.734,66,0,29
3553,82.0445,-24.7971,64,0,28
3554,82.0695,-24.9712,59,0,26
3555,82.1196,-25.1881,56,0,25
3556,82.1449,-25.5589,53,0,23
3557,82.1963,-25.7699,49,0,22
3558,82.2223,-26.2157,47,0,21
3559,82.2485,-26.4434,41,0,18
3560,82.3017,-26.7581,38,0,17
3561,82.3287,-27.3672,33,0,14
3562,82.3838,-27.7129,30,0,13
3563,82.4118,-28.3793,27,0,12
3564,82.4402,-28.8275,19,0,8
3565,82.4983,-29.2161,16,0,7
3566,82.5279,-30.1006,15,0,6
3567,82.5886,-30.5464,15,0,6
3568,82.6195,-31.3701,15,0,6
3569,82.6509,-31.7981,19,0,8
3570,82.7149,-32.1641,22,0,9
3571,82.7473,-32.7875,25,0,11
3572,82.8464,-33.5445,37,0,16
3573,82.9136,-33.6458,41,0,18
3574,82.9474,-33.8222,45,0,20
3575,82.9814,-34.0439,49,0,22
3576,83.0495,-34.1154,58,0,26
3577,83.0836,-34.119,65,0,29
3578,83.1519,-34.1154,69,0,31
3579,83.1859,-33.9974,78,0,35
3580,83.2538,-33.8699,82,0,36
3581,83.3212,-33.6792,83,0,37
3582,83.3547,-33.4753,84,0,37
3583,83.3881,-33.3251,84,0,37
3584,83.4547,-33.2584,80,0,36
3585,83.488,-33.2369,78,0,35
3586,83.5212,-33.318,75,0,33
3587,83.5879,-33.3227,74,0,33
3588,83.6213,-33.5194,70,0,31
3589,83.6884,-33.6374,69,0,31
3590,83.7222,-33.8425,67,0,30
3591,83.7901,-34.0809,61,0,27
3592,83.8243,-34.5327,58,0,26
3593,83.8588,-34.7353,55,0,24
3594,83.9286,-35.0119,53,0,23
3595,83.9638,-35.5709,51,0,22
3596,83.9994,-35.9083,47,0,21
3597,84.0714,-36.1717,45,0,20
3598,84.1079,-36.8655,43,0,19
3599,84.1448,-37.2088,39,0,17
3600,84.2196,-37.8478,39,0,17
3601,84.2957,-38.2364,38,0,17
3602,84.4124,-39.556,39,0,17
3603,84.4519,-39.8838,38,0,17
3604,84.5321,-40.251,41,0,18
3605,84.5725,-40.7349,43,0,19
3606,84.6132,-40.9912,45,0,20
3607,84.6955,-41.2356,52,0,23
3608,84.7369,-41.4823,55,0,24
3609,84.7784,-41.6814,60,0,27
3610,84.9037,-41.8245,67,0,30
3611,84.9455,-41.9687,68,0,30
3612,85.0295,-42.0069,68,0,30
3613,85.0716,-42.0522,67,0,30
3614,85.1558,-42.231,61,0,27
3615,85.1982,-42.3311,59,0,26
3616,85.2407,-42.6541,58,0,26
3617,85.3261,-42.8234,54,0,24
3618,85.3692,-43.0714,54,0,24
3619,85.4125,-43.5148,52,0,23
3620,85.4999,-43.8307,51,0,22
3621,85.5439,-44.3409,55,0,24
3622,85.6329,-44.8559,57,0,25
3623,85.6777,-45.1122,59,0,26
3624,85.7682,-45.3041,60,0,27
3625,85.8137,-45.8226,62,0,27
3626,85.9054,-45.9573,64,0,28
3627,85.9516,-46.3626,66,0,29
3628,86.0444,-46.4663,68,0,30
3629,86.091,-46.7,69,0,31
3630,86.1846,-46.905,69,0,31
3631,86.2317,-47.1279,71,0,31
3632,86.4211,-47.6965,75,0,33
3633,86.5167,-47.8646,76,0,34
3634,86.5647,-48.1316,78,0,35
3635,86.6128,-48.2663,81,0,36
3636,86.7094,-48.3355,83,0,37
3637,86.7578,-48.4642,83,0,37
3638,86.8549,-48.624,84,0,37
3639,86.9036,-48.7348,86,0,38
3640,86.9524,-48.7777,87,0,39
3641,87.0988,-48.8791,88,0,39
3642,87.1966,-48.9756,89,0,40
3643,87.2946,-49.0209,89,0,40
3644,87.3437,-49.1115,90,0,40
3645,87.3928,-49.1044,90,0,40
3646,87.4911,-49.195,89,0,40
3647,87.5404,-49.2772,90,0,40
3648,87.5897,-49.3297,92,0,41
3649,87.6884,-49.3773,92,0,41
3650,87.7378,-49.3523,93,0,41
3651,87.8365,-49.394,91,0,40
3652,87.886,-49.3988,92,0,41
3653,87.9848,-49.4083,93,0,41
3654,88.0836,-49.3821,92,0,41
3655,88.1329,-49.4334,90,0,40
3656,88.2318,-49.4346,92,0,41
3657,88.2813,-49.5383,92,0,41
3658,88.3804,-49.5657,94,0,42
3659,88.43,-49.6444,94,0,42
3660,88.4797,-49.667,93,0,41
3661,88.6787,-49.8732,97,0,43
3662,88.7784,-49.8387,98,0,44
3663,88.8781,-49.841,98,0,44
3664,88.9778,-49.8482,98,0,44
3665,89.0276,-49.8852,100,0,45
3666,89.1274,-49.8637,98,0,44
3667,89.1773,-49.971,98,0,44
3668,89.2772,-49.971,100,0,45
3669,89.3272,-49.9948,101,0,45
3670,89.3773,-50.0294,103,0,46
3671,89.4772,-49.9674,101,0,45
3672,89.5775,-50.083,104,0,46
3673,89.6776,-50.0747,104,0,46
3674,89.7277,-49.9364,104,0,46
3675,89.8276,-49.9674,102,0,45
3676,89.8776,-49.9364,103,0,46
3677,89.9276,-49.9078,103,0,46
3678,90.0274,-49.9066,104,0,46
3679,90.0773,-49.8339,104,0,46
3680,90.177,-49.9078,101,0,45
3681,90.2269,-49.8828,103,0,46
3682,90.2768,-49.841,104,0,46
3683,90.3767,-49.9877,105,0,47
3684,90.4266,-49.9567,103,0,46
3685,90.5265,-49.9424,103,0,46
3686,90.5764,-49.9221,105,0,47
3687,90.6762,-49.8649,104,0,46
3688,90.7261,-49.8947,105,0,47
3689,90.7759,-49.8649,102,0,45
3690,90.8756,-49.8601,103,0,46
3691,91.025,-49.8625,103,0,46
3692,91.0749,-49.7409,102,0,45
3693,91.1745,-49.8267,101,0,45
3694,91.2244,-49.872,103,0,46
3695,91.3242,-49.9412,105,0,47
3696,91.4241,-49.965,105,0,47
3697,91.474,-50.0199,103,0,46
3698,91.5739,-49.9448,106,0,47
3699,91.6239,-49.9889,106,0,47
3700,91.6738,-49.9507,106,0,47
3701,91.7737,-49.8983,105,0,47
3702,91.8735,-49.8959,104,0,46
3703,91.9234,-49.9281,105,0,47
3704,92.0232,-49.8673,105,0,47
3705,92.0731,-49.8327,103,0,46
3706,92.1728,-49.9507,104,0,46
3707,92.2728,-49.9924,106,0,47
3708,92.3228,-49.9829,106,0,47
3709,92.3728,-49.965,107,0,48
3710,92.4726,-49.8959,105,0,47
3711,92.5226,-49.8863,105,0,47
3712,92.5725,-49.9293,106,0,47
3713,92.6724,-49.9269,106,0,47
3714,92.7223,-49.8518,107,0,48
3715,92.8219,-49.8828,103,0,46
3716,92.8718,-49.7862,103,0,46
3717,92.9715,-49.841,105,0,47
3718,93.0711,-49.8434,106,0,47
3719,93.121,-49.9305,104,0,46
3720,93.2209,-49.9781,105,0,47
3721,93.2709,-49.9829,106,0,47
3722,93.421,-49.9376,108,0,48
3723,93.521,-50.0675,105,0,47
3724,93.571,-50.0818,107,0,48
3725,93.6712,-50.0449,108,0,48
3726,93.7212,-50.0556,109,0,49
3727,93.8211,-50.0151,105,0,47
3728,93.9212,-50.033,108,0,48
3729,93.9712,-50.0723,108,0,48
3730,94.0713,-50.0473,110,0,49
3731,94.1214,-50.089,109,0,49
3732,94.2217,-50.1975,110,0,49
3733,94.2718,-50.2189,112,0,50
3734,94.3722,-50.1522,113,0,50
3735,94.4223,-50.0914,113,0,50
3736,94.5225,-50.1403,110,0,49
3737,94.5726,-50.0735,112,0,50
3738,94.6728,-50.0389,112,0,50
3739,94.7228,-49.9912,113,0,50
3740,94.8228,-49.9614,109,0,49
3741,94.8728,-50.0532,112,0,50
3742,94.9728,-49.9543,112,0,50
3743,95.0228,-49.9591,112,0,50
3744,95.0727,-50.0234,112,0,50
3745,95.1728,-50.1021,111,0,49
3746,95.2229,-50.0604,114,0,51
3747,95.323,-50.0222,114,0,51
3748,95.3731,-49.9722,114,0,51
3749,95.473,-50.0008,111,0,49
3750,95.573,-49.9817,113,0,50
3751,95.7726,-49.8756,112,0,50
3752,95.8724,-49.94,111,0,49
3753,95.9223,-49.9662,112,0,50
3754,96.0223,-49.9555,113,0,50
3755,96.0722,-49.9746,114,0,51
3756,96.1721,-49.9722,111,0,49
3757,96.2221,-49.9674,112,0,50
3758,96.3718,-49.8601,113,0,50
3759,96.4217,-49.8208,113,0,50
3760,96.5214,-49.8697,110,0,49
3761,96.5712,-49.8482,111,0,49
3762,96.6709,-49.8172,111,0,49
3763,96.7207,-49.8065,111,0,49
3764,96.7704,-49.7731,108,0,48
3765,96.87,-49.8077,109,0,49
3766,96.9199,-49.8315,110,0,49
3767,97.0196,-49.878,111,0,49
3768,97.0694,-49.8518,109,0,49
3769,97.1691,-49.8744,109,0,49
3770,97.2688,-49.8673,110,0,49
3771,97.3186,-49.9424,111,0,49
3772,97.4185,-49.8768,110,0,49
3773,97.4683,-49.8732,108,0,48
3774,97.5182,-49.9591,110,0,49
3775,97.6182,-50.0032,110,0,49
3776,97.6681,-50.0056,111,0,49
3777,97.7681,-49.9448,111,0,49
3778,97.8181,-50.0532,110,0,49
3779,97.8682,-50.0663,112,0,50
3780,97.9683,-50.0616,112,0,50
3781,98.0683,-50.0032,114,0,51
3782,98.1183,-49.9686,112,0,50
3783,98.2184,-50.0747,112,0,50
3784,98.2684,-50.0461,113,0,50
3785,98.3685,-50.0199,113,0,50
3786,98.4185,-49.9126,114,0,51
3787,98.4684,-50.0306,110,0,49
3788,98.5185,-49.9567,112,0,50
3789,98.6185,-50.0544,113,0,50
3790,98.6685,-50.0771,112,0,50
3791,98.7186,-50.0032,113,0,50
3792,98.8186,-49.9972,111,0,49
3793,98.9186,-50.0199,113,0,50
3794,99.0186,-50.0115,114,0,51
3795,99.0686,-49.9436,114,0,51
3796,99.1185,-49.9495,110,0,49
3797,99.2184,-49.9686,112,0,50
3798,99.2684,-49.9448,112,0,50
3799,99.3683,-49.9555,113,0,50
3800,99.4182,-49.9424,110,0,49
3801,99.5181,-49.9734,110,0,49
3802,99.6181,-49.9889,113,0,50
3803,99.6681,-49.9912,113,0,50
3804,99.7181,-49.9531,112,0,50
3805,99.818,-49.9483,110,0,49
3806,99.868,-49.9936,112,0,50
3807,99.968,-49.9877,112,0,50
3808,100.018,-49.9269,113,0,50
3809,100.118,-49.9364,111,0,49
3810,100.168,-50.0508,110,0,49
3811,100.318,-50.0401,113,0,50
3812,100.368,-50.0294,114,0,51
3813,100.468,-50.1009,112,0,50
3814,100.568,-50.1033,114,0,51
3815,100.618,-50.1021,115,0,51
3816,100.718,-50.1414,116,0,52
3817,100.769,-50.083,116,0,52
3818,100.819,-50.1236,114,0,51
3819,100.919,-50.1176,116,0,52
3820,100.969,-50.0842,117,0,52
3821,101.019,-50.033,117,0,52
3822,101.119,-50.0878,116,0,52
3823,101.169,-50.1081,115,0,51
3824,101.32,-50.1176,117,0,52
3825,101.37,-50.0747,118,0,53
3826,101.47,-50.1128,116,0,52
3827,101.52,-50.2285,116,0,52
3828,101.57,-50.1844,119,0,53
3829,101.62,-50.2154,120,0,54
3830,101.721,-50.0687,121,0,54
3831,101.771,-50.0365,117,0,52
3832,101.871,-50.0652,117,0,52
3833,101.921,-49.9901,118,0,53
3834,102.021,-49.9924,118,0,53
3835,102.071,-49.8685,116,0,52
3836,102.171,-49.9138,115,0,51
3837,102.271,-50.0067,117,0,52
3838,102.321,-50.0032,119,0,53
3839,102.421,-49.9662,119,0,53
3840,102.471,-49.9674,117,0,52
3841,102.671,-49.9591,118,0,53
3842,102.721,-49.9531,119,0,53
3843,102.771,-49.8661,115,0,51
3844,102.87,-49.8768,116,0,52
3845,102.97,-49.8291,116,0,52
3846,103.07,-49.7588,117,0,52
3847,103.119,-49.9018,115,0,51
3848,103.169,-49.915,115,0,51
3849,103.269,-49.9746,117,0,52
3850,103.319,-50.0389,117,0,52
3851,103.419,-50.0032,119,0,53
3852,103.469,-50.0067,117,0,52
3853,103.519,-50.1033,119,0,53
3854,103.619,-50.0652,119,0,53
3855,103.67,-50.033,119,0,53
3856,103.77,-49.9066,119,0,53
3857,103.819,-49.934,116,0,52
3858,103.919,-49.9305,117,0,52
3859,104.019,-49.9316,118,0,53
3860,104.069,-49.9114,118,0,53
3861,104.119,-49.9185,117,0,52
3862,104.169,-50.0687,117,0,52
3863,104.269,-50.0079,118,0,53
3864,104.319,-50.033,119,0,53
3865,104.419,-50.1558,121,0,54
3866,104.469,-50.0854,119,0,53
3867,104.52,-50.1569,122,0,54
3868,104.62,-50.1355,122,0,54
3869,104.67,-50.0652,122,0,54
3870,104.77,-49.9591,121,0,54
3871,104.92,-49.9066,120,0,54
3872,104.97,-49.9531,120,0,54
3873,105.07,-49.9018,120,0,54
3874,105.12,-49.9257,119,0,53
3875,105.17,-50.0222,119,0,53
3876,105.27,-50.0604,121,0,54
3877,105.32,-50.0759,122,0,54
3878,105.42,-50.064,123,0,55
3879,105.52,-50.0735,120,0,54
3880,105.57,-50.021,122,0,54
3881,105.67,-50.0342,122,0,54
3882,105.72,-49.9245,122,0,54
3883,105.82,-49.8899,118,0,53
3884,105.87,-49.9018,119,0,53
3885,105.97,-49.8887,120,0,54
3886,106.02,-49.8685,120,0,54
3887,106.069,-49.8863,119,0,53
3888,106.169,-49.9603,118,0,53
3889,106.219,-50.0056,121,0,54
3890,106.319,-50.0556,121,0,54
3891,106.419,-49.9948,123,0,55
3892,106.469,-50.0342,120,0,54
3893,106.569,-50.0449,122,0,54
3894,106.619,-49.9185,122,0,54
3895,106.669,-49.9507,121,0,54
3896,106.769,-49.7946,120,0,54
3897,106.819,-49.8172,118,0,53
3898,106.919,-49.8887,120,0,54
3899,106.968,-49.8995,119,0,53
3900,107.068,-49.8697,120,0,54
3901,107.118,-49.9543,118,0,53
3902,107.218,-49.9662,120,0,54
3903,107.268,-49.965,121,0,54
3904,107.368,-50.0306,121,0,54
3905,107.418,-50.0115,122,0,54
3906,107.468,-50.0234,119,0,53
3907,107.568,-50.0127,121,0,54
3908,107.618,-49.9495,121,0,54
3909,107.668,-49.9912,121,0,54
3910,107.768,-49.8518,120,0,54
3911,107.818,-49.9388,118,0,53
3912,107.918,-50.002,120,0,54
3913,107.968,-49.9853,120,0,54
3914,108.068,-49.9841,122,0,54
3915,108.118,-50.0032,120,0,54
3916,108.218,-50.0783,120,0,54
3917,108.268,-50.1152,122,0,54
3918,108.368,-50.1176,123,0,55
3919,108.418,-50.0413,124,0,55
3920,108.468,-50.1522,122,0,54
3921,108.568,-50.0652,124,0,55
3922,108.618,-50.1033,124,0,55
3923,108.719,-50.1021,125,0,56
3924,108.769,-50.0449,121,0,54
3925,108.869,-50.0616,122,0,54
3926,108.919,-50.0306,124,0,55
3927,109.019,-50.1426,125,0,56
