cnt,pos,speed,DTorque,Force,Dir
3995,205.13,-16.83,2.00,0,0.35,0
3996,205.15,-17.98,15.00,0,2.64,0
3997,205.17,-18.78,38.00,0,6.69,0
3998,205.19,-18.99,60.00,0,10.56,0
3999,205.21,-19.06,79.00,0,13.90,0
4000,205.23,-18.46,93.00,0,16.37,0
4001,205.24,-17.52,105.00,0,18.48,0
4002,205.26,-16.59,114.00,0,20.06,0
4003,205.28,-15.48,121.00,0,21.30,0
4004,205.29,-14.16,127.00,0,22.35,0
4005,205.30,-13.08,132.00,0,23.23,0
4006,205.31,-11.50,137.00,0,24.11,0
4007,205.33,-10.35,140.00,0,24.64,0
4008,205.33,-8.97,143.00,0,25.17,0
4009,205.34,-7.70,145.00,0,25.52,0
4010,205.35,-6.49,147.00,0,25.87,0
4011,205.35,-5.37,148.00,0,26.05,0
4012,205.36,-4.10,150.00,0,26.40,0
4013,205.36,-3.07,151.00,0,26.58,0
4014,205.36,-2.05,151.00,0,26.58,0
4015,205.36,-1.18,152.00,0,26.75,0
4016,205.36,-0.34,153.00,0,26.93,0
4017,205.36,0.37,153.00,0,26.93,0
4018,205.36,0.85,154.00,0,27.10,0
4019,205.36,1.03,155.00,0,27.28,0
4020,205.36,0.99,156.00,0,27.46,0
4021,205.36,0.78,157.00,0,27.63,0
4022,205.36,0.48,157.00,0,27.63,0
4023,205.36,0.12,159.00,0,27.98,0
4024,205.36,-0.24,160.00,0,28.16,0
4025,205.36,-0.51,161.00,0,28.34,0
4026,205.36,-0.67,162.00,0,28.51,0
4027,205.36,-0.69,163.00,0,28.69,0
4028,205.36,-0.65,165.00,0,29.04,0
4029,205.36,-0.58,165.00,0,29.04,0
4030,205.36,-0.50,168.00,0,29.57,0
4031,205.36,-0.45,168.00,0,29.74,0
4032,205.36,-0.43,169.00,0,29.92,0
4033,205.36,-0.46,171.00,0,30.10,0
4034,205.37,-0.54,172.00,0,30.27,0
4035,205.37,-0.64,173.00,0,30.45,0
4036,205.37,-0.78,175.00,0,30.80,0
4037,205.37,-0.93,176.00,0,30.98,0
4038,205.37,-1.10,177.00,0,31.15,0
4039,205.37,-1.29,178.00,0,31.33,0
4040,205.37,-1.53,179.00,0,31.50,0
4041,205.37,-1.77,181.00,0,31.86,0
4042,205.38,-2.08,182.00,0,32.03,0
4043,205.38,-2.38,183.00,0,32.21,0
4044,205.38,-2.67,185.00,0,32.56,0
4045,205.38,-2.95,186.00,0,32.74,0
4046,205.39,-3.33,187.00,0,32.91,0
4047,205.39,-3.79,189.00,0,33.26,0
4048,205.40,-4.15,190.00,0,33.44,0
4049,205.40,-4.57,191.00,0,33.62,0
4050,205.40,-5.09,193.00,0,33.97,0
4051,205.41,-5.37,195.00,0,34.32,0
4052,205.42,-5.93,196.00,0,34.50,0
4053,205.42,-6.46,198.00,0,34.85,0
4054,205.43,-7.02,199.00,0,35.02,0
4055,205.44,-7.30,201.00,0,35.38,0
4056,205.45,-8.04,202.00,0,35.55,0
4057,205.45,-8.58,204.00,0,35.90,0
4058,205.46,-8.90,206.00,0,36.26,0
4059,205.47,-9.63,207.00,0,36.43,0
4060,205.48,-10.12,209.00,0,36.78,0
4061,205.49,-10.63,211.00,0,37.14,0
4062,205.50,-11.26,212.00,0,37.31,0
4063,205.52,-11.57,214.00,0,37.66,0
4064,205.53,-12.32,216.00,0,38.02,0
4065,205.54,-12.55,218.00,0,38.37,0
4066,205.55,-13.36,219.00,0,38.54,0
4067,205.57,-13.50,221.00,0,38.90,0
4068,205.58,-14.03,223.00,0,39.25,0
4069,205.60,-14.32,224.00,0,39.42,0
4070,205.61,-14.60,226.00,0,39.78,0
4071,205.63,-14.90,228.00,0,40.13,0
4072,205.64,-14.90,229.00,0,40.30,0
4073,205.66,-15.19,231.00,0,40.66,0
4074,205.67,-15.11,232.00,0,40.83,0
4075,205.69,-15.11,234.00,0,41.18,0
4076,205.70,-15.30,235.00,0,41.36,0
4077,205.72,-15.06,236.00,0,41.54,0
4078,205.73,-15.14,238.00,0,41.89,0
4079,205.75,-15.03,239.00,0,42.06,0
4080,205.76,-14.94,241.00,0,42.42,0
4081,205.78,-15.02,242.00,0,42.59,0
4082,205.79,-14.79,243.00,0,42.77,0
4083,205.81,-14.91,244.00,0,42.94,0
4084,205.82,-14.80,245.00,0,43.12,0
4085,205.84,-14.75,247.00,0,43.47,0
4086,205.85,-14.86,248.00,0,43.65,0
4087,205.87,-14.72,249.00,0,43.82,0
4088,205.88,-14.76,250.00,0,44.00,0
4089,205.89,-14.67,251.00,0,44.18,0
4090,205.91,-14.63,252.00,0,44.35,0
4091,205.92,-14.59,253.00,0,44.53,0
4092,205.94,-14.34,255.00,0,44.88,0
4093,205.95,-14.53,256.00,0,45.06,0
4094,205.97,-14.03,257.00,0,45.23,0
4095,205.98,-13.93,258.00,0,45.41,0
4096,205.99,-13.66,259.00,0,45.58,0
4097,206.01,-13.34,260.00,0,45.76,0
4098,206.02,-12.88,261.00,0,45.94,0
4099,206.03,-12.41,262.00,0,46.11,0
4100,206.04,-11.94,263.00,0,46.29,0
4101,206.06,-11.32,263.00,0,46.29,0
4102,206.07,-10.66,264.00,0,46.46,0
4103,206.08,-10.05,265.00,0,46.64,0
4104,206.09,-9.10,265.00,0,46.64,0
4105,206.09,-8.58,266.00,0,46.82,0
4106,206.10,-7.84,267.00,0,46.99,0
4107,206.11,-6.78,267.00,0,46.99,0
4108,206.12,-6.06,267.00,0,46.99,0
4109,206.12,-5.23,268.00,0,47.17,0
4110,206.12,-4.44,268.00,0,47.17,0
4111,206.13,-3.52,269.00,0,47.34,0
4112,206.13,-2.56,269.00,0,47.34,0
4113,206.13,-1.78,269.00,0,47.34,0
4114,206.13,-0.93,270.00,0,47.52,0
4115,206.13,-0.08,270.00,0,47.52,0
4116,206.13,0.64,270.00,0,47.52,0
4117,206.13,1.16,270.00,0,47.52,0
4118,206.13,1.41,271.00,0,47.70,0
4119,206.13,1.45,272.00,0,47.87,0
4120,206.13,1.46,272.00,0,47.87,0
4121,206.13,1.46,273.00,0,48.05,0
4122,206.12,1.41,274.00,0,48.22,0
4123,206.12,1.34,275.00,0,48.40,0
4124,206.12,1.27,276.00,0,48.58,0
4125,206.12,1.22,277.00,0,48.75,0
4126,206.12,1.19,278.00,0,48.93,0
4127,206.12,1.21,279.00,0,49.10,0
4128,206.12,1.27,280.00,0,49.28,0
4129,206.12,1.38,281.00,0,49.46,0
4130,206.11,1.53,282.00,0,49.63,0
4131,206.11,1.68,283.00,0,49.81,0
4132,206.11,1.86,284.00,0,49.98,0
4133,206.11,2.03,285.00,0,50.16,0
4134,206.11,2.32,285.00,0,50.16,0
4135,206.10,2.56,286.00,0,50.34,0
4136,206.10,2.93,287.00,0,50.51,0
4137,206.10,3.37,288.00,0,50.69,0
4138,206.09,3.67,289.00,0,50.86,0
4139,206.09,4.09,290.00,0,51.04,0
4140,206.09,4.55,291.00,0,51.22,0
4141,206.08,4.88,291.00,0,51.22,0
4142,206.08,5.33,292.00,0,51.39,0
4143,206.07,5.92,292.00,0,51.39,0
4144,206.06,6.41,293.00,0,51.74,0
4145,206.06,6.76,294.00,0,51.74,0
4146,206.05,7.26,295.00,0,51.92,0
4147,206.04,7.82,295.00,0,51.92,0
4148,206.03,8.29,295.00,0,51.92,0
4149,206.02,8.71,296.00,0,52.27,0
4150,206.01,9.23,297.00,0,52.27,0
4151,206.00,10.16,298.00,0,52.45,0
4152,205.99,10.16,299.00,0,52.62,0
4153,205.97,10.98,299.00,0,52.62,0
4154,205.97,11.50,299.00,0,52.62,0
4155,205.95,11.70,300.00,0,52.80,0
4156,205.94,12.43,301.00,0,52.98,0
4157,205.94,12.50,301.00,0,52.98,0
4158,205.93,12.50,301.00,0,53.15,0
4159,205.90,13.53,302.00,0,53.15,0
4160,205.88,14.17,303.00,0,53.33,0
4161,205.87,14.61,303.00,0,53.33,0
4162,205.85,15.13,303.00,0,53.33,0
4163,205.84,15.90,304.00,0,53.50,0
