cnt,pos,speed,DTorque,Force,Dir
3956,29.84,-4.20,1.00,0,0.18,0
3957,29.84,-5.45,1.00,0,0.18,0
3958,29.85,-6.82,1.00,0,0.18,0
3959,29.86,-8.07,1.00,0,0.18,0
3960,29.87,-9.15,1.00,0,0.18,0
3961,29.88,-10.30,1.00,0,0.18,0
3962,29.89,-11.43,1.00,0,0.18,0
3963,29.90,-12.23,1.00,0,0.18,0
3964,29.92,-13.32,1.00,0,0.18,0
3965,29.93,-14.24,1.00,0,0.18,0
3966,29.94,-15.20,1.00,0,0.18,0
3967,29.96,-16.17,0.00,0,0.00,0
3968,29.98,-16.98,0.00,0,0.00,0
3969,30.00,-17.87,0.00,0,0.00,0
3970,30.01,-18.89,0.00,0,0.00,0
3971,30.03,-19.64,0.00,0,0.00,0
3972,30.05,-20.39,0.00,0,0.00,0
3973,30.08,-21.27,0.00,0,0.00,0
3974,30.10,-21.93,0.00,0,0.00,0
3975,30.12,-22.78,0.00,0,0.00,0
3976,30.14,-23.54,0.00,0,0.00,0
3977,30.17,-24.17,0.00,0,0.00,0
3978,30.19,-24.78,0.00,0,0.00,0
3979,30.22,-25.34,-1.00,0,-0.18,0
3980,30.24,-25.88,0.00,0,0.00,0
3981,30.27,-26.46,0.00,0,0.00,0
3982,30.30,-27.03,0.00,0,0.00,0
3983,30.33,-27.58,0.00,0,0.00,0
3984,30.35,-28.01,0.00,0,0.00,0
3985,30.38,-28.51,0.00,0,0.00,0
3986,30.41,-29.14,-1.00,0,-0.18,0
3987,30.44,-29.48,-1.00,0,-0.18,0
3988,30.47,-29.92,-1.00,0,-0.18,0
3989,30.50,-30.57,-1.00,0,-0.18,0
3990,30.53,-30.97,-1.00,0,-0.18,0
3991,30.56,-31.36,0.00,0,0.00,0
3992,30.60,-31.69,0.00,0,0.00,0
3993,30.63,-32.20,0.00,0,0.00,0
3994,30.66,-32.56,0.00,0,0.00,0
3995,30.69,-32.69,0.00,0,0.00,0
3996,30.73,-33.15,0.00,0,0.00,0
3997,30.76,-33.49,0.00,0,0.00,0
3998,30.79,-33.56,0.00,0,0.00,0
