cnt,pos,speed,DTorque,STorque,Force
4053,301.70,-0.02,169.00,0,29.74,0
4054,301.70,-0.01,169.00,0,29.74,0
4055,301.70,-0.03,170.00,0,29.92,0
4056,301.70,-0.02,170.00,0,29.92,0
4057,301.70,-0.03,170.00,0,29.92,0
4058,301.70,-0.03,170.00,0,29.92,0
4059,301.70,-0.03,171.00,0,30.10,0
4060,301.70,-0.03,171.00,0,30.10,0
4061,301.70,-0.03,171.00,0,30.10,0
4062,301.70,-0.02,171.00,0,30.10,0
4063,301.70,-0.02,172.00,0,30.27,0
4064,301.70,-0.02,172.00,0,30.27,0
4065,301.70,-0.02,172.00,0,30.27,0
4066,301.70,-0.03,173.00,0,30.45,0
4067,301.70,-0.03,173.00,0,30.45,0
4068,301.70,-0.03,173.00,0,30.45,0
4069,301.70,-0.03,174.00,0,30.62,0
4070,301.70,-0.03,174.00,0,30.62,0
4071,301.70,-0.03,174.00,0,30.62,0
4072,301.70,-0.04,174.00,0,30.62,0
4073,301.70,-0.04,175.00,0,30.80,0
4074,301.71,-0.04,175.00,0,30.80,0
4075,301.71,-0.03,175.00,0,30.80,0
4076,301.71,-0.03,176.00,0,30.98,0
4077,301.71,-0.02,176.00,0,30.98,0
4078,301.71,-0.02,176.00,0,30.98,0
4079,301.71,-0.01,176.00,0,30.98,0
4080,301.71,-0.03,176.00,0,30.98,0
4081,301.71,-0.02,177.00,0,31.15,0
4082,301.71,-0.02,177.00,0,31.15,0
4083,301.71,-0.02,177.00,0,31.15,0
4084,301.71,-0.01,178.00,0,31.33,0
4085,301.71,-0.01,178.00,0,31.33,0
4086,301.71,-0.01,178.00,0,31.33,0
4087,301.71,-0.01,178.00,0,31.33,0
4088,301.71,-0.01,179.00,0,31.50,0
4089,301.71,-0.01,179.00,0,31.50,0
4090,301.71,-0.02,179.00,0,31.50,0
4091,301.71,-0.01,179.00,0,31.50,0
4092,301.71,-0.02,180.00,0,31.68,0
4093,301.71,-0.01,180.00,0,31.68,0
4094,301.71,-0.01,180.00,0,31.68,0
4095,301.71,0.00,181.00,0,31.86,0
4096,301.71,0.01,181.00,0,31.86,0
4097,301.71,0.00,181.00,0,31.86,0
4098,301.71,0.00,181.00,0,31.86,0
4099,301.71,-0.00,182.00,0,32.03,0
4100,301.71,-0.00,182.00,0,32.03,0
4101,301.71,-0.01,182.00,0,32.03,0
4102,301.71,0.01,183.00,0,32.21,0
4103,301.71,0.01,183.00,0,32.21,0
4104,301.71,-0.01,183.00,0,32.21,0
4105,301.71,-0.01,183.00,0,32.21,0
4106,301.71,-0.01,184.00,0,32.38,0
4107,301.71,-0.01,184.00,0,32.38,0
4108,301.71,-0.00,184.00,0,32.38,0
4109,301.71,-0.01,184.00,0,32.38,0
4110,301.71,-0.00,185.00,0,32.56,0
4111,301.71,-0.01,185.00,0,32.56,0
4112,301.71,-0.02,185.00,0,32.56,0
4113,301.71,-0.02,186.00,0,32.74,0
4114,301.71,-0.01,186.00,0,32.74,0
4115,301.71,-0.00,186.00,0,32.74,0
4116,301.71,-0.01,186.00,0,32.74,0
4117,301.71,-0.01,187.00,0,32.91,0
4118,301.71,-0.02,187.00,0,32.91,0
4119,301.71,-0.02,187.00,0,32.91,0
4120,301.71,-0.02,187.00,0,32.91,0
4121,301.71,-0.02,188.00,0,33.09,0
4122,301.71,-0.02,188.00,0,33.09,0
4123,301.71,-0.03,188.00,0,33.09,0
4124,301.71,-0.02,188.00,0,33.09,0
4125,301.71,-0.03,189.00,0,33.26,0
4126,301.71,-0.03,189.00,0,33.26,0
4127,301.71,-0.02,189.00,0,33.26,0
4128,301.71,-0.02,190.00,0,33.44,0
4129,301.71,-0.04,190.00,0,33.44,0
4130,301.71,-0.03,190.00,0,33.44,0
4131,301.71,-0.04,191.00,0,33.62,0
4132,301.71,-0.04,191.00,0,33.62,0
4133,301.71,-0.03,191.00,0,33.62,0
4134,301.71,-0.04,191.00,0,33.62,0
4135,301.71,-0.04,192.00,0,33.79,0
4136,301.71,-0.03,192.00,0,33.79,0
4137,301.71,-0.05,192.00,0,33.79,0
4138,301.71,-0.05,192.00,0,33.79,0
4139,301.71,-0.05,193.00,0,33.97,0
4140,301.71,-0.05,193.00,0,33.97,0
4141,301.71,-0.06,193.00,0,33.97,0
4142,301.71,-0.05,194.00,0,34.14,0
4143,301.71,-0.05,194.00,0,34.14,0
4144,301.71,-0.06,194.00,0,34.14,0
4145,301.71,-0.06,195.00,0,34.32,0
4146,301.71,-0.05,195.00,0,34.32,0
4147,301.71,-0.05,195.00,0,34.32,0
4148,301.71,-0.06,195.00,0,34.32,0
4149,301.71,-0.06,195.00,0,34.32,0
4150,301.71,-0.07,196.00,0,34.50,0
4151,301.71,-0.08,196.00,0,34.50,0
4152,301.71,-0.09,196.00,0,34.50,0
4153,301.71,-0.09,196.00,0,34.50,0
4154,301.71,-0.10,197.00,0,34.67,0
4155,301.71,-0.10,197.00,0,34.67,0
4156,301.71,-0.12,198.00,0,34.85,0
4157,301.71,-0.12,198.00,0,34.85,0
4158,301.71,-0.15,198.00,0,34.85,0
4159,301.71,-0.15,199.00,0,35.02,0
4160,301.71,-0.17,199.00,0,35.02,0
4161,301.71,-0.19,199.00,0,35.02,0
4162,301.71,-0.20,199.00,0,35.02,0
4163,301.71,-0.23,200.00,0,35.20,0
4164,301.71,-0.24,200.00,0,35.20,0
4165,301.71,-0.26,201.00,0,35.38,0
4166,301.71,-0.29,201.00,0,35.38,0
4167,301.71,-0.31,201.00,0,35.38,0
4168,301.71,-0.34,202.00,0,35.55,0
4169,301.71,-0.39,202.00,0,35.55,0
4170,301.71,-0.41,202.00,0,35.55,0
4171,301.71,-0.45,203.00,0,35.73,0
4172,301.71,-0.49,203.00,0,35.73,0
4173,301.71,-0.54,203.00,0,35.73,0
4174,301.71,-0.58,204.00,0,35.90,0
4175,301.71,-0.64,204.00,0,35.90,0
4176,301.71,-0.70,205.00,0,36.08,0
4177,301.71,-0.77,205.00,0,36.08,0
4178,301.72,-0.82,206.00,0,36.26,0
4179,301.72,-0.89,206.00,0,36.26,0
4180,301.72,-0.96,207.00,0,36.43,0
4181,301.72,-1.03,207.00,0,36.43,0
4182,301.72,-1.10,208.00,0,36.61,0
4183,301.72,-1.18,208.00,0,36.61,0
4184,301.72,-1.28,209.00,0,36.78,0
4185,301.72,-1.32,209.00,0,36.78,0
4186,301.72,-1.38,210.00,0,36.96,0
4187,301.73,-1.40,210.00,0,36.96,0
4188,301.73,-1.39,211.00,0,37.14,0
4189,301.73,-1.44,211.00,0,37.14,0
4190,301.73,-1.51,212.00,0,37.31,0
4191,301.73,-1.52,212.00,0,37.31,0
4192,301.73,-1.53,213.00,0,37.49,0
4193,301.74,-1.59,213.00,0,37.49,0
4194,301.74,-1.62,214.00,0,37.66,0
4195,301.74,-1.66,214.00,0,37.66,0
4196,301.74,-1.66,215.00,0,37.84,0
4197,301.74,-1.63,215.00,0,37.84,0
4198,301.74,-1.64,216.00,0,38.02,0
4199,301.75,-1.66,216.00,0,38.02,0
4200,301.75,-1.70,216.00,0,38.02,0
4201,301.75,-1.73,217.00,0,38.19,0
4202,301.75,-1.74,217.00,0,38.19,0
4203,301.75,-1.73,218.00,0,38.37,0
4204,301.75,-1.73,218.00,0,38.37,0
4205,301.76,-1.79,219.00,0,38.54,0
4206,301.76,-1.81,219.00,0,38.54,0
4207,301.76,-1.82,219.00,0,38.54,0
4208,301.76,-1.89,220.00,0,38.72,0
4209,301.76,-1.90,220.00,0,38.72,0
4210,301.76,-1.87,221.00,0,38.90,0
4211,301.77,-1.85,221.00,0,38.90,0
4212,301.77,-1.85,222.00,0,39.07,0
4213,301.77,-1.85,222.00,0,39.07,0
4214,301.77,-1.86,222.00,0,39.07,0
4215,301.77,-1.85,223.00,0,39.25,0
4216,301.78,-1.83,223.00,0,39.25,0
4217,301.78,-1.76,224.00,0,39.42,0
4218,301.78,-1.83,224.00,0,39.42,0
4219,301.78,-1.87,224.00,0,39.42,0
4220,301.78,-1.89,225.00,0,39.60,0
4221,301.79,-1.98,225.00,0,39.60,0
4222,301.79,-2.09,226.00,0,39.78,0
4223,301.79,-2.15,226.00,0,39.78,0
4224,301.79,-2.18,227.00,0,39.95,0
4225,301.79,-2.28,227.00,0,39.95,0
4226,301.80,-2.40,228.00,0,40.13,0
4227,301.80,-2.50,229.00,0,40.30,0
4228,301.80,-2.57,229.00,0,40.30,0
4229,301.80,-2.61,230.00,0,40.48,0
4230,301.81,-2.79,230.00,0,40.48,0
4231,301.81,-2.90,231.00,0,40.66,0
4232,301.81,-3.14,232.00,0,40.83,0
4233,301.82,-3.27,233.00,0,41.01,0
4234,301.82,-3.38,234.00,0,41.18,0
4235,301.82,-3.64,235.00,0,41.36,0
4236,301.83,-3.73,236.00,0,41.54,0
4237,301.83,-3.81,237.00,0,41.71,0
4238,301.83,-3.99,237.00,0,41.71,0
4239,301.84,-4.30,238.00,0,41.89,0
4240,301.84,-4.42,239.00,0,42.06,0
4241,301.85,-4.70,241.00,0,42.42,0
4242,301.85,-4.77,242.00,0,42.59,0
4243,301.86,-4.97,243.00,0,42.77,0
4244,301.86,-5.31,244.00,0,42.94,0
4245,301.87,-5.51,245.00,0,43.12,0
4246,301.87,-5.83,247.00,0,43.47,0
4247,301.88,-5.83,248.00,0,43.65,0
4248,301.89,-6.13,249.00,0,43.82,0
4249,301.89,-6.49,250.00,0,44.00,0
4250,301.90,-6.77,252.00,0,44.35,0
4251,301.91,-6.79,253.00,0,44.53,0
4252,301.91,-7.15,255.00,0,44.88,0
4253,301.92,-7.42,256.00,0,45.06,0
4254,301.93,-7.60,257.00,0,45.23,0
4255,301.94,-7.80,259.00,0,45.58,0
4256,301.94,-8.10,260.00,0,45.76,0
4257,301.95,-8.29,262.00,0,46.11,0
4258,301.96,-8.45,263.00,0,46.29,0
4259,301.97,-8.72,265.00,0,46.64,0
4260,301.98,-8.84,266.00,0,46.82,0
4261,301.99,-8.99,268.00,0,47.17,0
4262,302.00,-9.22,269.00,0,47.34,0
4263,302.01,-9.18,270.00,0,47.52,0
4264,302.02,-9.41,272.00,0,47.87,0
4265,302.03,-9.59,273.00,0,48.05,0
4266,302.03,-9.32,274.00,0,48.22,0
4267,302.04,-9.66,275.00,0,48.40,0
4268,302.05,-9.55,276.00,0,48.58,0
4269,302.06,-9.54,277.00,0,48.75,0
4270,302.07,-9.55,278.00,0,48.93,0
4271,302.08,-9.22,279.00,0,49.10,0
4272,302.09,-9.22,280.00,0,49.28,0
4273,302.10,-9.05,280.00,0,49.28,0
4274,302.11,-8.68,281.00,0,49.46,0
4275,302.12,-8.56,281.00,0,49.46,0
4276,302.13,-8.33,281.00,0,49.46,0
4277,302.13,-7.82,281.00,0,49.46,0
4278,302.14,-7.69,281.00,0,49.46,0
4279,302.15,-7.42,282.00,0,49.63,0
4280,302.16,-6.87,282.00,0,49.63,0
4281,302.16,-6.70,281.00,0,49.46,0
4282,302.17,-6.39,281.00,0,49.46,0
4283,302.18,-6.16,281.00,0,49.46,0
4284,302.18,-5.66,280.00,0,49.28,0
4285,302.19,-5.47,280.00,0,49.28,0
4286,302.19,-5.33,280.00,0,49.28,0
4287,302.20,-5.11,280.00,0,49.28,0
4288,302.20,-4.83,280.00,0,49.28,0
4289,302.21,-4.61,279.00,0,49.10,0
4290,302.21,-4.55,279.00,0,49.10,0
4291,302.21,-4.45,279.00,0,49.10,0
4292,302.22,-4.28,279.00,0,49.10,0
4293,302.22,-4.28,279.00,0,49.10,0
4294,302.23,-4.06,279.00,0,49.10,0
4295,302.23,-4.02,279.00,0,49.10,0
4296,302.24,-4.03,279.00,0,49.10,0
4297,302.24,-4.00,279.00,0,49.10,0
4298,302.24,-3.97,279.00,0,49.10,0
4299,302.25,-4.04,280.00,0,49.28,0
4300,302.25,-3.95,280.00,0,49.28,0
