cnt,pos,speed,DTorque,DAC,STorque,Force
1,-79.0088,-0.5686,1,0,0,0
3,-79.0142,-1.1634,0,0,0,0
5,-79.0182,-1.4412,0,0,0,0
7,-79.0228,-1.7011,0,0,0,0
9,-79.0359,-2.1266,0,0,0,0
11,-79.0469,-2.2935,0,0,0,0
13,-79.0663,-2.514,0,0,0,0
15,-79.0791,-2.5641,0,0,0,0
17,-79.0919,-2.5725,0,0,0,0
19,-79.0995,-2.5129,0,0,0,0
21,-79.1173,-2.5331,0,0,0,0
23,-79.1275,-2.5248,0,0,0,0
25,-79.1377,-2.5725,0,0,0,0
27,-79.1455,-2.6082,0,0,0,0
29,-79.1614,-2.7525,0,0,0,0
31,-79.1726,-2.8562,0,0,0,0
33,-79.1872,-2.9491,0,0,0,0
35,-79.1934,-3.0338,0,0,0,0
37,-79.2088,-3.1816,0,0,0,0
39,-79.2184,-3.2209,0,0,0,0
41,-79.2248,-3.2269,0,0,0,0
43,-79.2409,-3.2257,0,0,0,0
45,-79.2505,-3.1911,0,0,0,0
47,-79.26,-3.1637,0,0,0,0
49,-79.2727,-3.1721,0,0,0,0
51,-79.3351,-3.5356,0,0,0,0
53,-79.3753,-3.805,0,0,0,0
55,-79.4021,-3.8801,0,0,0,0
57,-79.4175,-3.7788,0,0,0,0
59,-79.4326,-3.7395,0,0,0,0
61,-79.4476,-3.7538,0,0,0,0
63,-79.4587,-3.6966,0,0,0,0
65,-79.4698,-3.6632,0,0,0,0
67,-79.4771,-3.687,0,0,0,0
69,-79.4993,-3.6954,0,0,0,0
71,-79.5105,-3.7788,0,0,0,0
73,-79.5296,-3.8921,0,0,0,0
75,-79.5413,-3.954,0,0,0,0
77,-79.5653,-4.0756,0,0,0,0
79,-79.5815,-4.0756,0,0,0,0
81,-79.5896,-4.0494,0,0,0,0
83,-79.6097,-3.9946,0,0,0,0
85,-79.6216,-3.954,0,0,0,0
87,-79.6413,-3.9159,0,0,0,0
89,-79.653,-3.9123,0,0,0,0
91,-79.6646,-3.9123,0,0,0,0
93,-79.6725,-3.9242,0,0,0,0
95,-79.6923,-3.9576,0,0,0,0
97,-79.7042,-4.016,0,0,0,0
99,-79.7204,-4.0399,0,0,0,0
101,-79.7325,-4.0971,0,0,0,0
103,-79.7448,-4.0804,0,0,0,0
105,-79.757,-4.0542,0,0,0,0
107,-79.777,-3.9958,0,0,0,0
109,-79.785,-3.997,0,0,0,0
111,-79.8048,-3.9552,0,0,0,0
113,-79.8166,-3.9552,0,0,0,0
115,-79.8285,-3.954,0,0,0,0
117,-79.8364,-4.022,0,0,0,0
119,-79.8567,-4.0589,0,0,0,0
121,-79.8648,-4.0852,0,0,0,0
123,-79.8812,-4.1054,0,0,0,0
125,-79.9017,-4.1019,0,0,0,0
127,-79.9219,-4.0089,0,0,0,0
129,-79.9337,-3.9374,0,0,0,0
131,-79.9455,-3.9016,0,0,0,0
133,-79.9532,-3.8575,0,0,0,0
135,-79.9724,-3.8408,0,0,0,0
137,-79.9838,-3.8039,0,0,0,0
139,-79.9992,-3.8646,0,0,0,0
141,-80.0147,-3.9064,0,0,0,0
143,-80.0265,-3.9827,0,0,0,0
145,-80.0385,-3.9672,0,0,0,0
147,-80.0545,-4.0208,0,0,0,0
149,-80.0665,-3.9731,0,0,0,0
151,-80.0904,-3.9433,0,0,0,0
153,-80.106,-3.8253,0,0,0,0
155,-80.1214,-3.8444,0,0,0,0
157,-80.1329,-3.817,0,0,0,0
159,-80.1405,-3.8193,0,0,0,0
161,-80.152,-3.8039,0,0,0,0
163,-80.1711,-3.8825,0,0,0,0
165,-80.1828,-3.8837,0,0,0,0
167,-80.1985,-3.9457,0,0,0,0
169,-80.2104,-3.9934,0,0,0,0
171,-80.2265,-4.0566,0,0,0,0
173,-80.2345,-4.0411,0,0,0,0
175,-80.2505,-3.9731,0,0,0,0
177,-80.2624,-3.9016,0,0,0,0
179,-80.282,-3.9099,0,0,0,0
181,-80.2976,-3.8992,0,0,0,0
183,-80.3131,-3.8813,0,0,0,0
185,-80.3247,-3.8992,0,0,0,0
187,-80.3326,-3.9219,0,0,0,0
189,-80.3443,-3.96,0,0,0,0
191,-80.3642,-4.0232,0,0,0,0
193,-80.3763,-4.0518,0,0,0,0
195,-80.3926,-4.1019,0,0,0,0
197,-80.4091,-4.1102,0,0,0,0
199,-80.4215,-4.1126,0,0,0,0
201,-80.4296,-4.0613,0,0,0,0
203,-80.4498,-4.0339,0,0,0,0
205,-80.4579,-4.0649,0,0,0,0
207,-80.478,-4.0244,0,0,0,0
209,-80.4983,-4.0983,0,0,0,0
211,-80.5149,-4.2187,0,0,0,0
213,-80.5403,-4.2771,0,0,0,0
215,-80.5664,-4.3808,0,0,0,0
217,-80.5839,-4.3367,0,0,0,0
219,-80.6013,-4.3212,0,0,0,0
221,-80.6141,-4.2437,0,0,0,0
223,-80.6269,-4.2366,0,0,0,0
225,-80.6396,-4.2413,0,0,0,0
227,-80.6565,-4.2366,0,0,0,0
229,-80.6693,-4.289,0,0,0,0
231,-80.6866,-4.3379,0,0,0,0
233,-80.7041,-4.4225,0,0,0,0
235,-80.7174,-4.4642,0,0,0,0
237,-80.7263,-4.4607,0,0,0,0
239,-80.7442,-4.4547,0,0,0,0
241,-80.753,-4.4058,0,0,0,0
243,-80.7791,-4.2866,0,0,0,0
245,-80.8003,-4.2139,0,0,0,0
247,-80.821,-4.1257,0,0,0,0
249,-80.8375,-4.1424,0,0,0,0
251,-80.8499,-4.1531,0,0,0,0
253,-80.8665,-4.1746,0,0,0,0
255,-80.879,-4.1686,0,0,0,0
257,-80.8873,-4.1555,0,0,0,0
259,-80.908,-4.1221,0,0,0,0
261,-80.9283,-4.0125,0,0,0,0
263,-80.9441,-3.9183,0,0,0,0
265,-80.9558,-3.8801,0,0,0,0
267,-80.9636,-3.8778,0,0,0,0
269,-80.979,-3.8432,0,0,0,0
271,-80.9982,-3.8575,0,0,0,0
273,-81.0059,-3.9028,0,0,0,0
275,-81.0254,-3.9266,0,0,0,0
277,-81.0411,-3.9624,0,0,0,0
279,-81.0569,-3.9421,0,0,0,0
281,-81.0687,-3.9028,0,0,0,0
283,-81.0804,-3.8718,0,0,0,0
285,-81.0882,-3.8623,0,0,0,0
287,-81.1107,-3.7049,0,0,0,0
289,-81.1291,-3.6537,0,0,0,0
291,-81.1435,-3.606,0,0,0,0
293,-81.1542,-3.5726,0,0,0,0
295,-81.1721,-3.5869,0,0,0,0
297,-81.1864,-3.6,0,0,0,0
299,-81.1935,-3.5762,0,0,0,0
301,-81.2115,-3.6107,0,0,0,0
303,-81.2223,-3.6227,0,0,0,0
305,-81.2331,-3.5976,0,0,0,0
307,-81.251,-3.5666,0,0,0,0
309,-81.258,-3.4903,0,0,0,0
311,-81.2753,-3.4057,0,0,0,0
313,-81.2888,-3.3521,0,0,0,0
315,-81.2988,-3.3342,0,0,0,0
317,-81.3054,-3.2948,0,0,0,0
319,-81.3187,-3.3425,0,0,0,0
321,-81.3287,-3.3771,0,0,0,0
323,-81.3456,-3.445,0,0,0,0
325,-81.3628,-3.4379,0,0,0,0
327,-81.3767,-3.5225,0,0,0,0
329,-81.3873,-3.5309,0,0,0,0
331,-81.4014,-3.5321,0,0,0,0
333,-81.4085,-3.5249,0,0,0,0
335,-81.4261,-3.4844,0,0,0,0
337,-81.433,-3.4772,0,0,0,0
339,-81.4502,-3.3962,0,0,0,0
341,-81.4638,-3.4105,0,0,0,0
343,-81.474,-3.4427,0,0,0,0
345,-81.4911,-3.4725,0,0,0,0
347,-81.5015,-3.4653,0,0,0,0
349,-81.5193,-3.5929,0,0,0,0
351,-81.5375,-3.6143,0,0,0,0
353,-81.556,-3.7252,0,0,0,0
355,-81.5783,-3.7133,0,0,0,0
357,-81.593,-3.6548,0,0,0,0
359,-81.6039,-3.6024,0,0,0,0
361,-81.611,-3.5619,0,0,0,0
363,-81.6217,-3.5571,0,0,0,0
365,-81.6393,-3.4748,0,0,0,0
367,-81.6463,-3.4796,0,0,0,0
369,-81.6637,-3.4546,0,0,0,0
371,-81.6741,-3.4486,0,0,0,0
373,-81.6847,-3.4844,0,0,0,0
375,-81.7022,-3.5058,0,0,0,0
377,-81.7128,-3.5142,0,0,0,0
379,-81.7304,-3.5189,0,0,0,0
381,-81.7409,-3.4713,0,0,0,0
383,-81.7545,-3.3664,0,0,0,0
385,-81.7645,-3.302,0,0,0,0
387,-81.7776,-3.2495,0,0,0,0
389,-81.7873,-3.2162,0,0,0,0
391,-81.8031,-3.1291,0,0,0,0
393,-81.8155,-3.0576,0,0,0,0
395,-81.8338,-3.0231,0,0,0,0
397,-81.8459,-3.0374,0,0,0,0
399,-81.8638,-2.9575,0,0,0,0
401,-81.8727,-2.9623,0,0,0,0
403,-81.8875,-2.9325,0,0,0,0
405,-81.902,-2.8979,0,0,0,0
407,-81.9189,-2.7668,0,0,0,0
409,-81.9297,-2.6702,0,0,0,0
411,-81.9376,-2.5903,0,0,0,0
413,-81.9531,-2.5236,0,0,0,0
415,-81.9632,-2.4854,0,0,0,0
417,-81.9779,-2.3889,0,0,0,0
419,-81.9875,-2.3495,0,0,0,0
421,-82.0018,-2.3746,0,0,0,0
423,-82.0113,-2.3936,0,0,0,0
425,-82.0233,-2.4187,0,0,0,0
427,-82.0353,-2.4091,0,0,0,0
429,-82.0499,-2.4425,0,0,0,0
431,-82.0573,-2.4497,0,0,0,0
433,-82.0768,-2.3817,0,0,0,0
435,-82.0884,-2.2494,0,0,0,0
437,-82.1015,-2.1314,0,0,0,0
439,-82.1119,-2.0539,0,0,0,0
441,-82.126,-1.9478,0,0,0,0
443,-82.1338,-1.9335,0,0,0,0
445,-82.1469,-1.8548,0,0,0,0
447,-82.156,-1.7869,0,0,0,0
449,-82.181,-1.7631,0,0,0,0
451,-82.1916,-1.7631,0,0,0,0
453,-82.2039,-1.7785,0,0,0,0
455,-82.2146,-1.8072,0,0,0,0
457,-82.2237,-1.8453,0,0,0,0
459,-82.2367,-1.8346,0,0,0,0
461,-82.2476,-1.794,0,0,0,0
463,-82.2684,-1.6736,0,0,0,0
465,-82.2815,-1.6129,0,0,0,0
467,-82.2945,-1.5962,0,0,0,0
469,-82.3313,-1.7082,0,0,0,0
471,-82.3383,-1.7821,0,0,0,0
473,-82.3548,-1.9252,0,0,0,0
475,-82.3625,-1.9574,0,0,0,0
477,-82.3765,-2.048,0,0,0,0
479,-82.3889,-2.0766,0,0,0,0
481,-82.4039,-2.1481,0,0,0,0
483,-82.4166,-2.0944,0,0,0,0
485,-82.4291,-2.0873,0,0,0,0
487,-82.4354,-2.0348,0,0,0,0
489,-82.4518,-2.0646,0,0,0,0
491,-82.4661,-1.9955,0,0,0,0
493,-82.4821,-1.9907,0,0,0,0
495,-82.492,-2.036,0,0,0,0
497,-82.5023,-2.0944,0,0,0,0
499,-82.515,-2.1457,0,0,0,0
501,-82.5281,-2.2434,0,0,0,0
503,-82.537,-2.2303,0,0,0,0
505,-82.5579,-2.3734,0,0,0,0
507,-82.5698,-2.3877,0,0,0,0
509,-82.5839,-2.3221,0,0,0,0
511,-82.5954,-2.2864,0,0,0,0
513,-82.6113,-2.2756,0,0,0,0
515,-82.6202,-2.2351,0,0,0,0
517,-82.6359,-2.2208,0,0,0,0
519,-82.6469,-2.1815,0,0,0,0
521,-82.66,-2.1648,0,0,0,0
523,-82.6798,-2.2089,0,0,0,0
525,-82.693,-2.2196,0,0,0,0
527,-82.7107,-2.1862,0,0,0,0
529,-82.7283,-2.197,0,0,0,0
531,-82.7369,-2.1433,0,0,0,0
533,-82.7495,-2.0027,0,0,0,0
535,-82.7651,-1.8608,0,0,0,0
537,-82.7778,-1.7535,0,0,0,0
539,-82.7883,-1.6915,0,0,0,0
541,-82.7951,-1.6462,0,0,0,0
543,-82.8047,-1.4996,0,0,0,0
545,-82.8135,-1.4138,0,0,0,0
547,-82.8258,-1.291,0,0,0,0
549,-82.8348,-1.2683,0,0,0,0
551,-82.8423,-1.2135,0,0,0,0
553,-82.853,-1.1539,0,0,0,0
555,-82.8576,-1.117,0,0,0,0
557,-82.8664,-1.0585,0,0,0,0
559,-82.8761,-1.0657,0,0,0,0
561,-82.8825,-1.0729,0,0,0,0
563,-82.8879,-1.0752,0,0,0,0
565,-82.8952,-1.0013,0,0,0,0
567,-82.9021,-0.9381,0,0,0,0
569,-82.9075,-0.8476,0,0,0,0
571,-82.91,-0.7999,0,0,0,0
573,-82.9153,-0.6616,0,0,0,0
575,-82.9202,-0.5591,0,0,0,0
577,-82.9231,-0.416,0,0,0,0
579,-82.925,-0.329,0,0,0,0
581,-82.9263,-0.2217,0,0,0,0
583,-82.9271,-0.1478,0,0,0,0
585,-82.9277,-0.0489,0,0,0,0
587,-82.9278,-0.0119,0,0,0,0
589,-82.9278,0.0238,0,0,0,0
591,-82.9277,0.0215,0,0,0,0
593,-82.9277,-0.006,0,0,0,0
595,-82.9277,-0.0119,0,0,0,0
597,-82.9278,0,0,0,0,0
599,-82.9277,0.0072,0,0,0,0
601,-82.9277,0.0036,0,0,0,0
603,-82.9277,-0.0024,0,0,0,0
605,-82.9277,-0.006,0,0,0,0
607,-82.9277,0.0024,0,0,0,0
609,-82.9277,-0.0012,0,0,0,0
611,-82.9277,-0.0024,0,0,0,0
613,-82.9277,0,0,0,0,0
615,-82.9277,0.0024,0,0,0,0
617,-82.9277,0,0,0,0,0
619,-82.9277,-0.0024,0,0,0,0
621,-82.9278,0.0024,0,0,0,0
623,-82.9278,-0.0024,0,0,0,0
625,-82.9278,0.0024,0,0,0,0
627,-82.9278,0,0,0,0,0
629,-82.9278,-0.0036,0,0,0,0
631,-82.9278,-0.0012,0,0,0,0
633,-82.9278,-0.0012,0,0,0,0
635,-82.9278,0.0024,0,0,0,0
637,-82.9278,0,0,0,0,0
639,-82.9278,0.0012,0,0,0,0
641,-82.9278,0,0,0,0,0
643,-82.9278,0.0012,0,0,0,0
645,-82.9278,0.0024,0,0,0,0
647,-82.9278,-0.0024,0,0,0,0
649,-82.9278,0.0012,0,0,0,0
651,-82.9278,-0.0012,0,0,0,0
653,-82.9278,0,0,0,0,0
655,-82.9278,-0.0024,0,0,0,0
657,-82.9278,0,0,0,0,0
659,-82.9278,-0.0024,0,0,0,0
661,-82.9278,0.0012,0,0,0,0
663,-82.9278,-0.0012,0,0,0,0
665,-82.9278,-0.0036,0,0,0,0
667,-82.9278,0.0024,0,0,0,0
669,-82.9278,-0.0024,0,0,0,0
671,-82.9278,0,0,0,0,0
673,-82.9278,-0.0012,0,0,0,0
675,-82.9278,0,0,0,0,0
677,-82.9278,0,0,0,0,0
679,-82.9278,-0.0012,0,0,0,0
681,-82.9278,0,0,0,0,0
683,-82.9278,0.0036,0,0,0,0
685,-82.9278,-0.0012,0,0,0,0
687,-82.9278,0,0,0,0,0
689,-82.9278,0,0,0,0,0
691,-82.9278,0.0024,0,0,0,0
693,-82.9278,0,0,0,0,0
695,-82.9278,-0.0012,0,0,0,0
697,-82.9278,0,0,0,0,0
699,-82.9278,-0.0024,0,0,0,0
701,-82.9278,0.0012,0,0,0,0
703,-82.9278,0,0,0,0,0
705,-82.9278,-0.0012,0,0,0,0
707,-82.9278,0.0012,0,0,0,0
709,-82.9278,0.0012,0,0,0,0
711,-82.9278,-0.0012,0,0,0,0
713,-82.9278,-0.0024,0,0,0,0
715,-82.9278,0,0,0,0,0
717,-82.9278,-0.0036,0,0,0,0
719,-82.9278,-0.0024,0,0,0,0
721,-82.9278,-0.0036,0,0,0,0
723,-82.9278,-0.0024,0,0,0,0
725,-82.9278,0,0,0,0,0
727,-82.9278,0.0012,0,0,0,0
729,-82.9278,0.0012,0,0,0,0
731,-82.9278,0,0,0,0,0
733,-82.9278,0.0012,0,0,0,0
735,-82.9278,-0.0036,0,0,0,0
737,-82.9279,-0.0012,0,0,0,0
739,-82.9279,0,0,0,0,0
741,-82.9279,-0.0012,0,0,0,0
743,-82.9279,-0.0012,0,0,0,0
745,-82.9279,-0.0012,0,0,0,0
747,-82.9279,0.0012,0,0,0,0
749,-82.9279,-0.0024,0,0,0,0
751,-82.9279,0.0012,0,0,0,0
753,-82.9279,0,0,0,0,0
755,-82.9279,0,0,0,0,0
757,-82.9279,-0.0012,0,0,0,0
759,-82.9279,-0.0012,0,0,0,0
761,-82.9279,0,0,0,0,0
763,-82.9279,0,0,0,0,0
765,-82.9279,-0.0024,0,0,0,0
767,-82.9279,0,0,0,0,0
769,-82.9279,0.0024,0,0,0,0
771,-82.9279,-0.0012,0,0,0,0
773,-82.9279,-0.0024,0,0,0,0
775,-82.9279,0,0,0,0,0
777,-82.9279,0.0012,0,0,0,0
779,-82.9279,0.0012,0,0,0,0
781,-82.9279,0,0,0,0,0
783,-82.9279,-0.0024,0,0,0,0
785,-82.9279,-0.0012,0,0,0,0
787,-82.9279,0,0,0,0,0
789,-82.9279,0,0,0,0,0
791,-82.9279,-0.0036,0,0,0,0
793,-82.928,0,0,0,0,0
795,-82.928,-0.0024,0,0,0,0
797,-82.928,-0.0012,0,0,0,0
799,-82.928,-0.0036,0,0,0,0
801,-82.928,-0.0048,0,0,0,0
803,-82.928,-0.0024,0,0,0,0
805,-82.928,0,0,0,0,0
807,-82.928,-0.0012,0,0,0,0
809,-82.928,0,0,0,0,0
811,-82.9281,-0.0024,0,0,0,0
813,-82.9281,-0.0012,0,0,0,0
815,-82.9281,0.0012,0,0,0,0
817,-82.9281,-0.0012,0,0,0,0
819,-82.9281,0.0012,0,0,0,0
821,-82.9281,0,0,0,0,0
823,-82.9281,-0.0024,0,0,0,0
825,-82.9281,-0.0012,0,0,0,0
827,-82.9281,-0.0012,0,0,0,0
829,-82.9281,0,0,0,0,0
831,-82.9281,0.0012,0,0,0,0
833,-82.9281,-0.0012,0,0,0,0
835,-82.9281,0,0,0,0,0
837,-82.9281,0.0012,0,0,0,0
839,-82.9281,0.0012,0,0,0,0
841,-82.9281,0,0,0,0,0
843,-82.9281,-0.0024,0,0,0,0
845,-82.9281,0.0012,0,0,0,0
847,-82.9281,0,0,0,0,0
849,-82.9281,0.0012,0,0,0,0
851,-82.9281,0.0012,0,0,0,0
853,-82.9281,-0.0012,0,0,0,0
855,-82.9281,-0.0024,0,0,0,0
857,-82.9281,-0.0024,0,0,0,0
859,-82.9281,-0.0024,0,0,0,0
861,-82.9281,0,0,0,0,0
863,-82.9282,-0.0012,0,0,0,0
865,-82.9282,0.0012,0,0,0,0
867,-82.9282,0.0012,0,0,0,0
869,-82.9282,-0.0012,0,0,0,0
871,-82.9282,-0.0024,0,0,0,0
873,-82.9282,0,0,0,0,0
875,-82.9282,0.0012,0,0,0,0
877,-82.9282,-0.0012,0,0,0,0
879,-82.9282,0,0,0,0,0
881,-82.9282,0.0012,0,0,0,0
883,-82.9282,0.0024,0,0,0,0
885,-82.9282,0,0,0,0,0
887,-82.9282,0,0,0,0,0
889,-82.9282,0,0,0,0,0
891,-82.9282,-0.0024,0,0,0,0
893,-82.9282,-0.0012,0,0,0,0
895,-82.9282,-0.0012,0,0,0,0
897,-82.9282,-0.0024,0,0,0,0
899,-82.9282,0,0,0,0,0
901,-82.9282,-0.0024,0,0,0,0
903,-82.9282,-0.0024,0,0,0,0
905,-82.9283,-0.0012,0,0,0,0
907,-82.9283,-0.0024,0,0,0,0
909,-82.9283,0,0,0,0,0
911,-82.9283,-0.0024,0,0,0,0
913,-82.9283,-0.0024,0,0,0,0
915,-82.9283,-0.0012,0,0,0,0
917,-82.9283,-0.0012,0,0,0,0
919,-82.9283,-0.0012,0,0,0,0
921,-82.9284,-0.0048,0,0,0,0
923,-82.9284,-0.006,0,0,0,0
925,-82.9284,-0.0012,0,0,0,0
927,-82.9284,-0.0012,0,0,0,0
929,-82.9284,0.0012,0,0,0,0
931,-82.9284,0.0036,0,0,0,0
933,-82.9284,0,0,0,0,0
