cnt,pos,speed,DTorque,DAC,STorque,Force
1,-297.358,-0.0456,-24,0,0,-10
3,-297.358,-0.0396,-24,0,0,-10
5,-297.358,-0.0365,-24,0,0,-10
7,-297.358,-0.0426,-24,0,0,-10
9,-297.358,-0.0456,-24,0,0,-10
11,-297.358,-0.0426,-24,0,0,-10
13,-297.359,-0.0456,-24,0,0,-10
15,-297.359,-0.0426,-24,0,0,-10
17,-297.359,-0.0426,-24,0,0,-10
19,-297.359,-0.0456,-24,0,0,-10
21,-297.359,-0.0396,-24,0,0,-10
23,-297.359,-0.0517,-24,0,0,-10
25,-297.359,-0.0639,-24,0,0,-10
27,-297.36,-0.0426,-24,0,0,-10
29,-297.36,-0.0456,-24,0,0,-10
31,-297.36,-0.0517,-24,0,0,-10
33,-297.36,-0.0517,-24,0,0,-10
35,-297.36,-0.0548,-24,0,0,-10
37,-297.36,-0.0517,-24,0,0,-10
39,-297.36,-0.0365,-24,0,0,-10
41,-297.36,-0.0426,-24,0,0,-10
43,-297.361,-0.0396,-24,0,0,-10
45,-297.361,-0.0487,-24,0,0,-10
47,-297.361,-0.0517,-24,0,0,-10
49,-297.361,-0.0456,-24,0,0,-10
51,-297.361,-0.0487,-24,0,0,-10
53,-297.361,-0.0548,-24,0,0,-10
55,-297.361,-0.0548,-24,0,0,-10
57,-297.361,-0.0396,-24,0,0,-10
59,-297.362,-0.0396,-24,0,0,-10
61,-297.362,-0.0396,-24,0,0,-10
63,-297.362,-0.0335,-25,0,0,-11
65,-297.362,-0.0487,-24,0,0,-10
67,-297.362,-0.0517,-24,0,0,-10
69,-297.362,-0.0456,-24,0,0,-10
71,-297.362,-0.0487,-24,0,0,-10
73,-297.362,-0.0426,-24,0,0,-10
75,-297.362,-0.0365,-24,0,0,-10
77,-297.362,-0.0456,-24,0,0,-10
79,-297.363,-0.0456,-24,0,0,-10
81,-297.363,-0.0487,-24,0,0,-10
83,-297.363,-0.0487,-24,0,0,-10
85,-297.363,-0.0426,-24,0,0,-10
87,-297.363,-0.0426,-24,0,0,-10
89,-297.363,-0.0335,-24,0,0,-10
91,-297.363,-0.0335,-24,0,0,-10
93,-297.363,-0.0365,-24,0,0,-10
95,-297.363,-0.0365,-24,0,0,-10
97,-297.364,-0.0517,-24,0,0,-10
99,-297.364,-0.0335,-24,0,0,-10
101,-297.364,-0.0426,-24,0,0,-10
103,-297.364,-0.0335,-24,0,0,-10
105,-297.364,-0.0426,-24,0,0,-10
107,-297.364,-0.0396,-24,0,0,-10
109,-297.364,-0.0487,-24,0,0,-10
