cnt,pos,speed,DTorque,STorque,Force,Dir
4463,20.45,3.11,414.00,0,72.86,0
4464,20.44,2.94,414.00,0,72.86,0
4465,20.44,2.94,414.00,0,72.86,0
4466,20.44,2.81,414.00,0,72.86,0
4467,20.43,2.88,414.00,0,72.86,0
4468,20.43,2.83,414.00,0,72.86,0
4469,20.43,2.68,415.00,0,73.04,0
4470,20.43,2.60,415.00,0,73.04,0
4471,20.42,2.53,416.00,0,73.22,0
4472,20.42,2.43,416.00,0,73.22,0
4473,20.42,2.23,416.00,0,73.22,0
4474,20.42,2.17,417.00,0,73.39,0
4475,20.42,2.08,418.00,0,73.57,0
4476,20.41,1.93,418.00,0,73.57,0
4477,20.41,1.91,419.00,0,73.74,0
4478,20.41,1.86,420.00,0,73.92,0
4479,20.41,1.76,420.00,0,73.92,0
4480,20.41,1.66,421.00,0,74.10,0
4481,20.40,1.55,421.00,0,74.10,0
4482,20.40,1.47,422.00,0,74.27,0
4483,20.40,1.39,422.00,0,74.27,0
4484,20.40,1.34,423.00,0,74.45,0
4485,20.40,1.25,424.00,0,74.62,0
4486,20.40,1.18,424.00,0,74.62,0
4487,20.40,1.11,425.00,0,74.80,0
4488,20.40,1.00,426.00,0,74.98,0
4489,20.39,0.95,426.00,0,74.98,0
4490,20.39,0.89,427.00,0,75.15,0
4491,20.39,0.86,428.00,0,75.33,0
4492,20.39,0.81,428.00,0,75.33,0
4493,20.39,0.75,429.00,0,75.50,0
4494,20.39,0.70,429.00,0,75.50,0
4495,20.39,0.63,430.00,0,75.68,0
4496,20.39,0.57,430.00,0,75.68,0
4497,20.39,0.52,431.00,0,75.86,0
4498,20.39,0.48,431.00,0,76.03,0
4499,20.39,0.39,432.00,0,76.03,0
4500,20.39,0.34,433.00,0,76.21,-1
4501,20.39,0.30,433.00,0,76.21,-1
4502,20.39,0.26,434.00,0,76.38,-1
4503,20.39,0.18,435.00,0,76.56,-1
4504,20.39,0.14,435.00,0,76.56,-1
4505,20.39,0.12,436.00,0,76.74,-1
4506,20.39,0.09,436.00,0,76.74,-1
4507,20.39,0.07,436.00,0,76.74,-1
4508,20.39,0.05,437.00,0,76.91,-1
4509,20.39,0.05,437.00,0,76.91,-1
4510,20.39,0.05,438.00,0,77.09,-1
4511,20.39,0.05,438.00,0,77.09,-1
4512,20.39,0.04,438.00,0,77.09,-1
4513,20.39,0.03,438.00,0,77.09,-1
4514,20.39,0.02,438.00,0,77.09,-1
4515,20.39,0.01,438.00,0,77.09,-1
4516,20.39,0.00,438.00,0,77.09,-1
4517,20.39,0.00,438.00,0,77.09,-1
