cnt,pos,speed,DTorque,STorque,Force,Dir
1,35.01,-0.00,45.00,0,7.92,-1
2,35.01,-0.01,45.00,0,7.92,-1
3,35.01,-0.00,45.00,0,7.92,-1
4,35.01,0.01,45.00,0,7.92,-1
5,35.01,0.01,45.00,0,7.92,-1
6,35.01,0.01,45.00,0,7.92,-1
7,35.01,0.01,45.00,0,7.92,-1
8,35.01,0.01,45.00,0,7.92,-1
9,35.01,0.00,45.00,0,7.92,-1
10,35.01,-0.01,44.00,0,7.74,-1
11,35.01,-0.02,44.00,0,7.74,-1
12,35.01,-0.02,44.00,0,7.74,-1
13,35.01,-0.00,44.00,0,7.74,-1
14,35.01,0.01,44.00,0,7.74,-1
15,35.01,0.01,44.00,0,7.74,-1
16,35.01,0.00,43.00,0,7.57,-1
17,35.01,-0.02,43.00,0,7.57,-1
18,35.01,-0.03,43.00,0,7.57,-1
19,35.01,-0.03,43.00,0,7.57,-1
20,35.01,-0.02,42.00,0,7.39,-1
21,35.01,-0.02,42.00,0,7.39,-1
22,35.01,-0.02,41.00,0,7.22,-1
23,35.01,-0.02,41.00,0,7.04,-1
24,35.01,-0.05,40.00,0,7.04,-1
25,35.01,-0.05,39.00,0,6.86,-1
26,35.01,-0.05,38.00,0,6.69,-1
27,35.01,-0.06,38.00,0,6.69,-1
28,35.01,-0.07,38.00,0,6.69,-1
29,35.01,-0.08,37.00,0,6.51,-1
30,35.01,-0.07,36.00,0,6.34,-1
31,35.01,-0.10,35.00,0,6.16,-1
32,35.01,-0.11,35.00,0,6.16,-1
33,35.01,-0.11,33.00,0,5.81,-1
34,35.01,-0.11,32.00,0,5.63,-1
35,35.01,-0.12,31.00,0,5.46,-1
36,35.01,-0.12,29.00,0,5.10,-1
37,35.01,-0.12,28.00,0,4.93,-1
38,35.01,-0.13,27.00,0,4.75,-1
39,35.01,-0.14,26.00,0,4.58,-1
40,35.01,-0.15,25.00,0,4.40,-1
41,35.01,-0.17,22.00,0,3.87,-1
42,35.01,-0.18,21.00,0,3.70,-1
43,35.01,-0.20,20.00,0,3.52,-1
44,35.01,-0.20,18.00,0,3.17,-1
45,35.01,-0.22,17.00,0,2.99,-1
46,35.01,-0.23,15.00,0,2.64,-1
47,35.01,-0.24,14.00,0,2.46,-1
48,35.01,-0.26,12.00,0,2.11,-1
49,35.01,-0.28,10.00,0,1.76,-1
50,35.01,-0.29,8.00,0,1.41,-1
51,35.01,-0.32,5.00,0,0.88,-1
52,35.01,-0.38,3.00,0,0.53,-1
53,35.01,-0.44,1.00,0,0.18,-1
54,35.01,-0.44,-1.00,0,-0.18,-1
55,35.01,-0.49,-2.00,0,-0.35,-1
56,35.01,-0.54,-4.00,0,-0.70,-1
57,35.01,-0.58,-4.00,0,-0.88,-1
58,35.01,-0.68,-7.00,0,-1.23,-1
59,35.01,-0.75,-10.00,0,-1.76,-1
60,35.02,-0.85,-12.00,0,-2.11,-1
61,35.02,-0.97,-14.00,0,-2.46,-1
62,35.02,-1.11,-16.00,0,-2.82,-1
63,35.02,-1.27,-18.00,0,-3.17,-1
64,35.02,-1.43,-19.00,0,-3.34,-1
65,35.02,-1.59,-21.00,0,-3.70,-1
66,35.02,-1.85,-23.00,0,-4.05,-1
67,35.03,-2.15,-24.00,0,-4.22,-1
68,35.03,-2.38,-26.00,0,-4.58,-1
69,35.03,-2.79,-27.00,0,-4.75,-1
70,35.03,-3.12,-28.00,0,-5.10,-1
71,35.04,-3.77,-30.00,0,-5.28,-1
72,35.04,-4.07,-30.00,0,-5.28,-1
73,35.05,-4.07,-31.00,0,-5.46,-1
74,35.05,-4.29,-31.00,0,-5.63,-1
75,35.05,-4.66,-32.00,0,-5.81,-1
76,35.06,-5.13,-33.00,0,-5.81,-1
77,35.07,-5.38,-34.00,0,-5.98,-1
78,35.08,-6.00,-34.00,0,-5.98,-1
79,35.08,-6.48,-35.00,0,-6.16,-1
80,35.09,-6.83,-35.00,0,-6.16,-1
81,35.10,-7.17,-36.00,0,-6.34,-1
82,35.10,-7.46,-36.00,0,-6.34,-1
83,35.11,-7.95,-37.00,0,-6.51,-1
84,35.12,-8.36,-37.00,0,-6.51,-1
85,35.13,-8.56,-38.00,0,-6.69,-1
86,35.14,-9.17,-38.00,0,-6.69,-1
87,35.15,-9.52,-39.00,0,-6.86,-1
88,35.16,-9.90,-39.00,0,-6.86,-1
89,35.18,-10.67,-40.00,0,-7.04,-1
90,35.18,-11.32,-40.00,0,-7.04,-1
91,35.19,-11.32,-40.00,0,-7.04,-1
