cnt,pos,speed,DTorque,STorque,Force,Dir
1,34.28,-92.68,133.00,0,23.41,-1
2,34.38,-94.27,136.00,0,23.94,-1
3,34.47,-96.36,138.00,0,24.29,-1
4,34.57,-98.11,141.00,0,24.82,-1
5,34.67,-100.17,145.00,0,25.52,-1
6,34.77,-101.91,147.00,0,25.87,-1
7,34.88,-103.83,149.00,0,26.22,-1
8,34.98,-105.94,152.00,0,26.75,-1
9,35.09,-107.61,156.00,0,27.46,-1
10,35.20,-109.73,160.00,0,28.16,-1
11,35.31,-111.43,162.00,0,28.51,-1
12,35.42,-113.37,166.00,0,29.22,-1
13,35.54,-115.09,170.00,0,29.92,-1
14,35.66,-116.96,171.00,0,30.10,-1
15,35.77,-118.70,173.00,0,30.45,-1
16,35.90,-120.71,177.00,0,31.15,-1
17,36.02,-122.47,184.00,0,32.38,-1
18,36.14,-124.09,188.00,0,33.09,-1
19,36.39,-127.37,192.00,0,33.79,-1
20,36.52,-128.68,194.00,0,34.14,-1
21,36.65,-130.27,195.00,0,34.32,-1
22,36.79,-132.03,200.00,0,35.20,-1
23,36.92,-133.70,204.00,0,35.90,-1
24,37.05,-134.99,207.00,0,36.43,-1
25,37.19,-136.65,211.00,0,37.14,-1
26,37.33,-137.91,214.00,0,37.66,-1
27,37.47,-139.43,214.00,0,37.66,-1
28,37.61,-140.95,218.00,0,38.37,-1
29,37.75,-142.64,223.00,0,39.25,-1
30,37.90,-144.01,226.00,0,39.78,-1
31,38.04,-145.29,230.00,0,40.48,-1
32,38.19,-146.59,232.00,0,40.83,-1
33,38.34,-147.80,233.00,0,41.01,-1
34,38.49,-149.18,237.00,0,41.71,-1
35,38.64,-150.36,241.00,0,42.42,-1
36,38.79,-152.65,248.00,0,43.65,-1
37,38.94,-152.65,248.00,0,43.82,-1
38,39.25,-154.40,251.00,0,44.18,-1
39,39.40,-155.57,256.00,0,45.06,-1
40,39.56,-156.55,259.00,0,45.58,-1
41,39.72,-157.71,263.00,0,46.29,-1
42,39.88,-158.15,266.00,0,46.82,-1
43,40.03,-159.28,266.00,0,46.82,-1
44,40.20,-160.08,270.00,0,47.52,-1
45,40.36,-160.93,274.00,0,48.22,-1
46,40.52,-161.58,277.00,0,48.75,-1
47,40.68,-162.16,281.00,0,49.46,-1
48,40.84,-162.60,281.00,0,49.46,-1
49,41.01,-163.29,284.00,0,49.98,-1
50,41.17,-163.59,288.00,0,50.69,-1
51,41.33,-163.82,291.00,0,51.22,-1
52,41.50,-164.14,294.00,0,51.74,-1
53,41.66,-164.43,295.00,0,51.92,-1
54,41.83,-164.49,297.00,0,52.27,-1
55,41.99,-164.84,301.00,0,52.98,-1
56,42.16,-165.08,304.00,0,54.21,-1
57,42.49,-165.41,309.00,0,54.38,-1
58,42.49,-165.60,309.00,0,54.38,-1
59,42.65,-165.97,313.00,0,55.09,-1
60,42.82,-165.99,316.00,0,55.62,-1
61,42.98,-165.95,319.00,0,56.14,-1
62,43.15,-165.95,320.00,0,56.32,-1
63,43.32,-165.75,320.00,0,56.32,-1
64,43.65,-165.80,324.00,0,57.02,-1
65,43.81,-165.52,327.00,0,57.55,-1
66,43.98,-165.30,330.00,0,58.08,-1
67,44.14,-164.44,331.00,0,58.26,-1
68,44.31,-164.31,331.00,0,58.26,-1
69,44.47,-164.21,334.00,0,58.78,-1
70,44.64,-163.82,337.00,0,59.31,-1
71,44.80,-163.55,339.00,0,59.66,-1
72,44.96,-162.93,341.00,0,60.02,-1
73,45.12,-162.74,341.00,0,60.02,-1
74,45.29,-162.51,344.00,0,60.54,-1
75,45.45,-162.43,347.00,0,61.07,-1
76,45.61,-161.71,349.00,0,61.42,-1
77,45.77,-161.57,351.00,0,61.78,-1
78,45.93,-160.56,352.00,0,61.95,-1
79,46.09,-160.56,356.00,0,62.66,-1
80,46.25,-159.93,356.00,0,63.01,-1
81,46.41,-158.99,361.00,0,63.54,-1
82,46.73,-157.68,361.00,0,63.54,-1
83,46.89,-157.16,361.00,0,63.54,-1
84,47.04,-157.08,364.00,0,64.06,-1
85,47.20,-156.06,366.00,0,64.42,-1
86,47.36,-155.77,368.00,0,64.77,-1
87,47.51,-155.24,370.00,0,65.12,-1
88,47.67,-154.60,369.00,0,64.94,-1
89,47.82,-154.14,371.00,0,65.30,-1
90,47.97,-153.60,375.00,0,66.00,-1
91,48.13,-152.92,375.00,0,66.00,-1
92,48.28,-152.62,377.00,0,66.35,-1
93,48.43,-151.72,378.00,0,66.53,-1
94,48.58,-151.03,377.00,0,66.35,-1
95,48.73,-150.61,381.00,0,67.06,-1
96,48.88,-149.65,383.00,0,67.41,-1
97,49.03,-148.91,385.00,0,67.76,-1
98,49.33,-147.14,385.00,0,67.76,-1
99,49.47,-146.50,385.00,0,67.76,-1
100,49.62,-146.07,389.00,0,68.46,-1
101,49.62,-145.03,391.00,0,68.82,-1
102,49.76,-144.41,392.00,0,68.99,-1
103,50.05,-143.77,394.00,0,69.34,-1
104,50.19,-142.82,392.00,0,68.99,-1
105,50.34,-142.72,393.00,0,69.17,-1
106,50.48,-141.85,397.00,0,69.87,-1
107,50.62,-140.94,398.00,0,70.05,-1
108,50.76,-140.65,400.00,0,70.40,-1
109,50.90,-139.54,402.00,0,70.75,-1
110,51.04,-138.67,400.00,0,70.40,-1
111,51.18,-138.07,401.00,0,70.58,-1
112,51.31,-137.31,404.00,0,71.10,-1
113,51.45,-136.17,406.00,0,71.46,-1
114,51.59,-135.28,407.00,0,71.63,-1
115,51.72,-134.20,409.00,0,71.98,-1
116,51.85,-132.90,408.00,0,71.63,-1
117,51.98,-131.37,410.00,0,72.16,-1
118,52.12,-131.37,410.00,0,72.51,-1
119,52.38,-129.39,412.00,0,72.51,-1
120,52.51,-128.82,414.00,0,72.86,-1
121,52.63,-127.58,415.00,0,73.04,-1
122,52.63,-126.86,413.00,0,72.69,-1
123,52.76,-126.49,413.00,0,72.69,-1
124,53.01,-126.01,416.00,0,73.22,-1
125,53.14,-125.16,417.00,0,73.39,-1
126,53.26,-124.52,418.00,0,73.57,-1
127,53.26,-123.88,420.00,0,73.92,-1
128,53.39,-122.82,420.00,0,73.92,-1
129,53.51,-122.11,418.00,0,73.57,-1
130,53.63,-121.86,419.00,0,73.74,-1
131,53.75,-121.86,422.00,0,74.27,-1
132,53.87,-121.10,423.00,0,74.45,-1
133,53.99,-119.89,423.00,0,74.45,-1
134,54.11,-119.32,425.00,0,74.80,-1
135,54.23,-118.64,425.00,0,74.80,-1
136,54.35,-117.59,425.00,0,74.62,-1
137,54.47,-116.38,424.00,0,74.62,-1
138,54.58,-116.31,424.00,0,75.15,-1
139,54.70,-115.98,429.00,0,75.50,-1
140,54.81,-114.97,429.00,0,75.50,-1
141,54.93,-114.47,429.00,0,75.68,-1
142,55.04,-113.37,432.00,0,76.03,-1
143,55.27,-112.68,431.00,0,75.86,-1
144,55.27,-112.68,430.00,0,75.68,-1
145,55.49,-112.31,432.00,0,76.03,-1
146,55.60,-111.70,435.00,0,76.56,-1
147,55.71,-111.25,436.00,0,76.74,-1
148,55.83,-110.81,436.00,0,76.74,-1
149,55.94,-110.33,438.00,0,77.09,-1
150,56.05,-109.54,438.00,0,77.09,-1
151,56.15,-108.48,436.00,0,76.74,-1
152,56.26,-108.51,437.00,0,76.91,-1
153,56.37,-108.09,440.00,0,77.44,-1
154,56.48,-107.14,442.00,0,77.79,-1
155,56.58,-106.63,442.00,0,77.79,-1
156,56.69,-106.23,442.00,0,77.79,-1
157,56.80,-105.53,444.00,0,78.14,-1
158,56.90,-104.49,444.00,0,77.79,-1
159,57.00,-103.77,442.00,0,77.79,-1
160,57.21,-103.44,445.00,0,78.32,-1
161,57.21,-102.93,447.00,0,78.67,-1
162,57.31,-102.22,447.00,0,78.67,-1
163,57.52,-102.08,447.00,0,78.67,-1
164,57.62,-102.03,449.00,0,79.02,-1
165,57.72,-101.45,449.00,0,79.02,-1
166,57.82,-101.09,448.00,0,78.85,-1
167,57.92,-101.09,447.00,0,78.67,-1
168,58.03,-101.42,449.00,0,79.02,-1
169,58.13,-101.12,452.00,0,79.55,-1
170,58.23,-100.59,453.00,0,79.73,-1
171,58.33,-100.38,453.00,0,79.73,-1
172,58.43,-100.48,454.00,0,79.90,-1
173,58.53,-100.19,455.00,0,80.08,-1
174,58.63,-99.53,454.00,0,79.73,-1
175,58.73,-99.22,454.00,0,79.90,-1
176,58.93,-99.13,457.00,0,80.43,-1
177,59.02,-98.37,458.00,0,80.61,-1
178,59.12,-97.64,458.00,0,80.61,-1
179,59.22,-97.43,458.00,0,80.61,-1
180,59.32,-97.32,459.00,0,80.78,-1
181,59.41,-96.55,460.00,0,80.96,-1
182,59.51,-95.97,459.00,0,80.78,-1
183,59.60,-95.43,458.00,0,80.61,-1
184,59.70,-95.71,459.00,0,80.78,-1
