cnt,pos,speed,DTorque,DAC,STorque,Force
1,-79.2284,-10.7297,0,0,0,0
3,-79.5181,-15.9497,0,0,0,0
5,-79.6171,-17.4219,0,0,0,0
7,-79.7795,-18.9895,0,0,0,0
9,-79.8371,-19.6034,0,0,0,0
11,-79.9576,-20.5665,0,0,0,0
13,-80.0204,-21.4081,0,0,0,0
15,-80.1072,-22.1961,0,0,0,0
17,-80.1744,-22.6026,-1,0,0,0
19,-80.2668,-23.4001,1,0,0,0
21,-80.3141,-23.9532,0,0,0,0
23,-80.4856,-25.2334,0,0,0,0
25,-80.5877,-25.9368,1,0,0,0
27,-80.7193,-26.8248,0,0,0,0
29,-80.8003,-27.1765,0,0,0,0
31,-80.939,-28.2589,0,0,0,0
33,-80.9957,-28.6141,-1,0,0,0
35,-81.0822,-29.1791,0,0,0,0
37,-81.1407,-29.5129,-1,0,0,0
39,-81.2597,-30.1507,1,0,0,0
41,-81.3813,-30.7789,-1,0,0,0
43,-81.5684,-31.6765,0,0,0,0
45,-81.696,-32.1581,-1,0,0,0
47,-81.8912,-32.9353,0,0,0,0
49,-81.9905,-33.3788,-1,0,0,0
51,-82.1587,-34.1047,-1,0,0,0
53,-82.2614,-34.4111,1,0,0,0
55,-82.3306,-34.8438,0,0,0,0
57,-82.471,-35.3242,0,0,0,0
59,-82.614,-36.1276,1,0,0,0
61,-82.723,-36.4841,-1,0,0,0
63,-82.9074,-37.1576,0,0,0,0
65,-83.0196,-37.6451,-1,0,0,0
67,-83.2092,-38.2566,0,0,0,0
69,-83.3243,-38.631,-1,0,0,0
71,-83.5187,-39.3045,0,0,0,0
73,-83.637,-39.792,-1,0,0,0
75,-83.8768,-40.3952,0,0,0,0
77,-83.9984,-40.8112,-1,0,0,0
79,-84.1621,-41.2535,-1,0,0,0
81,-84.2862,-41.4442,1,0,0,0
83,-84.4956,-42.2846,-1,0,0,0
85,-84.6228,-42.6041,0,0,0,0
87,-84.751,-42.9224,-1,0,0,0
89,-84.9668,-43.3741,1,0,0,0
91,-85.0973,-43.7389,-1,0,0,0
93,-85.2288,-43.9857,0,0,0,0
95,-85.4054,-44.3671,0,0,0,0
97,-85.5388,-44.5722,-1,0,0,0
99,-85.6283,-44.8535,0,0,0,0
101,-85.899,-45.3971,1,0,0,0
103,-86.0809,-45.6343,0,0,0,0
105,-86.3099,-46.0169,0,0,0,0
107,-86.4944,-46.2816,0,0,0,0
109,-86.7271,-46.8037,0,0,0,0
111,-86.9144,-46.8883,0,0,0,0
113,-87.0555,-47.0683,-1,0,0,0
115,-87.2916,-47.3747,0,0,0,0
117,-87.4341,-47.7001,-1,0,0,0
119,-87.7692,-48.0732,0,0,0,0
121,-87.9618,-48.2747,0,0,0,0
123,-88.3008,-48.6704,1,0,0,0
125,-88.4958,-48.9458,0,0,0,0
127,-88.741,-49.1926,0,0,0,0
129,-88.938,-49.3416,0,0,0,0
131,-89.2347,-49.5693,0,0,0,0
133,-89.3836,-49.7743,0,0,0,0
135,-89.6832,-50.064,-1,0,0,0
137,-89.8837,-50.263,0,0,0,0
139,-90.1355,-50.4597,0,0,0,0
141,-90.3378,-50.7136,-1,0,0,0
143,-90.5411,-50.964,1,0,0,0
145,-90.8476,-51.2739,0,0,0,0
147,-91.053,-51.4158,0,0,0,0
149,-91.3621,-51.6673,0,0,0,0
151,-91.5691,-51.8675,0,0,0,0
153,-91.881,-52.0714,0,0,0,0
155,-92.0896,-52.3014,0,0,0,0
157,-92.5092,-52.733,0,0,0,0
159,-92.7203,-52.8343,0,0,0,0
161,-92.9848,-52.9452,0,0,0,0
163,-93.1969,-53.1573,1,0,0,0
165,-93.5163,-53.2992,-1,0,0,0
167,-93.6765,-53.4315,-1,0,0,0
169,-93.9441,-53.5674,0,0,0,0
171,-94.1586,-53.7152,-1,0,0,0
173,-94.4813,-53.8297,0,0,0,0
175,-94.6431,-53.8952,0,0,0,0
