cnt,pos,speed,DTorque,DAC,STorque
0,-78.9202,23.2236,-2,0,0
1,-78.6506,21.5059,-1,0,0
2,-78.5448,20.613,-1,0,0
3,-78.4437,19.6391,-1,0,0
4,-78.3854,18.9918,-1,0,0
5,-78.2925,18.1872,-1,0,0
6,-78.2568,17.7294,-1,0,0
7,-78.2051,17.0142,-1,0,0
8,-78.1718,16.3908,-1,0,0
9,-78.1393,15.9247,0,0,0
10,-78.0922,15.4502,0,0,0
11,-78.0325,14.3607,0,0,0
12,-78.0041,13.9316,0,0,0
13,-77.963,13.506,-1,0,0
14,-77.9367,13.0161,-1,0,0
15,-77.8989,12.0886,-1,0,0
16,-77.8633,11.6798,0,0,0
17,-77.8296,11.0182,0,0,0
18,-77.8082,10.62,0,0,0
19,-77.7776,9.7296,0,0,0
20,-77.7584,9.2813,0,0,0
21,-77.7312,8.8307,0,0,0
22,-77.7141,8.4195,0,0,0
23,-77.6824,7.6458,0,0,0
24,-77.6675,7.3407,0,0,0
25,-77.6534,6.9723,0,0,0
26,-77.6399,6.6707,0,0,0
27,-77.6147,6.033,0,0,0
28,-77.6031,5.5228,0,0,0
29,-77.587,5.0257,0,0,0
30,-77.5678,4.5513,0,0,0
31,-77.5592,4.2556,0,0,0
32,-77.5512,3.9755,0,0,0
33,-77.5438,3.5082,0,0,0
34,-77.5306,2.9313,0,0,0
35,-77.5222,2.6404,0,0,0
36,-77.5174,2.3233,0,0,0
37,-77.5131,1.9192,0,0,0
38,-77.5064,1.4638,0,0,0
39,-77.5039,1.1754,0,0,0
40,-77.5019,0.9048,0,0,0
41,-77.5005,0.484,0,0,0
42,-77.4994,-0.0393,0,0,0
43,-77.4996,-0.2754,0,0,0
44,-77.5002,-0.4494,0,0,0
45,-77.5024,-0.6032,0,0,0
46,-77.5036,-0.5996,-1,0,0
47,-77.5054,-0.5591,0,0,0
48,-77.507,-0.5233,0,0,0
49,-77.5084,-0.4089,0,0,0
50,-77.5092,-0.3505,0,0,0
51,-77.5101,-0.2754,0,0,0
52,-77.5106,-0.2146,0,0,0
53,-77.511,-0.0834,0,0,0
54,-77.5112,0.0095,-1,0,0
55,-77.5111,0.056,0,0,0
56,-77.5108,0.0894,0,0,0
57,-77.5106,0.0834,0,0,0
58,-77.5104,0.062,0,0,0
59,-77.5103,0.031,0,0,0
60,-77.5104,-0.0322,0,0,0
61,-77.5104,-0.0477,0,0,0
62,-77.5106,-0.0429,0,0,0
63,-77.5107,-0.0322,0,0,0
64,-77.5107,0.0048,0,0,0
65,-77.5107,0.0143,0,0,0
66,-77.5107,0.0143,0,0,0
67,-77.5106,0.0012,0,0,0
68,-77.5106,-0.0083,0,0,0
69,-77.5106,-0.0107,0,0,0
70,-77.5107,-0.006,0,0,0
71,-77.5107,0,0,0,0
72,-77.5107,0.006,0,0,0
73,-77.5107,0.0036,0,0,0
74,-77.5106,0.0012,0,0,0
75,-77.5106,-0.0012,0,0,0
76,-77.5106,-0.0036,0,0,0
77,-77.5107,-0.0012,0,0,0
78,-77.5107,-0.0012,0,0,0
79,-77.5107,0.0024,0,0,0
80,-77.5107,-0.0036,0,0,0
81,-77.5107,-0.0048,0,0,0
82,-77.5107,-0.0024,0,0,0
83,-77.5107,0,0,0,0
84,-77.5107,0.0024,0,0,0
85,-77.5107,0.0024,0,0,0
86,-77.5107,-0.0024,0,0,0
87,-77.5107,-0.0048,0,0,0
88,-77.5107,-0.0036,0,0,0
89,-77.5107,0,0,0,0
90,-77.5107,0.0024,0,0,0
91,-77.5107,0.0048,0,0,0
92,-77.5107,0.0012,0,0,0
93,-77.5107,-0.0012,0,0,0
94,-77.5107,-0.0012,0,0,0
95,-77.5107,0.0012,0,0,0
96,-77.5107,0.0012,0,0,0
97,-77.5107,0,0,0,0
98,-77.5107,0.0012,0,0,0
99,-77.5107,0.0024,0,0,0
100,-77.5107,0,0,0,0
101,-77.5107,-0.0012,0,0,0
102,-77.5107,0.0012,0,0,0
103,-77.5107,0.0024,0,0,0
104,-77.5107,0.0012,0,0,0
105,-77.5107,0,0,0,0
106,-77.5107,-0.0072,0,0,0
107,-77.5107,-0.0048,0,0,0
108,-77.5107,-0.0012,0,0,0
109,-77.5107,-0.0012,0,0,0
110,-77.5107,0.0012,0,0,0
111,-77.5107,0,0,0,0
112,-77.5107,-0.0012,0,0,0
113,-77.5107,-0.0024,0,0,0
114,-77.5107,-0.0036,0,0,0
115,-77.5107,-0.0012,0,0,0
116,-77.5107,-0.0012,0,0,0
117,-77.5107,0.0012,0,0,0
118,-77.5107,0.0012,0,0,0
119,-77.5107,0.0036,0,0,0
120,-77.5107,0,0,0,0
121,-77.5107,-0.0036,0,0,0
122,-77.5107,-0.0036,0,0,0
123,-77.5107,0.0024,0,0,0
124,-77.5107,0,0,0,0
125,-77.5107,0.0012,0,0,0
126,-77.5107,0.0036,0,0,0
127,-77.5107,0.0012,0,0,0
128,-77.5107,-0.0012,0,0,0
129,-77.5107,0,0,0,0
130,-77.5107,0.0012,0,0,0
131,-77.5107,-0.0012,0,0,0
132,-77.5107,0,0,0,0
133,-77.5107,0,0,0,0
134,-77.5107,0,0,0,0
135,-77.5107,-0.0024,0,0,0
136,-77.5107,0,0,0,0
137,-77.5107,-0.0024,0,0,0
138,-77.5107,0,0,0,0
139,-77.5107,0,0,0,0
140,-77.5107,-0.0012,0,0,0
141,-77.5107,-0.0036,0,0,0
142,-77.5107,0.0024,0,0,0
143,-77.5107,-0.0012,0,0,0
144,-77.5107,0.0012,0,0,0
145,-77.5107,0,0,0,0
146,-77.5107,0.0012,0,0,0
147,-77.5108,-0.0024,0,0,0
148,-77.5108,0,0,0,0
149,-77.5108,0.0024,0,0,0
150,-77.5107,0.0012,0,0,0
151,-77.5107,-0.0012,0,0,0
152,-77.5107,-0.0012,0,0,0
153,-77.5107,-0.0012,0,0,0
154,-77.5107,0.0012,0,0,0
155,-77.5107,0,0,0,0
156,-77.5107,0,0,0,0
157,-77.5107,0.0012,0,0,0
158,-77.5107,0.0012,0,0,0
159,-77.5107,0.0024,0,0,0
160,-77.5107,0,0,0,0
161,-77.5107,0.0012,0,0,0
162,-77.5107,-0.0012,0,0,0
163,-77.5107,-0.0024,0,0,0
164,-77.5107,0,0,0,0
165,-77.5107,-0.0036,0,0,0
166,-77.5107,-0.0048,0,0,0
167,-77.5108,-0.0048,0,0,0
168,-77.5108,-0.0012,0,0,0
169,-77.5108,0.0012,0,0,0
170,-77.5108,-0.0024,0,0,0
171,-77.5108,0.0012,0,0,0
172,-77.5108,0,0,0,0
173,-77.5108,0.0012,0,0,0
174,-77.5108,0,0,0,0
175,-77.5108,0,0,0,0
176,-77.5108,0,0,0,0
177,-77.5108,0,0,0,0
178,-77.5108,0,0,0,0
179,-77.5108,0,0,0,0
180,-77.5108,0.0024,0,0,0
181,-77.5108,0,0,0,0
182,-77.5108,0,0,0,0
183,-77.5108,0.0024,0,0,0
184,-77.5108,0.0024,0,0,0
185,-77.5108,-0.0012,0,0,0
186,-77.5108,-0.0012,0,0,0
187,-77.5108,0.0012,0,0,0
188,-77.5108,0,0,0,0
189,-77.5108,0.0024,0,0,0
190,-77.5108,0,0,0,0
191,-77.5108,0,0,0,0
192,-77.5108,0.0036,0,0,0
